primaryprojecttype,subtype,projectstatus,startdateactual,finishdateactual,projectsitename,projectsiteaddress,acronym,co2e_mt_calculated,postcode,borough,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta
Other,Retro-commissioning,Survey,,,Haupt Conservatory,2740 Dr. Theodore Kazimiroff Blvd,DCLA,,10458.0,BRONX    ,40.864492999999996,-73.883936,6.0,15.0,334.0,2113012.0,2032720001.0,park-cemetery-etc-Bronx                                                    
Lighting System Upgrade,Retrofit,Install,12-Sep-11,,Municipal Building - 1 Centre Street,1 Centre Street,DCAS,629.54,10007.0,MANHATTAN,40.713001,-74.004181,1.0,1.0,29.0,1001394.0,1001210001.0,Chinatown                                                                  
Lighting System Upgrade,Retrofit,Design,,,Central Park Zoo,"76 Central Park, 830 5th Avenue",DPR,69.55,10000.0,MANHATTAN,40.782295,-73.965126,64.0,6.0,143.0,1000000.0,1011110001.0,park-cemetery-etc-Manhattan                                                
Lighting System Upgrade,Retrofit,Completed,11-May-09,30-Jun-09,P.S. 109X (Sedgwick),1771 Popham Avenue,DOE,30.81,10453.0,BRONX    ,40.851414,-73.918533,5.0,14.0,20502.0,2094549.0,2028770393.0,University Heights-Morris Heights                                          
Other,Retro-commissioning,Survey,,,Metropolitan Museum of Art,1000 Fifth Avenue,DCLA,,10028.0,MANHATTAN,40.778633,-73.962546,64.0,6.0,143.0,1083810.0,1011110001.0,park-cemetery-etc-Manhattan                                                
Comprehensive,Retrofit,Design,,,Leonard Covello Senior Center,312 East 109th Street,DFTA,30.61,10029.0,MANHATTAN,40.792305999999996,-73.94048000000001,11.0,8.0,170.0,1074278.0,1016800045.0,East Harlem South                                                          
Lighting System Upgrade,Retrofit,Substantially Completed,1-Nov-11,27-Mar-12,Brooklyn Botanic Garden,1000 Washington Avenue,DCLA,30.67,11225.0,BROOKLYN ,40.666949,-73.961679,55.0,35.0,177.0,3337842.0,3011830001.0,park-cemetery-etc-Brooklyn                                                 
Other,Retro-commissioning,Survey,,,P.S. 044 Thomas C. Brown,80 Maple Parkway,DOE,,10303.0,STATEN IS,40.63179,-74.156439,1.0,49.0,231.0,5027641.0,5012180001.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
Other,Retro-commissioning,Completed,,,St. Mary's Rec Center,450 St. Ann's Avenue,DPR,0.0,10455.0,BRONX    ,40.811972,-73.914275,1.0,8.0,37.0,2003692.0,2025570001.0,Mott Haven-Port Morris                                                     
Comprehensive,Retrofit,Cancelled,,,East Harlem Multi-Service Ctr,413 East 120 Street,HRA,267.2,10035.0,MANHATTAN,40.798371,-73.932987,11.0,8.0,192.0,1054888.0,1018080008.0,East Harlem North                                                          
Energy Audit,None,Completed,2-Feb-11,30-Jun-11,Manhattan Detention Complex (Bernard B. Kerik Complex),125 White St,DOC,,10013.0,MANHATTAN,40.716715,-74.000346,1.0,1.0,29.0,1088394.0,1001670001.0,Chinatown                                                                  
Energy Audit,None,In Progress,,,Q205 - PS 205 Alexander Graham Bell,75-25 Bell Blvd,DOE,,11364.0,QUEENS   ,40.737678,-73.756791,11.0,23.0,129103.0,4164007.0,4077530001.0,Oakland Gardens                                                            
Energy Audit,None,Completed,13-Oct-10,27-May-11,K135 - PS 135 Sheldon A. Brookner,686 Linden Blvd,DOE,7.4,11203.0,BROOKLYN ,40.653643,-73.933053,17.0,41.0,870.0,3102005.0,3046730001.0,East Flatbush-Farragut                                                     
HVAC System Upgrade,Retrofit,Design,1-Nov-10,,Bronx Community College - Phase 1 HVAC Upgrade,2155 University Avenue,CUNY,2246.61,10453.0,BRONX    ,40.857898999999996,-73.909307,7.0,14.0,255.0,2014731.0,2032170060.0,Kingsbridge Heights                                                        
Comprehensive,Retrofit,Design,,,Central Park Zoo,"76 Central Park, 830 5th Avenue",DPR,247.36,10000.0,MANHATTAN,40.782295,-73.965126,64.0,6.0,143.0,1000000.0,1011110001.0,park-cemetery-etc-Manhattan                                                
Lighting System Upgrade,Retrofit,Completed,13-May-08,7-Oct-08,P.S. 205A/P.S. 205B (Fiorello Laguard)/P.S. 109X,2375 Southern Boulevard,DOE,21.3,10460.0,BRONX    ,40.852801,-73.881834,6.0,15.0,393.0,2013047.0,2031140052.0,Belmont                                                                    
Lighting System Upgrade,Retrofit,Completed,13-May-08,9-Mar-09,P.S. 15X(Inst For Enviro)/P.S. 91X Mini/I.S. 206B (Ann Merser),2220 Aqueduct Avenue,DOE,74.78,,,,,,,,,,
Energy Audit,None,In Progress,,,Q225 - PS 225 - Seaside School,190 Beach 110th Street,DOE,,11694.0,QUEENS   ,40.580928,-73.831836,14.0,32.0,938.0,4303853.0,4161810001.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
Lighting System Upgrade,Retrofit,Completed,13-May-08,17-Oct-08,Morrisania Diagnostic & Treatment Ctr,1223 GERARD AVENUE MORRISANIA N F C CNTR,HHC,152.33,10452.0,BRONX    ,40.835927000000005,-73.920004,4.0,16.0,197.0,,,West Concourse                                                             
Other,Retro-commissioning,Survey,,,Brooklyn High School of the Arts,345 Dean Street,DOE,,11217.0,BROOKLYN ,40.683559,-73.98026999999999,2.0,33.0,39.0,3001190.0,3001920013.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Other,Retro-commissioning,Survey,,,P.S. 084 Lillian Weber,32 West 92 Street,DOE,,10025.0,MANHATTAN,40.789526,-73.967574,7.0,6.0,177.0,1081042.0,1012050006.0,Upper West Side                                                            
Other,Retro-commissioning,Proposed,,,K135 - PS 135 Sheldon A. Brookner,686 Linden Blvd,DOE,,11203.0,BROOKLYN ,40.653643,-73.933053,17.0,41.0,870.0,3102005.0,3046730001.0,East Flatbush-Farragut                                                     
Other,Retro-commissioning,Survey,9-Aug-11,,East Harlem Health Care Center,158 East 115th Street,DOHMH,,10029.0,MANHATTAN,40.797755,-73.941699,11.0,8.0,182.0,1052229.0,1016400147.0,East Harlem North                                                          
Other,Retro-commissioning,Survey,,,Marta Valle Secondary School,145 Stanton Street,DOE,,10002.0,MANHATTAN,40.720581,-73.98564499999999,3.0,1.0,3001.0,1004323.0,1003540080.0,Chinatown                                                                  
Comprehensive,Retrofit,Design,,,Mark A. Constantino Judicial Center,"130 Stuyvesant Pl, Staten Island",DCAS,627.89,10301.0,STATEN IS,40.642891,-74.076874,1.0,49.0,3.0,5000085.0,5000080070.0,West New Brighton-New Brighton-St. George                                  
Other,Retro-commissioning,Survey,,,P.S. 057 Crescent,2111 Crotona Avenue,DOE,,10457.0,BRONX    ,40.848471999999994,-73.888561,6.0,15.0,373.0,2012359.0,2030810026.0,East Tremont                                                               
Lighting System Upgrade,Retrofit,Completed,28-Apr-09,26-Jun-06,NYBG - Tool Shed,"2800 Southern Blvd, 2670 Thoedore Kazimiroff Blvd",DCLA,0.57,10458.0,BRONX    ,40.865064000000004,-73.883913,6.0,15.0,397.0,,,Belmont                                                                    
Lighting System Upgrade,Retrofit,Completed,5-Sep-07,11-Sep-08,40th Precinct,257 ALEXANDER AVENUE,NYPD,22.42,10454.0,BRONX    ,40.810347,-73.924941,1.0,8.0,39.0,2000700.0,2023140030.0,Mott Haven-Port Morris                                                     
Energy Audit,None,Completed,17-Feb-11,22-Nov-11,DOE Offices,65 Court Street,DOE,81.66,11201.0,BROOKLYN ,40.692012,-73.991227,2.0,33.0,9.0,3002557.0,3002660020.0,Brooklyn Heights-Cobble Hill                                               
Comprehensive,Retrofit,Design,,,Metropolitan Hospital,"1901 1st Avenue  New York, NY 10029",HHC,9521.89,10029.0,MANHATTAN,40.784557,-73.94378,11.0,8.0,15602.0,1083929.0,1016690001.0,East Harlem South                                                          
Other,Retro-commissioning,Survey,,,I.S.131X Albert Einstein,885 Bolton Avenue,DOE,,10473.0,BRONX    ,40.823526,-73.859662,9.0,18.0,42.0,2103869.0,2036440001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
Other,Retro-commissioning,Survey,,,K276 Louis Marshall,1070 East 83rd Street,DOE,,11236.0,BROOKLYN ,40.634085,-73.907925,18.0,46.0,996.0,3225637.0,3080340001.0,Canarsie                                                                   
Energy Audit,None,In Progress,2-Aug-12,,X135- IS 135,2441 Wallace Avenue Bronx NY,DOE,0.0,10467.0,BRONX    ,40.862109000000004,-73.864577,11.0,13.0,330.0,2051313.0,2044320001.0,Bronxdale                                                                  
Energy Audit,None,Completed,,,Office of Energy Management Headquarters,165 Cadman Plaza East,DCAS,42.87,11201.0,BROOKLYN ,40.698767,-73.98987,2.0,33.0,13.0,3000172.0,3000850006.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Lighting System Upgrade,Retrofit,Design,,,"Queens West 2, 3, 4, 6 District Garage",52-35 58th St,DSNY,,11377.0,QUEENS   ,40.734883,-73.90995699999999,2.0,30.0,243.0,4462505.0,4023610268.0,Elmhurst-Maspeth                                                           
Energy Audit,None,Completed,12-Apr-11,15-Jun-12,PS 138K Brooklyn,801 Park Place,DOE,0.0,11216.0,BROOKLYN ,40.673488,-73.95125999999999,8.0,36.0,31701.0,3330794.0,3012330026.0,Crown Heights North                                                        
Lighting System Upgrade,Retrofit,Completed,4-Oct-07,1-Apr-08,St. John's Recreation Center,1251 PROSPECT PLACE,DPR,60.75,11213.0,BROOKLYN ,40.673488,-73.9348,8.0,36.0,345.0,3393257.0,3013530001.0,Crown Heights North                                                        
Energy Audit,None,Completed,6-Apr-11,7-May-12,P.S. 181 Brooklyn,1023 New York Avenue,DOE,133.2,11203.0,BROOKLYN ,40.648215,-73.946374,17.0,45.0,856.0,3327776.0,3049040010.0,East Flatbush-Farragut                                                     
Energy Audit,None,Completed,16-Aug-11,14-Dec-11,Louis J Lefkowitz Building,80 Centre Street,DCAS,,10013.0,MANHATTAN,40.715447,-74.00189,1.0,1.0,29.0,1001830.0,1001660027.0,Chinatown                                                                  
Lighting System Upgrade,Retrofit,Design,,,Manhattan Detention Complex (Bernard B. Kerik Complex),125 White St,DOC,,10013.0,MANHATTAN,40.716715,-74.000346,1.0,1.0,29.0,1088394.0,1001670001.0,Chinatown                                                                  
Lighting System Upgrade,Retrofit,Completed,29-Aug-11,30-Sep-11,Engine Company 222,32 Ralph Avenue,FDNY,13.74,11221.0,BROOKLYN ,40.689384999999994,-73.924006,3.0,41.0,387.0,3044596.0,3016330039.0,Stuyvesant Heights                                                         
Other,Retro-commissioning,Survey,,,M199 - PS 199M Jessie Isador Straus,270 West 70 Street,DOE,,10023.0,MANHATTAN,40.778059000000006,-73.984449,7.0,6.0,155.0,1030351.0,1011580040.0,Lincoln Square                                                             
Lighting System Upgrade,Retrofit,Completed,13-Dec-10,30-Jun-11,10X032 - 690 East 183rd Street,690 East 183rd Street,DOE,71.93,10458.0,BRONX    ,40.852103,-73.885935,6.0,15.0,391.0,2012409.0,2030850001.0,Belmont                                                                    
HVAC System Upgrade,Retrofit,Design,1-Jan-11,,American Museum of Natural History,200 Central Park West,DCLA,1117.96,10024.0,MANHATTAN,40.781312,-73.972254,7.0,6.0,165.0,1083846.0,1011300001.0,Upper West Side                                                            
Other,Retro-commissioning,Survey,,,Wm Penn ES,180 Seventh Avenue Brooklyn NY,DOE,,11215.0,BROOKLYN ,40.671459999999996,-73.977783,6.0,39.0,155.0,3337516.0,3009710028.0,Park Slope-Gowanus                                                         
Comprehensive,Retrofit,Substantially Completed,30-Jan-12,29-Jun-12,Woodside Inspection Facility,24-55 Brooklyn-Queens Expwy,TLC,61.06,11377.0,QUEENS   ,40.764199,-73.902694,1.0,22.0,299.0,4022499.0,4010160045.0,park-cemetery-etc-Queens                                                   
Energy Audit,None,Completed,8-Feb-11,12-Aug-11, I.S.318K Eugenio Maria De Hostos School,101 Walton Street,DOE,345.38,11206.0,BROOKLYN ,40.7025,-73.94886899999999,1.0,33.0,509.0,3061328.0,3022460001.0,Williamsburg                                                               
Other,Photovoltaic,Substantially Completed,16-Dec-11,23-Mar-12,Engine Company 168 / Emergency Maintenance Station 22,1100 Rossville Ave,FDNY,18.02,10309.0,STATEN IS,40.553977,-74.212812,3.0,51.0,20801.0,5154879.0,5070670252.0,Rossville-Woodrow                                                          
Lighting System Upgrade,Retrofit,Completed,15-Jun-11,8-Dec-11,R008,"112 Lindenwood Rd, 100 Lindenwood Rd",DOE,49.28,10308.0,STATEN IS,40.547692,-74.15175500000001,3.0,51.0,15601.0,5066295.0,5052210001.0,Great Kills                                                                
Comprehensive,Retrofit,Design,,,P.S.219Q Paul Klapper,144-39 Gravett Road,DOE,229.15,11367.0,QUEENS   ,40.735275,-73.823778,8.0,24.0,809.0,4448708.0,4065070001.0,Kew Gardens Hills                                                          
Other,Retro-commissioning,Survey,,,Museum Of Jewish Heritage,36 Battery Place,,,10280.0,MANHATTAN,40.705806,-74.018019,1.0,1.0,31704.0,1084594.0,1000160010.0,Battery Park City-Lower Manhattan                                          
,O&M,Completed,12-May-10,10-Jun-10,M855  M416 - Eleanor Roosevelt High School,411 East 76th Street,DOE,,10021.0,MANHATTAN,40.770187,-73.953608,8.0,5.0,132.0,1045949.0,1014710005.0,Lenox Hill-Roosevelt Island                                                
Comprehensive,Retrofit,Install,30-Mar-12,,Ferry Maintenance Facility - 1 Bay Street,1 Bay Street,DOT,312.65,10301.0,STATEN IS,40.643574,-74.072627,1.0,49.0,3.0,5141706.0,5000020001.0,West New Brighton-New Brighton-St. George                                  
HVAC System Upgrade,Retrofit,Completed,28-Apr-09,26-Jun-09,NYBG - Haupt Conservatory,2740 Dr. Theodore Kazimiroff Blvd,DCLA,8.7,10458.0,BRONX    ,40.864492999999996,-73.883936,6.0,15.0,334.0,2113012.0,2032720001.0,park-cemetery-etc-Bronx                                                    
Lighting System Upgrade,Retrofit,Install,1-Apr-11,31-Dec-11,Betts Avenue Boiler Room,58-73 53rd Avenue,DSNY,90.62,11377.0,QUEENS   ,40.734136,-73.909403,2.0,30.0,243.0,4462505.0,4023610268.0,Elmhurst-Maspeth                                                           
Lighting System Upgrade,Retrofit,Completed,5-Sep-08,15-May-09,P.S. 58M (The Man. Schl)/FK Onassis (Sch For Intl Careers),317 W. 52nd St.,DOE,63.66,10019.0,MANHATTAN,40.763866,-73.985939,4.0,3.0,133.0,1025241.0,1010430022.0,Clinton                                                                    
Energy Audit,None,Completed,24-Feb-11,17-Apr-12,J.H.S.125X Henry Hudson Middle School,1111 Pugsley Avenue,DCAS,102.28,10472.0,BRONX    ,40.829232,-73.856734,9.0,18.0,4001.0,2025717.0,2037900040.0,Soundview-Bruckner                                                         
Energy Audit,None,In Progress,,,Regent Hotel Shelter,2720 Broadway,DHS,0.0,10025.0,MANHATTAN,40.799717,-73.967789,7.0,7.0,191.0,1056586.0,1018760020.0,Upper West Side                                                            
Other,Retro-commissioning,Survey,,,Manhattan Criminal Courthouse,125 White Street,DCAS,,10013.0,MANHATTAN,40.716715,-74.000346,1.0,1.0,29.0,1088394.0,1001670001.0,Chinatown                                                                  
Lighting System Upgrade,Retrofit,Completed,1-Apr-11,31-Dec-11,Pelham Bay Branch Library,3060 Middletown Road,NYPL,23.59,10461.0,BRONX    ,40.844485999999996,-73.82831800000001,10.0,13.0,264.0,2074963.0,2054040002.0,Schuylerville-Throgs Neck-Edgewater Park                                   
Energy Audit,None,Completed,17-Feb-11,21-May-12,I.S.238Q Susan B Anthony School,88-15 182nd Street,DOE,170.25,11423.0,QUEENS   ,40.713094,-73.780468,12.0,27.0,470.0,4212425.0,4099190006.0,Jamaica                                                                    
Lighting System Upgrade,Retrofit,Completed,24-Jul-09,13-May-10,Bx 5 District Garage,1331 Cromwell Ave,DSNY,23.85,10452.0,BRONX    ,40.839273,-73.920629,4.0,16.0,219.0,2008640.0,2028710077.0,Highbridge                                                                 
Lighting System Upgrade,Retrofit,Completed,23-Jun-09,2-Feb-10,I.S. 49R,101 Warren St.,DOE,116.28,10007.0,MANHATTAN,40.715728999999996,-74.011424,1.0,1.0,21.0,1087170.0,1001427501.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
Comprehensive,Retrofit,Design,,,P.S.78X Anne Hutchinson,1400 Needham Avenue,DOE,65.27,10469.0,BRONX    ,40.878577,-73.851163,12.0,12.0,386.0,2060191.0,2047190001.0,Eastchester-Edenwald-Baychester                                            
Energy Audit,None,Completed,16-Aug-11,12-Dec-11,Health Building,125 Worth Street,DCAS,-354.98,10013.0,MANHATTAN,40.715428,-74.002673,1.0,1.0,31.0,1001831.0,1001680032.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
Lighting System Upgrade,Retrofit,Substantially Completed,26-Jan-11,21-Oct-11,100th Precinct,"9224 Rockaway  Beach, or 92-24 Rockaway Beach Boulevard",NYPD,22.13,11694.0,QUEENS   ,40.570817,-73.85437900000001,14.0,32.0,928.0,,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
Energy Audit,None,Completed,19-Apr-11,14-May-12,M022 New Explorations into Science Technology and Math High School,111 Columbia St,DOE,112.19,10002.0,MANHATTAN,40.718895,-73.97930799999999,3.0,2.0,2201.0,1004070.0,1003350001.0,Lower East Side                                                            
Lighting System Upgrade,Retrofit,Completed,31-Dec-10,1-Jul-11,Doe17 11X041 - 3352 Olinville Avenue,3352 Olinville Ave,DOE,59.12,10467.0,BRONX    ,40.874313,-73.868157,12.0,12.0,374.0,2056898.0,2046240015.0,Williamsbridge-Olinville                                                   
Energy Audit,None,In Progress,,,M019- PS 019- Asher Levy,179 1st Avenue,DOE,,10003.0,MANHATTAN,40.729469,-73.983937,3.0,2.0,40.0,1006478.0,1004530034.0,East Village                                                               
Lighting System Upgrade,Retrofit,Design,,,P.S. 084 Lillian Weber,32 West 92 Street,DOE,146.57,10025.0,MANHATTAN,40.789526,-73.967574,7.0,6.0,177.0,1081042.0,1012050006.0,Upper West Side                                                            
Other,Retro-commissioning,Survey,,,Brooklyn Central Court,120 Schermerhorn Street,DCAS,,11201.0,BROOKLYN ,40.690073999999996,-73.988923,2.0,33.0,43.0,3000534.0,3001690017.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Lighting System Upgrade,Retrofit,Completed,20-Mar-08,16-Oct-08,Midtown North - Manhattan Zone,524 WEST 42ND ST,NYPD,48.84,10036.0,MANHATTAN,40.76017,-73.99678,4.0,3.0,117.0,1026909.0,1010700044.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
HVAC System Upgrade,Retrofit,Install,2-Jul-12,,Queens North Borough Repair Shop - 52-07 58th Street,52-07 58th Street,DSNY,30.86,11377.0,QUEENS   ,40.735462,-73.909675,2.0,30.0,243.0,4054170.0,4023470055.0,Elmhurst-Maspeth                                                           
Comprehensive,Retrofit,Design,,,PS 217 Roosevelt School,"645 Main Street, Manhattan",DOE,379.34,10044.0,MANHATTAN,40.763894,-73.947916,8.0,5.0,23802.0,1084848.0,1013730001.0,Lenox Hill-Roosevelt Island                                                
HVAC System Upgrade,Retrofit,Completed,11-May-10,10-Jun-10,Manhattan Borough Repair Shop,640 West 26th St,DSNY,147.02,10001.0,MANHATTAN,40.751183000000005,-74.00659399999999,4.0,3.0,99.0,1012267.0,1006700050.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
HVAC System Upgrade,Retrofit,Completed,10-Mar-08,31-Dec-08,NYPD - 33rd Precinct,"2207 Amsterdam Ave., NY, NY",NYPD,1.26,10032.0,MANHATTAN,40.840711999999996,-73.93564,12.0,10.0,249.0,1086200.0,1021120010.0,Washington Heights South                                                   
Other,Retro-commissioning,Survey,,,P.S.307K Daniel Hale Williams SchoolP.S.307K Daniel Hale Williams School,209 York Street,DOE,,11201.0,BROOKLYN ,40.701343,-73.982314,2.0,33.0,21.0,3000158.0,3000560007.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
HVAC System Upgrade,Solar Thermal,Design,,,Engine Company 264,16-15 Central Avenue,FDNY,3.41,11691.0,QUEENS   ,40.604896999999994,-73.75222600000001,14.0,31.0,103202.0,4529057.0,4155590025.0,Far Rockaway-Bayswater                                                     
Energy Audit,None,Completed,14-Feb-11,30-Jun-11,Bronx Bergen Building,1932 Arthur Avenue Bronx NY,DCAS,153.01,10457.0,BRONX    ,40.845684999999996,-73.893294,6.0,17.0,36901.0,2009911.0,2029470018.0,East Tremont                                                               
HVAC System Upgrade,Retrofit,Design,7-Nov-11,,Police Headquarters,1 Police Plaza,NYPD,2914.41,10038.0,MANHATTAN,40.712356,-74.00089100000001,1.0,1.0,29.0,1079143.0,1001190001.0,Chinatown                                                                  
HVAC System Upgrade,Retrofit,Install,15-Mar-12,,Humanities & Social Sciences Library,454 Fifth Avenue,NYPL,2122.53,10018.0,MANHATTAN,40.752047,-73.981946,5.0,4.0,84.0,,,Midtown-Midtown South                                                      
Other,Retro-commissioning,Survey,,,P.S. 181 Brooklyn,1023 New York Avenue,DOE,,11203.0,BROOKLYN ,40.648215,-73.946374,17.0,45.0,856.0,3327776.0,3049040010.0,East Flatbush-Farragut                                                     
Comprehensive,Retrofit,Design,,,73rd Precinct,470 EAST NEW YORK AVENUE,NYPD,66.37,11225.0,BROOKLYN ,40.661783,-73.947073,9.0,40.0,806.0,3106522.0,3047920008.0,Prospect Lefferts Gardens-Wingate                                          
Lighting System Upgrade,Retrofit,Install,16-May-12,,Q5 - 48-01 58th Road,58-02 48th Street,DSNY,73.0,11378.0,QUEENS   ,40.721462,-73.921913,5.0,30.0,219.0,4544131.0,4026000001.0,Hunters Point-Sunnyside-West Maspeth                                       
Lighting System Upgrade,Retrofit,Completed,31-May-11,28-Sep-11, Staten Island 2 District Garages,2500 RICHMOND AVENUE     STATEN ISLAND,DSNY,123.92,10314.0,STATEN IS,40.587291,-74.168234,2.0,51.0,228.0,5041599.0,5025200001.0,New Springville-Bloomfield-Travis                                          
Energy Audit,None,Completed,,,Manhattan Family Court,60 Lafayette Street,DCAS,,10013.0,MANHATTAN,40.71646,-74.00232700000001,1.0,1.0,31.0,1001842.0,1001710031.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
Comprehensive,Retrofit,Design,,,"P.S.10K Magnet School of Math, Science and Design Technology",511 7th Avenue,DOE,,11215.0,BROOKLYN ,40.661061,-73.98653399999999,7.0,38.0,149.0,3016509.0,3008690001.0,Park Slope-Gowanus                                                         
Energy Audit,None,Completed,14-Apr-11,8-May-12,PS 084M Lillian Weber,32 West 92nd St,DOE,66.56,10025.0,MANHATTAN,40.789526,-73.967574,7.0,6.0,177.0,1081042.0,1012050006.0,Upper West Side                                                            
Lighting System Upgrade,Retrofit,Design,,,Marta Valle Secondary School,145 Stanton Street,DOE,96.31,10002.0,MANHATTAN,40.720581,-73.98564499999999,3.0,1.0,3001.0,1004323.0,1003540080.0,Chinatown                                                                  
Energy Audit,None,In Progress,,,R052 - PS 052 - John C. Thompson,55 Layton Avenue,DOE,0.0,10301.0,STATEN IS,40.641595,-74.085135,1.0,49.0,9.0,5001150.0,5000490182.0,West New Brighton-New Brighton-St. George                                  
Energy Audit,None,Completed,4-Feb-11,5-Jul-11,Mark A. Constantino Judicial Center,"130 Stuyvesant Pl, Staten Island",DCAS,627.89,10301.0,STATEN IS,40.642891,-74.076874,1.0,49.0,3.0,5000085.0,5000080070.0,West New Brighton-New Brighton-St. George                                  
Energy Audit,None,Completed,15-Feb-11,4-Apr-12,P.S.219Q Paul Klapper,144-39 Gravett Road,DOE,204.58,11367.0,QUEENS   ,40.735275,-73.823778,8.0,24.0,809.0,4448708.0,4065070001.0,Kew Gardens Hills                                                          
Energy Audit,None,Completed,9-Feb-11,23-May-12,P.S.131K,4305 Fort Hamilton Parkway,DOE,64.16,11219.0,BROOKLYN ,40.641157,-73.993482,12.0,39.0,224.0,3136085.0,3056030001.0,Borough Park                                                               
Energy Audit,None,Completed,27-Apr-11,8-May-12,PS 044R Thomas C. Brown,80 Maple Parkway,DOE,68.44,10303.0,STATEN IS,40.63179,-74.156439,1.0,49.0,231.0,5027641.0,5012180001.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
Energy Audit,None,Completed,21-Oct-10,31-Oct-11,Queens Criminal Court,120-55 Queens Blvd. Queens NY 11415,DFMC,2129.43,11415.0,QUEENS   ,40.713328999999995,-73.828601,9.0,29.0,216.0,4052812.0,4022740002.0,Kew Gardens                                                                
Other,Retro-commissioning,Survey,,,PS 75M Emily Dickinson School,735 West End Avenue,DOE,,10025.0,MANHATTAN,40.795157,-73.973292,7.0,6.0,183.0,1034190.0,1012530065.0,Upper West Side                                                            
Other,Retro-commissioning,Survey,,, I.S.318K Eugenio Maria De Hostos School,101 Walton Street,DOE,,11206.0,BROOKLYN ,40.7025,-73.94886899999999,1.0,33.0,509.0,3061328.0,3022460001.0,Williamsburg                                                               
Lighting System Upgrade,Retrofit,Completed,4-Dec-09,11-Jun-10,Police Forensic Lab - Lighting,150-18 JAMAICA AVENUE,NYPD,125.53,11432.0,QUEENS   ,40.702202,-73.804163,12.0,27.0,240.0,4215603.0,4100920006.0,Jamaica                                                                    
Other,Retro-commissioning,Survey,,,M600 - Fashion Industries HS,225 West 24th St,DOE,,10011.0,MANHATTAN,40.745156,-73.996074,4.0,3.0,91.0,1014174.0,1007740019.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Other,Retro-commissioning,Survey,,,K126 John Ericsson JHS,424 Leonard Street,DOE,,11222.0,BROOKLYN ,40.719819,-73.948625,1.0,33.0,499.0,3067788.0,3027120001.0,Greenpoint                                                                 
Energy Audit,None,Completed,27-Jan-11,31-Dec-11,Central Building,10 Grand Army Plaza,BPL,,11238.0,BROOKLYN ,40.672833000000004,-73.96906899999999,55.0,35.0,177.0,3029665.0,3011830002.0,park-cemetery-etc-Brooklyn                                                 
Other,Retro-commissioning,Survey,9-Aug-11,,City Center,131 West 55th Street,DCLA,,10019.0,MANHATTAN,40.763607,-73.979496,5.0,4.0,137.0,1023391.0,1010080015.0,Midtown-Midtown South                                                      
Comprehensive,Solar Thermal,Install,,,St. Mary's Rec Center,450 St. Ann's Avenue,DPR,12.83,10455.0,BRONX    ,40.811972,-73.914275,1.0,8.0,37.0,2003692.0,2025570001.0,Mott Haven-Port Morris                                                     
Lighting System Upgrade,Retrofit,Design,,,J.H.S. 383 Philippa Schuyler,1300 Greene Avenue,DOE,156.59,11237.0,BROOKLYN ,40.697781,-73.919777,4.0,37.0,431.0,3075413.0,3032980001.0,Bushwick North                                                             
Energy Audit,None,Completed,14-Feb-11,24-May-11,Bronx Housing Court,1118 Grand Concourse,DCAS,,10456.0,BRONX    ,40.832232,-73.919655,4.0,16.0,18102.0,2101266.0,2024620039.0,East Concourse-Concourse Village                                           
HVAC System Upgrade,Retrofit,Completed,6-Mar-08,19-Sep-08,P.S. 123K / P.S. 377K / P.S. 106K,200 Woodbine St.,DOE,101.35,,,,,,,,,,
Energy Audit,None,Completed,26-Oct-10,14-Jul-11,M199 - PS 199M Jessie Isador Straus,270 West 70 Street,DOE,62.16,10023.0,MANHATTAN,40.778059000000006,-73.984449,7.0,6.0,155.0,1030351.0,1011580040.0,Lincoln Square                                                             
Energy Audit,None,Completed,4-Nov-10,3-Jun-11,Bushwick Multi Service Center,1420 Bushwick Ave,HRA,23.19,11207.0,BROOKLYN ,40.684318,-73.909056,4.0,37.0,403.0,3080067.0,3034440022.0,Bushwick South                                                             
Energy Audit,None,Completed,16-Aug-11,12-Dec-11,Bronx Family & Criminal Court,215 East 161st Street,DCAS,,10451.0,BRONX    ,40.826236,-73.920529,4.0,16.0,18302.0,2002704.0,2024540001.0,East Concourse-Concourse Village                                           
HVAC System Upgrade,Retrofit,Install,1-Jul-09,,Carnegie Hall,881 7th Avenue,DCLA,,10019.0,MANHATTAN,40.764941,-73.98044499999999,5.0,4.0,137.0,1023449.0,1010090001.0,Midtown-Midtown South                                                      
