,sampling_location,sample_date,sample_time,weather_condition_dry_or_wet,top_sample_temperature_c,site_actual_depth_ft,top_sample_depth_ft,top_salinity_psu,top_conductivity_s_m,ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l,percentage_o2_saturation_top_sample,light_trans_transparency_top_sample,top_sigma_t_kg_m3,top_fluorometer_mg_m3,top_sample_par_ue_s_m2,oxidation_reduction_potential_mv_top_sample,current_speed_knot,current_direction_current_direction,wind_speed_mph,wind_direction_wind_direction,sea_state,winkler_method_top_dissolved_oxygen_mg_l,secchi_depth_ft,top_ph,top_fecal_coliform_bacteria_cells_100ml,top_enterococci_bacteria_cells_100ml,top_nitrate_nitrite_mg_l,top_ammonium_mg_l,top_ortho_phosphorus_mg_l,top_total_kjeldhal_nitrogen_mg_l,top_silica_mg_l,total_phosphorus_mg_l,top_total_suspended_solid_mg_l,top_active_chlorophyll_a_g_l,top_dissolved_organic_carbon_mg_l,long,lat,type,bottom_sample_temperature_c,bottom_salinity_psu,winkler_method_bottom_dissolved_oxygen_mg_l,top_total_coliform_cells_100_ml,top_bottom_coliform_cells_100_ml,top_five_day_biochemical_oxygen_demand_mg_l,bottom_five_day_biochemical_oxygen_demand_mg_l,oakwood_bod_top_sample_mg_l,oakwood_bod_bottom_sample_mg_l,bottom_sample_depth_ft,bottom_conductivity_s_m,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,percentage_o2_saturation_bottom_sample,bottom_sigma_t_kg_m3,bottom_fluorometer_mg_m3,bottom_ph,bottom_fecal_coliform_bacteria_cells_100ml,enterococcus_top_sample_less_than_or_greater_than_result,enterococcus_bottom_sample_less_than_or_greater_than_result,bottom_enterococci_bacteria_cells_100ml,bottom_total_suspended_solid_mg_l,sampling_comment,top_pcb_plate_count_thous_ml,bottom_pcb_plate_count_thous_ml,oxidation_reduction_potential_mv_bottom_sample,light_trans_transparency_bottom_sample,ctd_conductivity_temperature_depth_profiler_ph_top_sample,ctd_conductivity_temperature_depth_profiler_ph_bottom_sample,top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s,duplicate_sample,bottom_sample_par_ue_s_ue_s_m2,bottom_silica_mg_l,top_sample_salinity_ysi_psu,top_sample_temperature_ysi_c,top_coliform_log_no_ml,bottom_coliform_log_no_ml,fecal_coliform_top_sample_less_than_or_greater_than_result,chlorophyll_top_sample_field_u_l_ysi,top_dissolved_organic_carbon_ysi_mg_l,bottom_dissolved_organic_carbon_ysi_mg_l,bottom_sample_salinity_ysi_psu,bottom_sample_temperature_ysi_c,top_bacteria_per_c_c_1909,bottom_bacteria_per_c_c_1909,top_turbidity_nephelometric_turbidity_units,top_total_organic_carbon_mg_l,chlorophyll_bottom_sample_field_u_l_ysi,bottom_turbidity_ysi_nephelometric_turbidity_units,fecal_coliform_bottom_sample_less_than_or_greater_than_result,bottom_nitrate_nitrite_mg_l,bottom_ammonium_mg_l,bottom_ortho_phosphorus_mg_l,bottom_total_phosphorus_mg_l,bottom_total_kjeldhal_nitrogen_mg_l,top_sample_depth_ysi_ft,bottom_depth_ysi_ft,bottom_active_chlorophyll_a_g_l
512,H2,1986-09-22T00:00:00.000,12:32 PM,,19.0,23.0,,13.0,,,,,,,,,,S,,,,5.0,3.0,7.3,50,,,,,,,,,,,-73.91861,40.858609,Permanent,19,13,5.6,400,4900,,,1.0,1.5,,,,,,,7.5,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,H3,1992-02-06T00:00:00.000,11:44 AM,,1.8,29.0,,13.4,,,,,,,,,,W,,,,12.09,3.0,7.88,,,0.54,0.4,0.068,,,0.12,28.0,4.7,,-73.933833,40.828,Permanent,2,16.3,11.58,,,,,1.7,1.7,,,,,,,7.77,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,N1,2008-09-08T00:00:00.000,3:37 PM,Wet,25.38,48.0,5.0,7.1,1.25,7.77,98.78,,2.28,9.6849,59.21,,1,N,3,NE,1,8.92,3.0,7.73,166,2,0.426,0.032,0.086,1.28,1.66,0.119,5.2,8.88,6.6,-73.916167,40.9145,Permanent,23.76,20.21,5.85,,,,,,,47.0,3.16,4.86,64.72,12.55,2.0118,7.39,,,,,21.2,,,,,,,,1773.15,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
515,N7,2013-08-20T00:00:00.000,3:53 PM,Dry,22.47,48.0,3.0,22.93,3.45,5.19,68.38,8.33,14.95,18.7072,1597.5,,2,170,calm,calm,1,5.34,3.0,7.52,30,2,0.384,0.289,,0.499,2.406,0.104,9.0,2.5,3.0,-74.053833,40.643833,Permanent,21.36,25.03,5.96,,,,,,,45.0,3.65,5.41,70.9,16.83,17.8364,7.58,,E,,,12.0,,,,,6.91,,,1607.2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
516,MVM,1980-09-03T00:00:00.000,8:10 AM,,25.0,,,17.2,,,,,,,,,,S,,,,5.1,,,,,,,,,,,,,,-73.918217,40.917636,Permanent,25,19.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,MVM,1980-09-03T00:00:00.000,8:10 AM,,25.0,,,17.2,,,,,,,,,,S,,,,5.1,,,,,,,,,,,,,,-73.918217,40.917636,Permanent,25,19.9,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,J14,2013-08-08T00:00:00.000,11:12 AM,Wet,,22.0,,,,,,,,,,,2,S,5,SW,1,,,8.07,4,4,0.018,0.111,0.08,1.106,0.255,0.213,17.0,34.3,4.8,-73.823778,40.609169,Permanent,,,,,,,,,,,,,,,,,,<,,,,No Turbidity probe.,,,,,,,,,,,28.73,23.96,,,<,38.5,5.6,,,,,,,,,,,,,,,,,,
519,FB1,2008-10-20T00:00:00.000,11:53 AM,Dry,,19.0,,,,,,,,,,,0.4,E,6,N,1,8.95,6.0,7.2,60,8,0.5,0.79,0.192,3.09,2.06,0.407,7.2,0.61,2.8,-73.853058,40.772042,Permanent,,,8.76,,,,,,,,,,,,,7.24,,,,,4.0,,,,,,,,,,,,24.9,15.1,,,,,,,24.8,15.0,,,,,,,,,,,,,,,
520,E7,1964-06-22T00:00:00.000,11:50 AM,,17.8,45.0,,28.7,,,,,,,,,,W,,,,6.5,,,,,,,,,,,,,,-73.8205,40.805,Permanent,17.2,28.35,6.8,75,93,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,K2,2006-02-09T00:00:00.000,,Dry,,,,,,,,,,,,,,,,,,11.21,4.0,,84,10,0.688,0.36,,0.623,4.37,0.099,30.0,1.84,4.33,-74.153,40.641167,Permanent,,,10.8,,,,,,,,,,,,,,,,,,27.5,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,N6,1965-09-07T00:00:00.000,9:00 AM,,21.7,56.0,,26.25,,,,,,,,,,S,,,,5.5,,,,,,,,,,,,,,-74.051333,40.664667,Permanent,21.1,28.35,5.4,140,2200,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,J2,2011-06-07T00:00:00.000,1:12 PM,Dry,20.24,34.0,3.0,25.59,3.64,15.77,203.03,62.4,17.54,66.8829,,363.674,WEAK,E,12,W,1,15.2,3.0,8.49,5,1,0.01,0.028,,0.978,0.08,0.171,10.0,46.8,3.5,-73.885835,40.608055,Permanent,17.69,27,11.79,,,,,,,32.0,3.61,10.82,133.78,19.23,50.4052,8.17,,,,,20.0,,,,377.084,75.27,8.64,8.37,2113.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,N1,2001-05-01T00:00:00.000,1:38 PM,Dry,12.26,46.0,4.5,1.74,0.25,,,,0.83,,,,,S,1,NW,1,10.63,1.5,7.85,64,14,0.604,0.102,0.036,0.809,4.61,0.104,30.2,0.67,2.96,-73.916167,40.9145,Permanent,10.41,12.23,10.29,,,,,,,47.2,1.48,,,9.18,,7.73,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,
525,NC1,2014-08-13T00:00:00.000,10:25 AM,Wet,23.27,22.0,3.0,21.88,3.36,3.39,45.08,66.02,13.94,8.2757,486.87,193.017,hwslk,,4,NNW,1,4.33,2.0,7.11,"31,000",5200,0.246,0.327,0.186,1.011,3.1,0.319,25.0,29.3,3.22,-73.92704,40.724545,Permanent,23.53,23.32,3.72,,,,,,,18.0,3.58,3.38,45.49,14.95,4.8112,7.16,39000.0,,,3900.0,25.0,Blackish tint to water.,,,194.632,70.71,,,1488.3,,1.22,3.007,,,,,,,,,,,,,,,,,,,,,,,,,
526,AC1,2010-07-12T00:00:00.000,10:26 AM,Dry,,5.34,,,,,,,,,,,,,,,,,,7.1,94,48,0.062,0.162,0.129,1.296,1.82,0.281,16.4,16.2,3.4,-73.75175,40.763172,Permanent,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,25.27,23.25,,,,9.1,5.35,,,,,,12.5,,,,,,,,,,,,
527,K1,2004-06-30T00:00:00.000,4:10 PM,Dry,19.62,38.0,4.0,20.54,2.94,,58.86,,13.86,,,,0.8,W,12,W,1,6.36,4.0,7.34,500,4,0.276,0.321,,0.86,0.97,0.111,10.8,3.61,,-74.081945,40.651112,Permanent,18.1,23.08,6.56,,,,,,,48.0,3.16,,57.76,16.15,,7.44,,,,,7.2,,,,,,,,,,,,,,,,,2.43,4.77,4.75,,,,,,,,,,,,,,,,,
528,SP1,2010-08-24T00:00:00.000,10:25 AM,Wet,,3.47,,,,,,,,,,,,,,,,,,7.81,"16,000",450,0.468,1.06,0.385,2.288,3.77,0.482,8.8,7.5,4.0,-73.860294,40.655069,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.05,22.87,,,,5.8,3.31,,,,,,1.7,,,,,,,,,,,,
529,G2,2011-09-20T00:00:00.000,6:18 PM,Dry,19.3,30.0,3.0,13.47,1.99,7.17,84.37,69.81,8.58,42.2184,22.15,67.852,0.3,E,3,W,1,6.95,3.0,7.42,260,43,0.269,0.217,,0.686,3.35,0.104,8.0,0.9,4.2,-74.003333,40.666667,Permanent,18.88,23.8,5.77,,,,,,,29.0,3.31,5.38,66.83,16.51,38.0122,7.42,,,,,6.0,,,,63.065,72.01,8.79,8.81,286.85,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
530,E2,1966-07-27T00:00:00.000,9:15 AM,,22.8,40.0,,26.25,,,,,,,,,,S,,,,2.2,,,,,,,,,,,,,,-73.97,40.735333,Permanent,22.2,26.25,2.5,790,490,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,TNQ,1971-08-09T00:00:00.000,2:15 PM,,22.8,,,24.4,,,,,,,,,,NE,,,,4.2,,,,,,,,,,,,,,-73.79204,40.79494,Permanent,20.6,24.9,2.3,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,H4,1998-06-10T00:00:00.000,11:54 PM,,16.81,24.0,3.28,15.68,2.16,6.8,77.21,36.04,10.79,,8.9,,,S,2,N,1,6.85,2.5,7.46,46,,0.378,0.209,,0.85,1.76,0.145,26.0,5.8,,-73.929168,40.803613,Permanent,16.66,16.79,6.71,,,,,,,22.96,2.29,,,11.66,,7.47,42.0,,,,26.0,,,,,41.08,,,10.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,N1,1962-07-18T00:00:00.000,11:50 AM,,21.1,46.0,,18.55,,,,,,,,,,N,,,,3.2,,,,,,,,,,,,,,-73.916167,40.9145,Permanent,21.7,19.95,2.5,23,150,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,SP1,2009-10-19T00:00:00.000,10:53 AM,Wet,,4.98,,,,,,,,,,,,,,,,,,7.57,130,30,0.577,0.848,0.145,3.34,1.61,0.606,100.0,19.0,3.6,-73.860294,40.655069,Permanent,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,28.3,10.0,,,E,2.1,7.09,,,,,,3.7,,,,,,,,,,,,
535,x2079_1911_DO,1911-10-16T00:00:00.000,5:22 PM,,,,,,,,,,,,,,,Flood,,,,,,,,,,,,,,,,,,-74.056944,40.654444,Permanent,16,,4.68,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,E4,1950-09-06T00:00:00.000,9:50 AM,,21.7,76.0,,28.35,,,,,,,,,,S,,,,1.9,,,,,,,,,,,,,,-73.922,40.7825,Permanent,21.7,29.05,1.7,,,1.0,1.0,,,,,,,,,,,,,,,,0.45,0.58,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
537,E7,2015-06-22T00:00:00.000,2:46 PM,Wet,19.4,47.0,3.0,24.04,3.38,5.29,66.25,77.06,16.57,1.8061,1288.8,284.916,1,W,8,W,1,7.04,4.5,7.39,41,4,0.215,0.297,,0.356,1.206,0.143,21.0,4.61,2.17,-73.8205,40.805,Permanent,18.75,24.7,5.98,,,,,,,37.0,3.41,5.43,67.42,17.23,2.5587,7.4,,E,,,26.0,,,,284.313,72.66,,,,,1.12,1.228,,,,,,,,,,,,,,,,,,,,,,,,,
538,E6,1921-07-15T00:00:00.000,12:50 PM,,22.0,14.0,,25.2,,,,,,,,,,W,,,,1.44,,,,,,,,,,,,,,-73.860833,40.7855,Permanent,22,25.55,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,N5,1927-06-15T00:00:00.000,10:10 AM,,17.8,49.0,,22.4,,,,,,,,,,SL,,,,2.84,,,,,,,,,,,,,,-74.03,40.7045,Permanent,15.6,24.5,3.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,FLC2,2007-08-06T00:00:00.000,11:43 AM,Dry,24.0,13.0,3.0,23.56,3.65,1.49,20.32,,15.01,17.3473,39.82,108.476,0.3,W,6,S,1,2.93,3.0,7.23,696,120,0.255,0.525,,0.138,2.61,0.024,11.0,21.84,3.02,-73.842833,40.765,Permanent,23.5,24.9,2.43,,,,,,,11.0,3.8,2.07,28.11,16.16,8.531,7.16,,,,,65.25,,,,103.396,,,,480.97,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,
541,x795_1911_DO,1911-08-03T00:00:00.000,12:27 PM,,23.0,,1.0,,,,,,,,,,,Flood,,,,2.74,,,,,,,,,,,,,,-74.0,40.699167,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,H2,1951-08-02T00:00:00.000,10:25 AM,,25.0,16.0,,10.5,,,,,,,,,,S,,,,3.8,,,,,,,,,,,,,,-73.91861,40.858609,Permanent,25,11.2,3.4,,,1.0,2.0,,,,,,,,,,,,,,,,3.0,1.5,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
543,N3,1933-07-13T00:00:00.000,2:25 PM,,24.4,46.0,,17.5,,,,,,,,,,N,,,,3.04,,,,,,,,,,,,,,-73.954182,40.836396,Permanent,23.3,20.3,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,N6,1955-08-04T00:00:00.000,8:55 AM,,24.4,56.0,,28.0,,,,,,,,,,NE,,,,2.0,,,,,,,,,,,,,,-74.051333,40.664667,Permanent,24.4,30.8,3.1,1100,1100,4.0,2.0,,,,,,,,,,,,,,,,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,X121,1922-07-06T00:00:00.000,10:40 AM,,22.8,,,16.8,,,,,,,,,,S,,,,1.96,,,,,,,,,,,,,,-74.027603,40.654114,Permanent,22.2,18.2,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,E9,1956-07-23T00:00:00.000,12:05 PM,,18.9,69.0,,26.6,,,,,,,,,,W,,,,6.4,,,,,,,,,,,,,,-73.777221,40.832226,Permanent,18.3,27.3,5.9,9,9,3.0,2.0,,,,,,,,,,,,,,,,0.003,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,NC2,2007-09-20T00:00:00.000,10:50 AM,Dry,22.0,19.0,,22.9,,,,,,,,,SLK,,2,N,1,8.26,3.0,7.47,80,4,0.294,0.426,0.139,1.54,2.49,0.268,5.5,57.66,3.78,-73.9355,40.728833,Permanent,22,23.8,3.31,,,,,,,,,,,,,7.23,24.0,,,30.0,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,x2016_1911_DO,1911-10-13T00:00:00.000,4:20 PM,,,,,,,,,,,,,,,Ebb,,,,,,,,,,,,,,,,,,-73.920833,40.913889,Permanent,16,,5.04,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,J3,1982-07-22T00:00:00.000,10:48 AM,,25.6,,,28.7,,,,,,,,,,E,,,,4.5,,,,,,,,,,,,,,-73.882833,40.627,Permanent,24.4,30.3,5.4,2400000,35000,,,2.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,J3,1982-07-22T00:00:00.000,10:48 AM,,25.6,,,28.7,,,,,,,,,,E,,,,4.5,,,,,,,,,,,,,,-73.882833,40.627,Permanent,24.4,30.3,5.4,2400000,35000,,,2.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,N8A,1999-06-02T00:00:00.000,2:51 PM,,20.05,22.0,3.28,25.21,35.74,7.6,97.29,36.35,17.3,,,,,N,9,E,1,15.93,3.0,8.31,,,0.004,0.018,,0.96,0.332,0.249,2.2,50.1,,-74.0455,40.606167,Permanent,16.21,26.8,10.62,,,,,,,22.96,34.71,8.58,102.89,19.4,,7.92,,,,,2.2,,,,,65.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,FLC1,2007-06-18T00:00:00.000,12:30 PM,Dry,19.79,18.0,3.0,23.06,3.28,3.82,48.04,,15.73,14.5434,221.76,,0.1,S,3,SW,1,4.75,3.0,7.36,141,4,0.206,0.632,0.127,1.38,1.284,0.23,10.5,13.0,4.3,-73.836667,40.762167,Permanent,19.3,23.21,4.9,,,,,,,16.0,3.26,3.2,39.88,15.96,9.3273,7.32,,,,,9.25,,,,,,,,1912.25,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,
553,E10,1994-07-21T00:00:00.000,12:39 PM,,,87.0,,,,,,,,,,,,E,,,,8.22,5.0,,,,,,,,,,,,,-73.765333,40.843667,Permanent,,,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,E11,1997-06-16T00:00:00.000,12:44 PM,,18.97,8.0,3.28,23.39,3.26,11.31,140.27,40.92,16.18,42.94,7.85,,,N,8,W,1,14.27,2.0,8.37,13,,0.1,0.015,0.008,0.786,,0.125,12.0,19.0,,-73.763333,40.7875,Permanent,17.74,23.52,11.74,,,,,,,6.56,3.19,10.63,128.8,16.56,44.78,8.18,13.0,,,,21.0,,,,,45.72,,,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,K1,1929-08-28T00:00:00.000,10:45 AM,,22.2,35.0,,25.9,,,,,,,,,,SL,,,,2.56,,,,,,,,,,,,,,-74.081945,40.651112,Permanent,22.2,25.9,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,N4,2000-09-27T00:00:00.000,11:55 AM,Wet,18.95,50.0,3.3,21.63,30.38,,0.24,3.8,14.85,,,,,NW,0,,1,5.95,4.5,7.25,283,,0.39,0.358,0.121,0.738,1.96,0.181,11.2,1.64,4.23,-74.005833,40.7645,Permanent,18.39,25.13,5.43,,,,,,,49.2,34.38,,1.97,17.64,,7.46,,,,,12.4,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,GC4,2014-11-18T00:00:00.000,9:40 AM,Wet,,7.5,,,,,,,,,,,,,,,,,,,"26,000",7500,0.37,1.058,0.228,2.302,2.368,0.513,20.0,1.29,6.58,-73.989073,40.678034,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,N3,1987-07-15T00:00:00.000,11:00 AM,,25.2,50.0,,,,,,,,,,,,N,,,,4.8,2.5,7.47,400,,,,,,,,,,,-73.954182,40.836396,Permanent,24.9,,3.5,2300,54000,,,2.8,3.7,,,,,,,7.31,3800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,H5,1980-06-30T00:00:00.000,1:21 PM,,21.1,,,22.5,,,,,,,,,,N,,,,4.3,,,,,,,,,,,,,,-73.935832,40.787777,Permanent,20,26.1,4.2,13000,27000,,,1.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,E2A,1991-06-17T00:00:00.000,10:20 AM,,20.2,20.0,,24.0,,,,,,,,,,E,,,,3.2,5.0,,,,,,,,,,,,,-73.959173,40.737771,Permanent,20.1,24,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,H5,1980-06-30T00:00:00.000,1:21 PM,,21.1,,,22.5,,,,,,,,,,N,,,,4.3,,,,,,,,,,,,,,-73.935832,40.787777,Permanent,20,26.1,4.2,13000,27000,,,1.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,J7,1969-06-19T00:00:00.000,12:00 PM,,21.1,,,24.5,,,,,,,,,,N,,,,7.1,,,,,,,,,,,,,,-73.820833,40.645333,Permanent,20.6,24.9,5.1,3300,3300,,,4.3,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,H2,1973-08-15T00:00:00.000,12:00 PM,,25.6,,,15.4,,,,,,,,,,N,,,,2.9,,,,,,,,,,,,,,-73.91861,40.858609,Permanent,24.4,15.7,3.2,92000,28000,,,1.6,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,N1,1997-08-18T00:00:00.000,,,24.46,,3.28,16.6,2.68,4.37,57.74,41.36,9.65,3.6,11.17,,,,,,,5.65,2.0,7.27,93,,0.512,0.243,0.115,0.662,,0.215,15.0,8.6,,-73.916167,40.9145,Permanent,24.37,17.29,5.0,,,,,,,42.64,2.78,4.06,53.72,10.19,2.86,7.3,53.0,,,,,,,,,32.78,,,8.83,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,x609_1909,1909-07-01T00:00:00.000,10:45 AM,,26.0,,1.0,,,,,,,,,,,Ebb,,,,,,,,,,,,,,,,,,-73.848314,40.585161,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,
566,K3,2004-06-30T00:00:00.000,3:25 PM,Dry,21.36,39.0,4.0,19.55,2.92,,68.7,,12.69,,,,0.9,N,9,SW,1,7.94,6.0,7.42,450,1,0.405,0.301,,0.84,0.88,0.136,1.2,10.04,,-74.195833,40.6375,Permanent,20.48,20.26,7.4,,,,,,,40.0,2.96,,69.27,13.44,,7.52,,,,,3.6,,,,,,,,,,,,,,,,,5.31,5.41,5.53,,,,,,,,,,,,,,,,,
567,x850_1913_DO,1913-07-11T00:00:00.000,1:00 PM,,3.0,,1.0,,,,,,,,,,,Flood,,,,,,,,,,,,,,,,,,-74.1025,40.646111,Permanent,,,,,,,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,N4,1983-09-14T00:00:00.000,11:39 AM,,22.2,,,16.9,,,,,,,,,,S,,,,5.2,,,,,,,,,,,,,,-74.005833,40.7645,Permanent,22.2,25.5,4.8,13000,13000,,,3.1,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,N4,1983-09-14T00:00:00.000,11:39 AM,,22.2,,,16.9,,,,,,,,,,S,,,,5.2,,,,,,,,,,,,,,-74.005833,40.7645,Permanent,22.2,25.5,4.8,13000,13000,,,3.1,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,N6,1997-08-14T00:00:00.000,10:20 AM,,22.36,54.0,3.28,24.25,3.62,4.27,56.7,71.18,15.98,2.07,2.85,,,S,7,N,1,5.55,3.5,7.38,69,,0.324,0.34,0.114,0.894,,0.218,22.0,6.6,,-74.051333,40.664667,Permanent,20.54,27.88,5.3,,,,,,,45.92,3.95,4.4,57.79,19.2,4.64,7.52,6.0,,,,21.0,,,,,75.17,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,WC3,2016-01-12T00:00:00.000,1:53 PM,Wet,6.44,10.4,3.0,24.58,2.5,,,,19.29,1.01,,,0.6,S,14.0,SW,1,9.43,3.0,7.75,330,36,0.41,0.259,0.112,0.307,2.34,0.159,9.0,1.5,2.2,-73.843187,40.815067,Permanent,6.40,24.68,,,,,,,,9.0,2.5,,,19.37,1.19,,,E,,,,Sample taken South of Buoy 10. See captain's log for actual Lat and Long.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,E4,2016-06-20T00:00:00.000,9:42 AM,Dry,18.17,68.0,3.0,24.39,3.3,6.3,77.3,67.8,17.13,1.36,,248.73,2.1,E,3.0,N,1,6.68,3.0,7.59,5,4,0.231,0.258,,0.545,1.17,0.077,24.0,2.08,2.14,-73.922,40.7825,Permanent,18.21,24.39,6.18,,,,,,,65.0,3.3,6.27,77.0,17.12,1.51,7.6,,,,,26.0,,,,243.29,66.7,7.5,7.39,,,,1.184,,,,,,,,,,,,,,,,,,,,,,,,,
573,E3,1932-06-29T00:00:00.000,2:55 PM,,22.8,42.0,,25.2,,,,,,,,,,N,,,,0.9,,,,,,,,,,,,,,-73.966112,40.747499,Permanent,21.1,25.9,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,E13,1993-09-16T00:00:00.000,11:43 AM,,22.46,29.0,1.0,25.65,3.82,,,,17.01,,,,,W,,,,4.71,4.5,7.49,368,,0.42,0.41,0.16,,,0.24,25.0,14.3,,-73.841113,40.806111,Permanent,22.48,25.7,4.32,9000,9000,,,1.8,2.1,7.0,3.83,,,17.04,,7.47,338.0,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,H5,1966-09-27T00:00:00.000,1:58 PM,,18.9,22.0,,23.1,,,,,,,,,,N,,,,4.2,,,,,,,,,,,,,,-73.935832,40.787777,Permanent,18.9,23.1,2.8,1100,3500,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,H4,1980-09-02T00:00:00.000,10:58 AM,,25.6,,,26.7,,,,,,,,,,N,,,,2.5,,,,,,,,,,,,,,-73.929168,40.803613,Permanent,25.6,27.4,2.4,33000,17000,,,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
