development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_hcf,water_sewer_charges,other_charges
FHA REPOSSESSED HOUSES (GROUP IX),FHA,FHA REPOSSESSED HOUSES (GROUP IX),353 BERRIMAN STREET,NONE,,283,376,Q028300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8105723,2019-08,2019-07-29T00:00:00.000,2019-08-28T00:00:00.000,30,N51521740,N,454.7,Basic Water and Sewer,Yes,44,454.7,0.0
FHA REPOSSESSED HOUSES (GROUP III),FHA,FHA REPOSSESSED HOUSES (GROUP III),111-32 209TH STREET,AMR,,213,340,Q021300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8093291,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E20304849,N,51.67,Basic Water and Sewer,Exception,500,51.67,0.0
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 06,AMR,BLD 06,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8096865,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E20291369,N,217.02,Basic Water and Sewer,Yes,21,217.02,0.0
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),,NONE,,51,573,Q005100,FEDERAL,NY005010980P,NEW YORK CITY WATER BOARD,8145051,2019-08,2019-07-24T00:00:00.000,2019-09-11T00:00:00.000,49,R32599613,Y,62.19,Basic Water and Sewer,Yes,2,62.19,0.0
FHA REPOSSESSED HOUSES (GROUP II),FHA,FHA REPOSSESSED HOUSES (GROUP II),444 TORRY AVENUE,AMR,,212,327,Q021200,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8097122,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,K16830957,N,72.34,Basic Water and Sewer,Exception,700,72.34,0.0
FHA REPOSSESSED HOUSES (GROUP VI),FHA,FHA REPOSSESSED HOUSES (GROUP VI),105-36 FARMERS BOULEVARD,AMR,,273,395,Q027300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8093302,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E19469155,N,82.67,Basic Water and Sewer,Exception,800,82.67,0.0
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 18,AMR,BLD 18,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8092449,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,G13008289,N,0.0,Basic Water and Sewer,Exception,5500,0.0,0.0
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),,NONE,,51,573,Q005100,FEDERAL,NY005010980P,NEW YORK CITY WATER BOARD,8145138,2019-08,2019-07-24T00:00:00.000,2019-09-11T00:00:00.000,49,N51387759,Y,62.19,Basic Water and Sewer,Yes,2,62.19,0.0
CROWN HEIGHTS,BROOKLYN,CROWN HEIGHTS,BLD 04,AMR,,312,331,K031200,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,8095088,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,O78610291,N,1095.41,Basic Water and Sewer,Yes,106,1095.41,0.0
FHA REPOSSESSED HOUSES (GROUP V),FHA,FHA REPOSSESSED HOUSES (GROUP V),174-36 126TH AVENUE,AMR,,260,397,Q026000,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095625,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,V48009383,N,103.34,Basic Water and Sewer,Yes,10,103.34,0.0
FHA REPOSSESSED HOUSES (GROUP VIII),FHA,FHA REPOSSESSED HOUSES (GROUP VIII),111-20 205TH STREET,AMR,,275,520,Q027500,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8096689,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E19432321,N,38.07,Basic Water and Sewer,Exception,0,0.0,38.07
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 22,AMR,BLD 22,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8096745,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,O77670576,N,7492.22,Basic Water and Sewer,Yes,725,7492.22,0.0
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 03,AMR,BLD 03,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8093019,2019-08,2019-07-23T00:00:00.000,2019-08-24T00:00:00.000,32,E20453242,Y,134.34,Basic Water and Sewer,Yes,13,134.34,0.0
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 13,AMR,BLD 13,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8096851,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,G11023092,N,38.07,Basic Water and Sewer,Exception,0,0.0,38.07
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 15,NONE,,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8145092,2019-08,2019-07-24T00:00:00.000,2019-09-11T00:00:00.000,49,N28574008,Y,4422.99,Basic Water and Sewer,Yes,428,4422.99,0.0
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 28,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,8092962,2019-08,2019-07-24T00:00:00.000,2019-08-24T00:00:00.000,31,E98161917,Y,2438.85,Basic Water and Sewer,Yes,236,2438.85,0.0
INTERNATIONAL TOWER,QUEENS,INTERNATIONAL TOWER,BLD 01,AMR,BLD 01,316,296,Q031600,FEDERAL,NY005010910P,NEW YORK CITY WATER BOARD,8093173,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E13090623,N,10024.08,Basic Water and Sewer,Yes,970,10024.08,0.0
HOWARD AVENUE,BROOKLYN,HOWARD AVENUE,BLD 03,NONE,,339,782,K033900,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,8145047,2019-08,2019-07-24T00:00:00.000,2019-09-11T00:00:00.000,49,O78997367,Y,9218.02,Basic Water and Sewer,Yes,892,9218.02,0.0
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 07,AMR,BLD 07,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8097244,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E20290719,N,165.35,Basic Water and Sewer,Yes,16,165.35,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),114-11 130TH STREET,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095333,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,V48018570,N,38.07,Basic Water and Sewer,Yes,0,0.0,38.07
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),115-21 200TH STREET,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095460,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E21225014,N,62.0,Basic Water and Sewer,Yes,6,62.0,0.0
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 02,AMR,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,8092683,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E12292737,N,4660.68,Basic Water and Sewer,Yes,451,4660.68,0.0
FHA REPOSSESSED HOUSES (GROUP IX),FHA,FHA REPOSSESSED HOUSES (GROUP IX),110 WAVERLY AVENUE,NONE,,283,376,Q028300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8145158,2019-08,2019-07-24T00:00:00.000,2019-09-11T00:00:00.000,49,V52173704,Y,62.19,Basic Water and Sewer,Yes,2,62.19,0.0
WEST FARMS ROAD REHAB,BRONX,WEST FARMS ROAD REHAB,BLD 04,AMR,,360,780,B053000,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,8095018,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E12282571,N,14323.06,Basic Water and Sewer,Yes,1386,14323.06,0.0
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 15,AMR,BLD 15,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8095872,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E132272916,N,7450.89,Basic Water and Sewer,Yes,721,7450.89,0.0
FHA REPOSSESSED HOUSES (GROUP X),FHA,FHA REPOSSESSED HOUSES (GROUP X),138-20 102ND AVENUE,AMR,,284,521,Q028400,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8096873,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,V48002806,N,103.34,Basic Water and Sewer,Yes,10,103.34,0.0
MELROSE,BRONX,MELROSE,BLD 09 - Community Center,AMR,Community Center,28,523,B202800,FEDERAL,NY005010280P,NEW YORK CITY WATER BOARD,8092843,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,N31934550,N,568.38,Basic Water and Sewer,Yes,55,568.38,0.0
MARLBORO,BROOKLYN,MARLBORO,BLD 29,AMR,BOILER PLANT,83,426,K008300,MIXED FINANCE/LLC1,NY005020830P,NEW YORK CITY WATER BOARD,8096568,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E14262604,N,4671.01,Basic Water and Sewer,Yes,452,4671.01,0.0
WILLIAMSBURG,BROOKLYN,WILLIAMSBURG,BLD 13,AMR,STORE 20-21,2,200,K000200,FEDERAL,NY005000020P,NEW YORK CITY WATER BOARD,8097215,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,V52268797,N,38.07,Basic Water and Sewer,Exception,1,38.07,0.0
FHA REPOSSESSED HOUSES (GROUP VIII),FHA,FHA REPOSSESSED HOUSES (GROUP VIII),123-19 145TH STREET,AMR,,275,520,Q027500,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8093033,2019-08,2019-07-24T00:00:00.000,2019-08-24T00:00:00.000,31,K15882861,Y,39.34,Basic Water and Sewer,Yes,2,39.34,0.0
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 12,AMR,BLD 12,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8096158,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E13272716,N,5332.4,Basic Water and Sewer,Yes,516,5332.4,0.0
FHA REPOSSESSED HOUSES (GROUP II),FHA,FHA REPOSSESSED HOUSES (GROUP II),215-32 112TH AVENUE,AMR,,212,327,Q021200,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095101,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E19468521,N,310.02,Basic Water and Sewer,Yes,30,310.02,0.0
FHA REPOSSESSED HOUSES (GROUP V),FHA,FHA REPOSSESSED HOUSES (GROUP V),163-34 CLAUDE AVENUE,AMR,,260,397,Q026000,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095668,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,V48012858,N,72.34,Basic Water and Sewer,Yes,7,72.34,0.0
FHA REPOSSESSED HOUSES (GROUP III),FHA,FHA REPOSSESSED HOUSES (GROUP III),3027 EDSON AVENUE,AMR,,213,340,Q021300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8093293,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E21130072,N,93.01,Basic Water and Sewer,Exception,900,93.01,0.0
FHA REPOSSESSED HOUSES (GROUP IV),FHA,FHA REPOSSESSED HOUSES (GROUP IV),120-56 233RD STREET,AMR,,226,345,Q022600,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095191,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E19265753,N,372.03,Basic Water and Sewer,Exception,36,372.03,0.0
FHA REPOSSESSED HOUSES (GROUP IV),FHA,FHA REPOSSESSED HOUSES (GROUP IV),184-20 EDGEWOOD AVENUE,AMR,,226,345,Q022600,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8093360,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E20405182,N,103.34,Basic Water and Sewer,Exception,1000,103.34,0.0
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 09,AMR,BLD 09,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8097036,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E20290493,N,186.01,Basic Water and Sewer,Exception,18,186.01,0.0
FHA REPOSSESSED HOUSES (GROUP IV),FHA,FHA REPOSSESSED HOUSES (GROUP IV),119-12 219TH STREET,AMR,,226,345,Q022600,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8092447,2019-08,2019-07-24T00:00:00.000,2019-08-24T00:00:00.000,31,E20280973,Y,39.34,Basic Water and Sewer,Yes,2,39.34,0.0
FHA REPOSSESSED HOUSES (GROUP VI),FHA,FHA REPOSSESSED HOUSES (GROUP VI),117-24 143RD STREET,AMR,,273,395,Q027300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8097088,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,V48012503,N,38.07,Basic Water and Sewer,Yes,4,38.07,0.0
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 20,AMR,BLD 20,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8096258,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,K16792337,N,4485.0,Basic Water and Sewer,Yes,434,4485.0,0.0
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 16,AMR,BLD 16,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8095855,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,G17003745,N,8939.0,Basic Water and Sewer,Exception,865,8939.0,0.0
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 24,NONE,,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8106169,2019-08,2019-08-02T00:00:00.000,2019-09-04T00:00:00.000,33,N30009896,Y,6159.12,Basic Water and Sewer,Yes,596,6159.12,0.0
FHA REPOSSESSED HOUSES (GROUP V),FHA,FHA REPOSSESSED HOUSES (GROUP V),194-47 115TH AVENUE,AMR,,260,397,Q026000,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095786,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E19405270,N,227.35,Basic Water and Sewer,Exception,22,227.35,0.0
FHA REPOSSESSED HOUSES (GROUP VI),FHA,FHA REPOSSESSED HOUSES (GROUP VI),116-31 FARMERS BOULEVARD,AMR,,273,395,Q027300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095242,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E19319616,N,38.07,Basic Water and Sewer,Exception,4,38.07,0.0
MARCY AVENUE-GREENE AVENUE SITE B,BROOKLYN,MARCY AVENUE-GREENE AVENUE SITE B,BLD 03,NONE,,358,804,K035800,FEDERAL,NY005013590P,NEW YORK CITY WATER BOARD,8085966,2019-08,2019-07-17T00:00:00.000,2019-08-19T00:00:00.000,33,E15220520,N,4133.64,Basic Water and Sewer,Yes,400,4133.64,0.0
FHA REPOSSESSED HOUSES (GROUP VI),FHA,FHA REPOSSESSED HOUSES (GROUP VI),180-15 144TH AVENUE,AMR,,273,395,Q027300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8093363,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,V48022683,N,62.0,Basic Water and Sewer,Exception,600,62.0,0.0
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 12,AMR,BLD 12,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8097147,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E20179084,N,72.34,Basic Water and Sewer,Yes,7,72.34,0.0
GOMPERS,MANHATTAN,GOMPERS,BLD 03 - Community Center,AMR,Community Center,100,237,M010000,FEDERAL,NY005011000P,NEW YORK CITY WATER BOARD,8096208,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E20437524,N,38.07,Basic Water and Sewer,Exception,0,38.07,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),132-19 BENNETT COURT,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095186,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,K12109723,N,38.07,Basic Water and Sewer,Yes,0,0.0,38.07
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),148-13 SUTTER AVENUE,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8096289,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E19354760,N,38.07,Basic Water and Sewer,Yes,4,38.07,0.0
FHA REPOSSESSED HOUSES (GROUP III),FHA,FHA REPOSSESSED HOUSES (GROUP III),188-23 LEWISTON AVENUE,AMR,,213,340,Q021300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8096700,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,B18138683,N,134.34,Basic Water and Sewer,Exception,13,134.34,0.0
FHA REPOSSESSED HOUSES (GROUP X),FHA,FHA REPOSSESSED HOUSES (GROUP X),114-54 INWOOD STREET,AMR,,284,521,Q028400,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095213,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,V48016285,N,144.68,Basic Water and Sewer,Exception,14,144.68,0.0
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 07,NONE,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,8105707,2019-08,2019-07-28T00:00:00.000,2019-08-27T00:00:00.000,30,E15220726,N,2159.83,Basic Water and Sewer,Yes,209,2159.83,0.0
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 27,AMR,BLD 27,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8097031,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,K16792341,N,4795.02,Basic Water and Sewer,Yes,464,4795.02,0.0
HOWARD AVENUE-PARK PLACE,BROOKLYN,HOWARD AVENUE-PARK PLACE,BLD 08,AMR,BLD 08,365,551,K036500,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,8097047,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E13304667,N,4081.97,Basic Water and Sewer,Yes,395,4081.97,0.0
FHA REPOSSESSED HOUSES (GROUP V),FHA,FHA REPOSSESSED HOUSES (GROUP V),137-24 219TH STREET,AMR,,260,397,Q026000,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8096827,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E20466763,N,38.07,Basic Water and Sewer,Exception,0,0.0,38.07
FHA REPOSSESSED HOUSES (GROUP II),FHA,FHA REPOSSESSED HOUSES (GROUP II),129-04 142ND STREET,AMR,,212,327,Q021200,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8093337,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E21226549,N,38.07,Basic Water and Sewer,Exception,400,38.07,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),178-14 BAISLEY BOULEVARD,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095639,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E21225755,N,38.07,Basic Water and Sewer,Exception,2,38.07,0.0
FHA REPOSSESSED HOUSES (GROUP IX),FHA,FHA REPOSSESSED HOUSES (GROUP IX),173-09 143RD ROAD,AMR,,283,376,Q028300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095353,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E21228007,N,444.37,Basic Water and Sewer,Exception,43,444.37,0.0
SOTOMAYOR HOUSES,BRONX,SOTOMAYOR HOUSES,BLD 31 - Community Center,AMR,Community Center,67,222,B206700,FEDERAL,NY005010670P,NEW YORK CITY WATER BOARD,8092823,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,V84009379,N,38.07,Basic Water and Sewer,Exception,0,38.07,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),114-22 166TH STREET,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095202,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E14830605,N,38.07,Basic Water and Sewer,Yes,0,0.0,38.07
FHA REPOSSESSED HOUSES (GROUP VI),FHA,FHA REPOSSESSED HOUSES (GROUP VI),104-14 164TH PLACE,AMR,,273,395,Q027300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095874,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,V48001903,N,155.01,Basic Water and Sewer,Yes,15,155.01,0.0
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 17,AMR,BLD 17,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8101962,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E20527603,N,341.03,Basic Water and Sewer,Yes,33,341.03,0.0
SMITH,MANHATTAN,SMITH,BLD 08,AMR,STORE 01,27,531,M002700,FEDERAL,NY005000270P,NEW YORK CITY WATER BOARD,8096986,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E19822076,N,857.73,Basic Water and Sewer,Exception,83,857.73,0.0
FHA REPOSSESSED HOUSES (GROUP X),FHA,FHA REPOSSESSED HOUSES (GROUP X),214-15 HOLLIS AVENUE,AMR,,284,521,Q028400,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095224,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,V48014604,N,38.07,Basic Water and Sewer,Exception,0,0.0,38.07
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 10,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,8093121,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E10052406,N,2728.2,Basic Water and Sewer,Exception,264,2728.2,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),150-36 116TH ROAD,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8096302,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,V48009196,N,38.07,Basic Water and Sewer,Yes,4,38.07,0.0
FHA REPOSSESSED HOUSES (GROUP II),FHA,FHA REPOSSESSED HOUSES (GROUP II),171-28 111TH AVENUE,AMR,,212,327,Q021200,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8095829,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,K15842657,N,51.67,Basic Water and Sewer,Yes,5,51.67,0.0
LOWER EAST SIDE II,MANHATTAN,LOWER EAST SIDE II,BLD 05,AMR,BLD 05,337,783,M033700,FEDERAL,NY005012920P,NEW YORK CITY WATER BOARD,8096469,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,G13042166,N,13837.36,Basic Water and Sewer,Yes,1339,13837.36,0.0
SHELTON HOUSE,QUEENS,SHELTON HOUSE,BLD 01,AMR,,279,505,Q027900,FEDERAL,NY005010910P,NEW YORK CITY WATER BOARD,8096296,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E13092219,N,7244.2,Basic Water and Sewer,Yes,701,7244.2,0.0
MANHATTANVILLE REHAB (GROUP 2),MANHATTAN,MANHATTANVILLE REHAB (GROUP 2),BLD 03,AMR,STORE 01-02,296,557,M029600,FEDERAL,NY005010810P,NEW YORK CITY WATER BOARD,8095435,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,K16839989,N,1126.42,Basic Water and Sewer,Yes,109,1126.42,0.0
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 17,AMR,BLD 17,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8093166,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E12313507,N,2387.18,Basic Water and Sewer,Yes,231,2387.18,0.0
LOWER EAST SIDE REHAB (GROUP 5),MANHATTAN,LOWER EAST SIDE REHAB (GROUP 5),BLD 02,AMR,"BLD 02, STORE 04-05",292,555,M029200,FEDERAL,NY005012920P,NEW YORK CITY WATER BOARD,8096521,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,G11019423,N,3782.28,Basic Water and Sewer,Yes,366,3782.28,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),138-11 LINDEN BOULEVARD,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8093332,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E20475069,N,62.0,Basic Water and Sewer,Exception,600,62.0,0.0
FHA REPOSSESSED HOUSES (GROUP III),FHA,FHA REPOSSESSED HOUSES (GROUP III),115-27 208TH STREET,AMR,,213,340,Q021300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8096636,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E19370659,N,38.07,Basic Water and Sewer,Yes,1,38.07,0.0
FHA REPOSSESSED HOUSES (GROUP IX),FHA,FHA REPOSSESSED HOUSES (GROUP IX),71 WAVERLY AVENUE,AMR,,283,376,Q028300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8097141,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E19560493,N,237.68,Basic Water and Sewer,Exception,2300,237.68,0.0
LOWER EAST SIDE II,MANHATTAN,LOWER EAST SIDE II,BLD 03,AMR,BLD 03,337,783,M033700,FEDERAL,NY005012920P,NEW YORK CITY WATER BOARD,8096809,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,I13012733,N,6252.13,Basic Water and Sewer,Yes,605,6252.13,0.0
FHA REPOSSESSED HOUSES (GROUP IV),FHA,FHA REPOSSESSED HOUSES (GROUP IV),197-22 122ND AVENUE,AMR,,226,345,Q022600,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8096276,2019-08,2019-07-23T00:00:00.000,2019-08-22T00:00:00.000,30,E21225072,N,51.67,Basic Water and Sewer,Yes,5,51.67,0.0
