,requestid,applicationid,requesttype,house,street,borough,bin,block,lot,ownername,expirationdate,make,model,burnermake,burnermodel,primaryfuel,secondaryfuel,quantity,issuedate,status,premisename
469,126116,CA003173,CERTIFICATE TO OPERATE,36,SNEDIKER AVENUE,BROOKLYN,83428.0,3680.0,10.0,"CURCIO,CHARLES J.",1995-07-01T00:00:00.000,PACIFIC 5281,PACIFIC 5281,IRON FIREMAN C240,IRON FIREMAN C240,NO2FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
470,133547,CA003176,CERTIFICATE TO OPERATE,,HOLLAND AVENUE,STATENISLAND,,0.0,0.0,NORTH SHORE PLAZA ASSOC,1985-09-16T00:00:00.000,,,,,NO4FUEL,NO4FUEL,2,1900-01-01T00:00:00.000,EXPIRED        ,NORTH SHORE PLAZA ASSOC
471,53575,CA003178,REGISTRATION,405,GRAND STREET,MANHATTAN,77606.0,311.0,13.0,"IGIESIAS, JAMES",2006-02-07T00:00:00.000,FULTON # 10 E,FULTON # 10 E,FULTON - INTEGRAL,FULTON - INTEGRAL,NO2FUEL,NONE,1,1988-02-05T00:00:00.000,EXPIRED        ,
472,116811,CA003179,CERTIFICATE TO OPERATE,608,WEST  113 STREET,MANHATTAN,57339.0,1895.0,27.0,TRUSTEE OF COLUMBIA U,1993-07-01T00:00:00.000,WEIL MCLAIN BL 776,WEIL MCLAIN BL 776,WAYNE EH-2 P-15,WAYNE EH-2 P-15,NO2FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
473,216816,CA003181,CERTIFICATE TO OPERATE,26,BROADWAY,MANHATTAN,1000811.0,22.0,13.0,B'WAY 26 WATERVIEW  LLC C/O NGKF. ,2020-10-09T00:00:00.000,ROCKMILLS ,MP 600,ICI ,DEG-252(P),NO4FUEL,NONE,2,2017-11-06T14:19:41.000,CURRENT        ,CONSTITUTION  REALTY ASSOCIATES
474,123086,CA003182,CERTIFICATE TO OPERATE,45-25,KISSENA BOULEVARD,QUEENS,117390.0,5200.0,52.0,DOUGLAS ELLIMAN PROPERTY MGMT. GROUP. GROUP,2009-11-30T00:00:00.000,FEDERAL FLR-3036,FEDERAL FLR-3036,INDUSTRIAL COMBUSTION - DEG 105 (S),INDUSTRIAL COMBUSTION - DEG 105 (S),NO6FUEL,NO6FUEL,2,1900-01-01T00:00:00.000,CANCELLED      ,
475,250553,CA003183,CERTIFICATE TO OPERATE,141,EAST   21 STREET,BROOKLYN,3116594.0,5082.0,67.0,E.Q.L. REALTY,2021-12-28T00:00:00.000,FEDERAL,FST-125,INDUSTRIAL COMBUSTION,DEG-54P,NATURALGAS,NO4FUEL,1,2018-12-28T11:23:14.000,CURRENT        ,"MANNING,MILTON"
476,127019,CA003185,CERTIFICATE TO OPERATE,411,EAST 70 STREET,MANHATTAN,45812.0,1465.0,9.0,MAUTNER-GLICK CORP,2000-03-13T00:00:00.000,ROCKMILL R-72,ROCKMILL R-72,HEVEOIL AM 4 1/2 DH,HEVEOIL AM 4 1/2 DH,NO4FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
477,120045,CA003187,CERTIFICATE TO OPERATE,368,EASTERN PARKWAY,BROOKLYN,32877.0,1266.0,22.0,TAUDECO REALTY CORP,1990-03-18T00:00:00.000,FEDEERAL FST 60,FEDEERAL FST 60,HEVE MMG 28,HEVE MMG 28,NO4FUEL,NO4FUEL,1,1986-12-26T00:00:00.000,CANCELLED      ,
478,53459,CA003188,REGISTRATION,39-22,30 STREET,QUEENS,4851.0,399.0,29.0,BRAZILIAN MISSIONARY CHURCH,2015-01-19T00:00:00.000,H.B. SMITH  #18-S-7,H.B. SMITH  #18-S-7,CARLIN  #301-CRD,CARLIN  #301-CRD,NO2FUEL,NONE,1,1988-01-04T00:00:00.000,EXPIRED        ,
479,284246,CA003190,REGISTRATION,56,THOMAS STREET,MANHATTAN,1001618.0,147.0,7503.0,56 THOMAS CONDOMINIUM,2023-01-12T00:00:00.000,WEIL MCLAIN,EGH-125,WEIL MCLAIN,EGH-125,NATURALGAS,NONE,1,2019-11-04T15:51:31.000,CURRENT        ,56 THOMAS CONDOMINIUM
480,56799,CA003191,REGISTRATION,4200,ATLANTIC AVENUE,BROOKLYN,189480.0,7041.0,1.0,"AFR, LLC - ATT: F. CHOUDHARY",2006-06-19T00:00:00.000,BURNHAM K5009,BURNHAM K5009,INTEGRAL,INTEGRAL,NATURALGAS,NONE,1,1991-01-01T00:00:00.000,EXPIRED        ,
481,57721,CA003192,REGISTRATION,348,SUMPTER STREET,BROOKLYN,41563.0,1528.0,23.0,NYC HPD /W.L.CHISOLM HDFC,2001-01-08T00:00:00.000,SLANT FIN GGT-750,SLANT FIN GGT-750,INTEGRAL,INTEGRAL,NATURALGAS,NONE,1,1992-01-02T00:00:00.000,EXPIRED        ,
482,58913,CA003193,REGISTRATION,43,HENRY STREET,MANHATTAN,3408.0,280.0,11.0,"LEUNG, YUK MAN",1999-01-11T00:00:00.000,PACIFIC 3380,PACIFIC 3380,SUNRAY,SUNRAY,NO2FUEL,NONE,1,1993-01-05T00:00:00.000,EXPIRED        ,
483,219783,CA003194,REGISTRATION,109,EAST 60 STREET,MANHATTAN,1041912.0,1395.0,5.0,FRENCH CHURCH OF SAINT ESPRIT,2021-01-11T00:00:00.000,WEIL MCLAIN,LGB-7,WEIL MCLAIN ,LGB-7,NATURALGAS,NONE,1,2017-10-20T14:44:44.000,CURRENT        ,FRENCH CHURCH DU SAINT ESPIRIT
484,61101,CA003195,REGISTRATION,230,HALL STREET,BROOKLYN,55092.0,1918.0,20.0,ST. LUKES EVAN. LUTH. CHURCH,2013-01-11T00:00:00.000,WEIL MCLAIN      LGB16,WEIL MCLAIN      LGB16,INTEGRAL,INTEGRAL,NATURALGAS,NONE,1,1995-01-04T00:00:00.000,EXPIRED        ,
485,60013,CA003196,REGISTRATION,260,WEST 35 STREET ,MANHATTAN,14418.0,784.0,74.0,T.L.TAYLOR,2005-01-29T00:00:00.000,"FULTON, F.B 10","FULTON, F.B 10",INTEGAL,INTEGAL,NATURALGAS,NONE,1,1996-01-09T00:00:00.000,EXPIRED        ,
486,218355,CA003197,REGISTRATION,510,EAST 11 STREET,MANHATTAN,1005123.0,404.0,9.0,"510 EAST 11TH STREET,LLC",2021-01-16T00:00:00.000,PEERLESS,ECT-06,CARLIN,102 CRD,NO2FUEL,NONE,1,2017-10-10T11:02:36.000,CURRENT        ,"510 EAST 11TH STREE,LLC."
487,223261,CA003279,CERTIFICATE TO OPERATE,50,EAST   77 STREET,MANHATTAN,1041804.0,1391.0,54.0,50 EAST 77TH ST. OWNERS  CORP..BROWN HARRIS STEVEN,2020-07-01T00:00:00.000,ROCKMILLS,MP-250,ICI,DE 105 (P),NO2FUEL,NONE,2,2018-01-31T15:41:37.000,CURRENT        ,
488,117288,CA003280,CERTIFICATE TO OPERATE,242,WEST 76 STREET,MANHATTAN,30845.0,1167.0,55.0,JEDDRO INC,1987-06-10T00:00:00.000,PACIFIC 223,PACIFIC 223,MID-CONTINENT U 11GP42,MID-CONTINENT U 11GP42,NATURALGAS,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
489,133542,CA003281,CERTIFICATE TO OPERATE,101,CENTRAL PARK WEST,MANHATTAN,28564.0,1123.0,29.0,101-103 CENT. PK.W. CORP. C/O DOUGLAS ELLIMAN,2015-03-05T00:00:00.000,ROCKMILLS MP 450,ROCKMILLS MP 450,IC DEG 210-P,IC DEG 210-P,NO6FUEL,NO6FUEL,1,1900-01-01T00:00:00.000,CANCELLED      ,
490,50826,CA003282,REGISTRATION,508,HENRY STREET,BROOKLYN,4296.0,337.0,20.0,"DENARO, MICHAEL",2000-07-01T00:00:00.000,WEIL MCLAIN EGH 125,WEIL MCLAIN EGH 125,NTEGRAL,NTEGRAL,NATURALGAS,NONE,1,1986-11-17T00:00:00.000,EXPIRED        ,
491,120627,CA003283,CERTIFICATE TO OPERATE,330,LENOX ROAD,BROOKLYN,108057.0,4853.0,35.0,310-330 LENOX APTS INC,1998-12-06T00:00:00.000,FEDERAL FLW 2429,FEDERAL FLW 2429,ICI DEG 84S,ICI DEG 84S,NO6FUEL,NONE,1,1987-03-02T00:00:00.000,CANCELLED      ,
492,117886,CA003284,CERTIFICATE TO OPERATE,6,WEST 77 STREET,MANHATTAN,28817.0,1129.0,39.0,6-16 WEST 77 ST. CORP.,1999-05-07T00:00:00.000,ROCKMILLS MP 250,ROCKMILLS MP 250,IRON FIREMAN AG06-9.8RK,IRON FIREMAN AG06-9.8RK,NO6FUEL,NO6FUEL,1,1900-01-01T00:00:00.000,CANCELLED      ,
493,117999,CA003285,CERTIFICATE TO OPERATE,1,GRACIE SQUARE,MANHATTAN,51388.0,1590.0,42.0,1 GRACIE SQUARE CORP,2012-10-09T00:00:00.000,ROCKMILLS BOILER MP-100,ROCKMILLS BOILER MP-100,INDUSTR COMBUST DEG-42-P,INDUSTR COMBUST DEG-42-P,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
494,54660,CA003286,REGISTRATION,1361,ROSEDALE AVENUE,BRONX,27761.0,3873.0,42.0,QUEENS REAL ESTATE HOLDING INC.,2007-01-07T00:00:00.000,PEERLESS(NEW) JOT-6H,PEERLESS(NEW) JOT-6H,BECKETT (NEW) AF,BECKETT (NEW) AF,NO2FUEL,NONE,1,1989-02-17T00:00:00.000,EXPIRED        ,
495,56800,CA003291,REGISTRATION,534,BAINBRIDGE STREET,BROOKLYN,40888.0,1510.0,25.0,NYC DEPT OF HPD,1994-06-19T00:00:00.000,PEERLESS JOT 6FDA,PEERLESS JOT 6FDA,CARLIN 201 CRD,CARLIN 201 CRD,NO2FUEL,NONE,1,1991-01-01T00:00:00.000,EXPIRED        ,
496,222982,CA003294,REGISTRATION,452,WEST 50TH STREET,MANHATTAN,1026656.0,1059.0,59.0,452 WEST 50TH ST TENANTS HDFC % ELOISE CARRIGAN,2021-01-11T00:00:00.000,H.B.SMITH,19-S-6,POWERFLAME,JR30A-10,NATURALGAS,NONE,1,2017-12-12T14:26:24.000,CURRENT        ,452 WEST 50TH STREET TENANTS HDFC
497,206970,CA003296,REGISTRATION,130,WADSWORTH AVENUE,MANHATTAN,63919.0,2163.0,34.0,130 WADSWROTH APARTMENTS LP,2020-01-23T00:00:00.000,"FEDERAL, FST-60","FEDERAL, FST-60",IRON FIREMAN,C240-GOSM-F-4.2,NATURALGAS,NONE,1,2017-04-20T10:50:58.000,EXPIRED        ,
498,268379,CA003297,REGISTRATION,473,EAST 93RD STREET,BROOKLYN,3102550.0,4690.0,28.0,VIRGINIA RAY &AMP; CYRILIA RAY,2021-01-16T00:00:00.000,PEERLESS,SCT-07,CARLIN,201 CRD,NO2FUEL,NONE,1,2019-05-04T08:52:01.000,CURRENT        ,CYRILIA RAY % VIRGINIA RAY
499,252917,CA003298,REGISTRATION,1510,NEWKIRK AVENUE,BROOKLYN,3121173.0,5236.0,8.0,NISSELI REALTY,2022-01-26T00:00:00.000,PEERLESS,SC-07,CARLIN,201CRD,NO2FUEL,NONE,1,2018-12-21T17:44:30.000,CURRENT        ,NISSELI REALTY
500,195212,CA003299,REGISTRATION,2650,BRIGGS AVENUE,BRONX,16833.0,3294.0,8.0,QUAD 2650 LLC,2020-01-14T00:00:00.000,"HB SMITH, 14-7","HB SMITH, 14-7",CARLIN,CARLIN,NO2FUEL,NONE,1,2016-11-17T16:41:45.000,EXPIRED        ,
501,122050,CA003370,CERTIFICATE TO OPERATE,135-25,38 AVENUE,QUEENS,112297.0,4974.0,51.0,MEHRAN ENTERPRISES,1989-07-18T00:00:00.000,PACIFIC 8473,PACIFIC 8473,RAY A4 141-3,RAY A4 141-3,NO4FUEL,NONE,1,1986-10-25T00:00:00.000,CANCELLED      ,
502,130280,CA003371,CERTIFICATE TO OPERATE,791,EAST    2 STREET,BROOKLYN,127573.0,5409.0,38.0,KINGSBROOK REALTY CO,1989-02-22T00:00:00.000,FITZGIBBONS RM 86,FITZGIBBONS RM 86,RAY 3,RAY 3,NO4FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
503,133540,CA003372,CERTIFICATE TO OPERATE,320,MANHATTAN AVENUE,MANHATTAN,55821.0,1847.0,68.0,LANGSAM PROPERTY SER CORP,1994-07-01T00:00:00.000,ROCKMILLS MP 100,ROCKMILLS MP 100,ORR SEMBOWER 3HC-5,ORR SEMBOWER 3HC-5,NO4FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
504,132160,CA003381,CERTIFICATE TO OPERATE,70,EAST   77 STREET,MANHATTAN,41802.0,1391.0,45.0,COOPER SQUARE REALTY,2015-06-18T00:00:00.000,ROCKMILLS  M9-125,ROCKMILLS  M9-125,IND.COMB.  DEG 54-P,IND.COMB.  DEG 54-P,NO6FUEL,NONE,1,1988-04-28T00:00:00.000,CANCELLED      ,
505,133539,CA003383,CERTIFICATE TO OPERATE,50,MORNINGSIDE DRIVE,MANHATTAN,56052.0,1867.0,59.0,LA TOURAINE APT INC,1996-07-01T00:00:00.000,CROTTY-CSM 85,CROTTY-CSM 85,ICI-MMG-34S,ICI-MMG-34S,NO4FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
506,219020,CA003388,REGISTRATION,1572,HOE AVENUE,BRONX,2092189.0,2989.0,11.0,NYC HOUSING AUTHORITY (NYCHA),2021-01-17T00:00:00.000,HYDROTHERM,MR 2700 BP,HYDROTHERM ,MR 2700 BP,NATURALGAS,NONE,1,2017-10-10T12:01:15.000,CURRENT        ,EAS 173 STREET-VYSE AVENUE
507,60056,CA003394,REGISTRATION,307,WEST   38 STREET,MANHATTAN,13643.0,762.0,25.0,GLENHILL/G.COMFORT &AMP; SONS,1997-01-11T00:00:00.000,FULTON FB-010A,FULTON FB-010A,INTEGRAL,INTEGRAL,NATURALGAS,NONE,1,1994-01-05T00:00:00.000,EXPIRED        ,
508,61102,CA003395,REGISTRATION,43,WEST   11 STREET,MANHATTAN,9594.0,575.0,71.0,"KOON, DENNIS",2001-01-11T00:00:00.000,BURNHAM        8-70,BURNHAM        8-70,INTEGRAL,INTEGRAL,NATURALGAS,NONE,1,1995-01-04T00:00:00.000,EXPIRED        ,
509,285319,CA003396,REGISTRATION,305,SPRING STREET,MANHATTAN,1010363.0,597.0,32.0,D &AMP; D REALTY CO.LLC -ATT: D. D'ALLEVA,2023-01-23T00:00:00.000,H.B.SMITH,G-300-S-11,H.B.SMITH,G-300-S-11,NATURALGAS,NONE,1,2019-11-18T14:03:04.000,CURRENT        ,D & D REALTY COMPANY LLC
510,57645,CA003397,REGISTRATION,4201,FARRAGUT ROAD,BROOKLYN,336200.0,4989.0,78.0,JAMES HARRY SMITH SEPARATE PROPERTY TRUST,2006-01-16T00:00:00.000,"WEIL MCLAIN, EGH-115","WEIL MCLAIN, EGH-115","WEIL MCLAIN, INTEGRAL","WEIL MCLAIN, INTEGRAL",NATURALGAS,NONE,1,1997-01-06T00:00:00.000,EXPIRED        ,
511,120650,CA003462,WORK PERMIT,700,EAST 9 STREET,MANHATTAN,4529.0,378.0,9.0,BETRAY CORP,1962-07-24T00:00:00.000,NATIONAL RAD.MB-436,NATIONAL RAD.MB-436,PETRO WD-3A,PETRO WD-3A,NO4FUEL,NONE,1,1987-03-02T00:00:00.000,CANCELLED      ,
512,133537,CA003468,CERTIFICATE TO OPERATE,1027,METROPOLITAN AVENUE,BROOKLYN,70328.0,2914.0,1.0,MAIMONIDES MEDICAL CENTER,2007-07-01T00:00:00.000,KEWANEE 7L-285-F,KEWANEE 7L-285-F,HEV-E-OIL AM8E,HEV-E-OIL AM8E,NO2FUEL,NONE,1,1900-01-01T00:00:00.000,EXPIRED        ,
513,114141,CA003476,CERTIFICATE TO OPERATE,53,BRIDGE STREET,BROOKLYN,335871.0,42.0,1.0,BRIDGE MANAGEMENT,2001-12-05T00:00:00.000,ROCKMILS MP500,ROCKMILS MP500,HEV-E-OIL DE 210 S  (I.C.I.),HEV-E-OIL DE 210 S  (I.C.I.),NO6FUEL,NONE,1,1989-02-17T00:00:00.000,CANCELLED      ,
514,176371,CA003479,REGISTRATION INSPECTION,1600,NELSON AVENUE,BRONX,8793.0,2876.0,1.0,1600 NELSON AVE HSG.DEVLOP.FUND/GILBERTO RIVERA,2015-05-17T00:00:00.000,ROCKMILLS MP4-61,ROCKMILLS MP4-61,HEVEOIL  AM  4 1/2  DH,HEVEOIL  AM  4 1/2  DH,NO4FUEL,NONE,1,1989-05-19T00:01:00.000,EXPIRED        ,
515,260042,CA003482,REGISTRATION,2391,HOFFMAN STREET,BRONX,2011664.0,3054.0,25.0,MCK HOFFMAN REALTY LLC,2022-07-01T00:00:00.000,BURNHAM ,PF 505,HONEY MOTOR/ ABC SUNRAY,96 A-1,NO2FUEL,NONE,1,2019-03-15T15:36:00.000,CURRENT        ,MCK HOFFMAN REALTY LLC
516,101052,CA003485,CERTIFICATE TO OPERATE,254            ,WEST 35 STREET                ,MANHATTAN,14417.0,784.0,71.0,CONTINENTAL HOUSING INC.,2000-05-01T00:00:00.000,FEDERAL FST-125,FEDERAL FST-125,HEVE DEG-54-P,HEVE DEG-54-P,NO6FUEL,NONE,1,2015-12-09T15:09:24.000,CANCELLED      ,CONTINENTAL HOUSING INC.
517,54563,CA003489,REGISTRATION,151,WEST  132 STREET,MANHATTAN,58146.0,1917.0,11.0,NYC DEPT OF HPD,1995-01-23T00:00:00.000,H.B. SMITH 18-S-12,H.B. SMITH 18-S-12,CARLIN 701 CRD,CARLIN 701 CRD,NO2FUEL,NONE,1,1989-01-09T00:00:00.000,EXPIRED        ,
518,203020,CA003490,REGISTRATION,79-25,37 AVENUE,QUEENS,449490.0,1279.0,35.0,YONG HA CHUNG,2020-03-06T00:00:00.000,FULTON FB-010A (1986 ),FULTON FB-010A (1986 ),FULTON FB-010A (1986 ),FULTON FB-010A (1986 ),NATURALGAS,NONE,1,2017-02-27T09:13:55.000,CURRENT        ,
519,56801,CA003491,REGISTRATION,400,TOMPKINS AVENUE,BROOKLYN,52379.0,1834.0,39.0,NYC DEPT OF HPD,1994-04-11T00:00:00.000,WEIL MCLAIN BG776,WEIL MCLAIN BG776,POWERFLAME JR15A10,POWERFLAME JR15A10,NATURALGAS,NONE,1,1991-01-01T00:00:00.000,EXPIRED        ,
520,220164,CA003494,REGISTRATION,124,2 AVENUE,MANHATTAN,1006310.0,449.0,4.0,124 SECOND AVE LLC,2021-01-11T00:00:00.000,WEIL MCLAIN,BG 878 SF,POWERFLAME,JR 30A-12,NATURALGAS,NONE,1,2017-11-03T10:13:11.000,CURRENT        ,
521,61103,CA003495,REGISTRATION,6,STRONG PLACE,BROOKLYN,3855.0,323.0,39.0,"REUTER, PAUL S. &AMP; MOROFF, MARGARET",2004-01-11T00:00:00.000,WEIL MCLAIN          EGH 105,WEIL MCLAIN          EGH 105,INTEGRAL,INTEGRAL,NATURALGAS,NONE,1,1995-01-04T00:00:00.000,EXPIRED        ,
522,291762,CA003496,REGISTRATION,320,EAST 14 STREET,MANHATTAN,1006513.0,455.0,17.0,320 E 14 ST OWNERS CORP% CFA MGMT,2023-01-24T00:00:00.000,WEIL MCLAIN,EGH-115,WEIL MCLAIN,EGH-115,NATURALGAS,NONE,1,2020-01-21T13:20:38.000,CURRENT        ,320 EAST 14 ST OWNERS CORP
523,57646,CA003497,REGISTRATION,21,WEST   94 STREET,MANHATTAN,31699.0,1208.0,124.0,LARRY W. STANTON,2000-01-16T00:00:00.000,"WEIL MCLAIN, EGH-85","WEIL MCLAIN, EGH-85","WEIL MCLAIN, INTEGRAL","WEIL MCLAIN, INTEGRAL",NATURALGAS,NONE,1,1997-01-06T00:00:00.000,EXPIRED        ,
524,285632,CA003498,REGISTRATION,249,EAST 57 STREET,MANHATTAN,1081191.0,1331.0,120.0,57 ASSOCIATES LLC-ATT: DIGBY MGMT,2022-01-26T00:00:00.000,H.B.SMITH,250A-S-8,BECKETT,CF800,NO2FUEL,NONE,1,2019-12-03T14:36:18.000,CURRENT        ,57 ASSOCIATES LLC
525,133536,CA003570,CERTIFICATE TO OPERATE,111-32,76 AVENUE,QUEENS,79812.0,3340.0,13.0,"SAVINO, MICHAEL J.",1998-04-04T00:00:00.000,PACIFIC UNKNOWN,PACIFIC UNKNOWN,S T JOHNSON 30 AVH 5 1/2,S T JOHNSON 30 AVH 5 1/2,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
526,133534,CA003571,CERTIFICATE TO OPERATE,465,84 STREET,BROOKLYN,152499.0,6018.0,51.0,RIDGEDALE BLDG CORP.,2002-08-13T00:00:00.000,PACIFIC 8523,PACIFIC 8523,IRON FIREMAN A06-4.5,IRON FIREMAN A06-4.5,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
527,133533,CA003574,CERTIFICATE TO OPERATE,212-29,HILLSIDE AVENUE,QUEENS,228877.0,10681.0,56.0,KEVIN CULLEN,1987-03-12T00:00:00.000,PACIFIC   #8523,PACIFIC   #8523,RAY AEOR-144 SIZE 500,RAY AEOR-144 SIZE 500,NO6FUEL,NO6FUEL,2,1900-01-01T00:00:00.000,CANCELLED      ,
528,52589,CA003578,REGISTRATION,244,EAST   77 STREET,MANHATTAN,44081.0,1431.0,32.0,LEE POKOIK REALTY,2000-07-01T00:00:00.000,PEERLESS 709 FD,PEERLESS 709 FD,CARLIN 700 CRD,CARLIN 700 CRD,NO2FUEL,NONE,1,1987-04-27T00:00:00.000,EXPIRED        ,
529,110131,CA003579,CERTIFICATE TO OPERATE,1221,YORK AVENUE,MANHATTAN,45398.0,1460.0,22.0,CHARLES H. GREENTHAL &AMP; CO.,2013-03-26T00:00:00.000,BURNHAM SPENCER 4F-827-45,BURNHAM SPENCER 4F-827-45,INDUSTRIAL COMB INC DE 84P,INDUSTRIAL COMB INC DE 84P,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
530,117170,CA003583,CERTIFICATE TO OPERATE,227,WEST   11 STREET,MANHATTAN,10967.0,614.0,32.0,227 W. 11TH STREET OWNER,1984-05-26T00:00:00.000,FEDERAL FST-40,FEDERAL FST-40,ICI-HEV-E-OIL AM3 1/2 DH,ICI-HEV-E-OIL AM3 1/2 DH,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
531,117333,CA003585,CERTIFICATE TO OPERATE,21,WEST   46 STREET,MANHATTAN,34326.0,1262.0,24.0,THOMAS CAMPENNI COMPANY,2012-07-23T00:00:00.000,FEDERAL FST-100,FEDERAL FST-100,HEV-E MEG-42-P,HEV-E MEG-42-P,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
532,245380,CA003586,REGISTRATION,164,EAST 100 STREET,MANHATTAN,1051777.0,1627.0,44.0,ALPA REALTY CORP.,2022-01-07T00:00:00.000,WEIL MC LAIN,876,WAYNE,EH,NO2FUEL,NONE,1,2018-10-05T09:47:02.000,CURRENT        ,ALPA REALTY CORP.
533,119007,CA003588,WORK PERMIT,750,GRAND CONCOURSE,BRONX,2784.0,2458.0,26.0,VED PARKASH,1988-10-04T00:00:00.000,FEDERAL  FST 175,FEDERAL  FST 175,RAY AEBR 175,RAY AEBR 175,NO6FUEL,NONE,1,1987-12-31T00:00:00.000,CANCELLED      ,
534,56802,CA003591,REGISTRATION,578,RALPH AVENUE,BROOKLYN,37219.0,1387.0,52.0,NYC DEPT OF HPD,1994-04-12T00:00:00.000,ROCKMILLS MP40,ROCKMILLS MP40,POWERFLAME JA50A15,POWERFLAME JA50A15,NATURALGAS,NONE,1,1991-01-01T00:00:00.000,EXPIRED        ,
535,57724,CA003592,REGISTRATION,4627,BEACH   46 STREET,BROOKLYN,189450.0,7038.0,73.0,OWNER/SUPERINTENDENT,1995-04-07T00:00:00.000,WEIL MCLAIN EGH-85HW,WEIL MCLAIN EGH-85HW,A.O.SMITH PGC100 ( HOT WATER HEATER ),A.O.SMITH PGC100 ( HOT WATER HEATER ),NATURALGAS,NONE,1,1992-01-03T00:00:00.000,EXPIRED        ,
536,58914,CA003593,REGISTRATION,1108,OAK POINT AVENUE,BRONX,,2606.0,1.0,NY ORGANIC FERTILIZER CO,2011-01-29T00:00:00.000,MCQUAY RPS-080C,MCQUAY RPS-080C,INTEGRAL,INTEGRAL,NATURALGAS,NONE,6,1993-01-05T00:00:00.000,EXPIRED        ,
537,260479,CA003594,REGISTRATION,239,SOUTH 1 STREET,BROOKLYN,3251742.0,2395.0,29.0,239 SOUTH 1ST ST LLC &AMP; 240 MULBERRY LLC,2021-01-11T00:00:00.000,FEDERAL FST 40,FEDERAL FST 40,FEDERAL FST 40,FEDERAL FST 40,NO2FUEL,NONE,1,2019-02-26T07:19:18.000,CURRENT        ,239 SOUTH 1ST ST LLC & 240 MULBERRY LLC
538,60049,CA003596,REGISTRATION,86,SOUTH    2 STREET,BROOKLYN,0.0,2416.0,1.0,ST.PETER &AMP; ST.PAUL CHURCH,2002-01-22T00:00:00.000,"WEIL MCLAIN, 878","WEIL MCLAIN, 878","CARLIN, 702 CRD","CARLIN, 702 CRD",NO2FUEL,NONE,1,1996-01-10T00:00:00.000,EXPIRED        ,ST. PETER & ST. PAUL CHURCH
539,222915,CA003597,REGISTRATION,43-23,54 STREET,QUEENS,4030967.0,1323.0,59.0,43-23 54TH STREET REALTY LLC % ALEXANDRA,2021-01-16T00:00:00.000,WEIL MCLAIN,BL-478-S,CARLIN,301 CRD,NO2FUEL,NONE,1,2017-12-18T11:05:25.000,CURRENT        ,"ALEXANDRA, DONTIS"
540,282415,CA003598,CERTIFICATE TO OPERATE,10,EAST 43 STREET,BROOKLYN,3323149.0,4847.0,4.0,LENOX ARMS CO-OP INC/METRO MGMT.,2022-05-19T00:00:00.000,ROCKMILLS,MP-125,INDUSTRIAL COMBUSTION,MMG-54P,NATURALGAS,NO2FUEL,2,2020-02-12T13:09:38.000,CURRENT        ,LENOX ARMS CO-OP
541,189871,CA003599,REGISTRATION,1954,FLATBUSH AVENUE,BROOKLYN,217204.0,7817.0,37.0,APPLE BANK,2020-01-14T00:00:00.000,"PEERLESS, 211A-07","PEERLESS, 211A-07",INTEGRAL,INTEGRAL,NATURALGAS,NONE,1,2016-10-04T12:38:24.000,EXPIRED        ,
542,133532,CA003664,CERTIFICATE TO OPERATE,213-25,26 AVENUE,QUEENS,439465.0,5900.0,2.0,CORD MEYER,1984-04-27T00:00:00.000,BEAVER 2500,BEAVER 2500,HEV-E-OIL 1C 4 12 C,HEV-E-OIL 1C 4 12 C,NO4FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
543,232875,CA003676,CERTIFICATE TO OPERATE,651,BROADWAY,STATENISLAND,5008326.0,303.0,47.0,YMCA OF GREATER NEW YORK,2002-07-20T00:00:00.000,PEERLESS 724 FD W4P,PEERLESS 724 FD W4P,PEABODY RL 10.1 20 (4FH),PEABODY RL 10.1 20 (4FH),NO2FUEL,NONE,1,2018-03-30T10:59:23.000,CANCELLED      ,
544,119504,CA003679,CERTIFICATE TO OPERATE,4329,BROADWAY,MANHATTAN,64424.0,2180.0,122.0,JEANALEX REALTY,1989-07-01T00:00:00.000,FEDERAL FST-80,FEDERAL FST-80,HEV-E-OIL AM 5 CM,HEV-E-OIL AM 5 CM,NO6FUEL,NONE,1,1987-08-31T00:00:00.000,CANCELLED      ,
545,276165,CA003683,CERTIFICATE TO OPERATE,41,WEST 72 STREET,MANHATTAN,1028633.0,1125.0,7501.0,THE HERMITAGE CONDO. C/O AKAM ASSOCIATES,2022-06-21T00:00:00.000,FEDERAL,FST-250,INDUSTRIAL COMBUSTION,DEG-105 P,NO2FUEL,NONE,1,2019-12-24T15:40:46.000,CURRENT        ,THE HERMITAGE CONDOMINUM
