input_1_output_uniqueid,input_1_input_1_facilityname,input_1_input_1_facility,input_1_input_1_address,input_1_input_1_address_2,input_1_input_1_zipcode,input_1_input_1_borough,phone_number,input_1_input_1_additionalinfo,input_1_input_1_service,input_1_input_1_service_type,input_1_input_1_free_service,input_1_input_1_sliding_scale,input_1_input_1_accepts_walk,input_1_input_1_hepatitis,input_1_output_bbl,input_1_input_1_latitude,input_1_input_1_longitude,output_bbl,output_bin,output_city_council_district,output_community_district
233,Mount Sinai - Medical Specialty Services Center for Advanced Medicine (CAM),Hospital,17 East 102nd Street,4th Floor,10029,MANHATTAN,(212) 824-7729,,Hepatitis,Hep C Testing,False,False,False,False,1016080005.0,40.791484,-73.9520122,1016080005.0,1051492.0,8.0,111.0
234,Mount Sinai - Primary Care Hep C Program,Hospital,17 East 102nd Street,7th Floor,10029,MANHATTAN,(718) 486-4933,"Free services are available.<br><a href=""http://www.mountsinai.org/PrimaryCareHCV"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,True,False,1016080005.0,40.791484,-73.9520122,1016080005.0,1051492.0,8.0,111.0
235,CHN - Case Management Office,Community Health Center,170 Broadway,,11211,BROOKLYN,(212) 312-5000,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.chnnyc.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,False,False,False,3021327503.0,40.7099419,-73.9628715,3021327503.0,3378334.0,34.0,301.0
236,NewYork-Presbyterian Lower Manhattan Hospital,Hospital,170 William Street,,10038,MANHATTAN,(718) 573-3358,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://nyp.org/lowermanhattan/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,False,False,False,1001000001.0,40.7103592,-74.005103,1001000001.0,1001352.0,1.0,101.0
237,Family Services Network of New York (FSNNY),Syringe Exchange Program,1766 Broadway,,11207,BROOKLYN,(718) 299-1100,"Free services are available.<br><a href=""http://fsnny1.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,True,False,3015170018.0,40.6824446,-73.9100663,3015170018.0,3041184.0,37.0,316.0
238,Acacia Network - Clay Avenue Family Health Center,Community Health Center,1776 Clay Avenue,,10457,BRONX,(212) 305-9692,"Free services are available.<br><a href=""http://www.acacianetwork.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,True,False,False,2028910037.0,40.8461493,-73.9042441,2028910037.0,2009358.0,15.0,205.0
239,NewYork-Presbyterian Comprehensive Health Program,Hospital,180 Fort Washington,6th floor,10032,MANHATTAN,(718) 670-2903,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyp.org/clinical-services/ambulatory-care-network/comprehensive-health-program"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,False,False,False,,40.8406019,-73.941549,,,,
240,New York Hospital Queens - Liver Center,Hospital,182-15 Horace Harding Expressway,,11365,QUEENS,(212) 423-4500,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyhq.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,False,False,False,4070660056.0,40.740006,-73.791704,4070660056.0,4152744.0,20.0,411.0
241,Family Health Center of Harlem,Community Health Center,1824 Madison Avenue,,10035,MANHATTAN,(917) 564-8750,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.institute.org/location/family-health-center-of-harlem/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,1017450055.0,40.8016803,-73.9436109,1017450055.0,1053963.0,9.0,111.0
242,Montefiore - Substance Abuse Treatment Program III,Community Health Center,2058 Jerome Avenue,,10453,BRONX,(212) 695-2220,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.montefiore.org/psychiatry-services-substance-abuse-treatment"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,2031790004.0,40.8542293,-73.9070002,2031790004.0,2127653.0,14.0,205.0
243,Safe Horizon - Streetwork Harlem,Syringe Exchange Program,209 West 125th Street,,10027,MANHATTAN,(718) 808-1840,"Free services are available.<br><a href=""http://www.safehorizon.org/index/what-we-do-2/helping-youth-14/streetwork-project-141.html"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,True,False,1019310027.0,40.8093846,-73.9487839,1019310027.0,1058660.0,9.0,110.0
244,Community Health Action of Staten Island (CHASI),Community Organization,2134 Richmond Terrace,,10302,STATEN ISLAND,(212) 239-6586,"Free services are available.<br><a href=""http://www.chasiny.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,True,False,5010740053.0,40.640076,-74.134315,5010740053.0,5025309.0,49.0,501.0
245,Dominican Sisters Family Health Services,Community Health Center,225 West 34th Street,,10122,MANHATTAN,(718) 292-7718,"Free services are available.<br><a href=""http://dsfhs.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,True,False,1007840019.0,40.7517898,-73.991887,1007840019.0,1014402.0,3.0,105.0
246,BOOM!Health,Syringe Exchange Program,226 East 144th Street,,10451,BRONX,(855) 681-8700 Ext 3474,"Free services are available.<br><a href=""http://www.boomhealth.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,True,False,2023400221.0,40.8156756,-73.9255324,2023400221.0,2000997.0,8.0,201.0
247,Brightpoint Health - Boom!Health,Community Health Center,226 East 144th Street,2nd Floor,10451,BRONX,(212) 289-6650,"Free services are available.<br><a href=""http://www.brightpointhealth.org"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,True,False,False,2023400221.0,40.8156756,-73.9255324,2023400221.0,2000997.0,8.0,201.0
248,Boriken Neighborhood Health Center,Community Health Center,2265 3rd Avenue,3rd Floor,10035,MANHATTAN,(212) 238-7897,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.boriken.org/Programs/Programs.html"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,1017880001.0,40.8024119,-73.9363319,1017880001.0,1054630.0,8.0,111.0
249,Gouverneur Healthcare Services,Hospital,227 Madison Street,Room 1252,10002,MANHATTAN,(212) 423-9049,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyc.gov/html/hhc/gouverneur/html/home/home.shtml"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,1002700032.0,40.713208,-73.987787,1002700032.0,1003224.0,1.0,103.0
250,Iris House,Community Organization,2271 Second Avenue,,10035,MANHATTAN,(212) 523-6500,"Free services are available.<br><a href=""http://www.irishouse.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,False,False,1016660024.0,40.79754,-73.937774,1016660024.0,1079306.0,8.0,111.0
251,Mount Sinai - Spencer Cox Clinic,Hospital,230 West 17th Street,,10011,MANHATTAN,(646) 548-0100,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.mountsinaihealth.org/patient-care/iam/team"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,False,False,False,1007660061.0,40.7410785,-73.9997321,1007660061.0,1013820.0,3.0,104.0
252,Iris House,Community Organization,2348 Adam Clayton Powell Jr Boulevard,,10030,MANHATTAN,(212) 675-3288,"Free services are available.<br><a href=""http://www.irishouse.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,False,False,,40.8169324,-73.942634,,,,
253,Latino Comission on AIDS - Main Office,Community Organization,24 West 25th Street,9th Floor,10010,MANHATTAN,(212) 226-6333,"Free services are available.<br><a href=""http://www.latinoaids.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,True,False,1008260057.0,40.7432863,-73.9903634,1008260057.0,1080686.0,3.0,105.0
254,Lower East Side Harm Reduction Center (LESHRC),Syringe Exchange Program,25 Allen Street,,10002,MANHATTAN,(718) 332-3100,"Free services are available.<br><a href=""http://www.leshrc.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,True,False,1003000025.0,40.715706,-73.99261,1003000025.0,1003893.0,1.0,103.0
255,"Yuriy Pertsovsky, MD",Private Practice Physician,2569 Ocean Avenue,,11229,BROOKLYN,(718) 342 0060,,Hepatitis,Hep C Testing,False,False,False,False,3073537501.0,40.5988457,-73.9513178,3073537501.0,3391180.0,48.0,315.0
256,Brownsville Multiservice Family Health Center,Community Health Center,259 Bristol Street,,11212,BROOKLYN,(718) 409-9452,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://bmsfhc.wixsite.com/bms-family-health/bms-isis"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,3035590011.0,40.6646272,-73.9113718,3035590011.0,3081765.0,41.0,316.0
257,Montefiore - Division of Substance Abuse,Community Health Center,260 East 161st Street,,10451,BRONX,(718) 299-1100,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.einstein.yu.edu/departments/psychiatry-behavioral-sciences/dosa.aspx?id=4708/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,2024430100.0,40.8254821,-73.9189897,2024430100.0,2002457.0,16.0,204.0
258,Acacia Network - Claremont Family Health Center,Community Health Center,262-4 East 174th Street,,10457,BRONX,(718) 277-0386,"Free services are available.<br><a href=""http://www.acacianetwork.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,True,False,False,2027910044.0,40.8447586,-73.9070041,2027910044.0,2007349.0,15.0,204.0
259,Housing Works - East New York Community Health Center,Community Health Center,2640 Pitkin Avenue,,11208,BROOKLYN,(718) 299-1100,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.housingworks.org/heal/medical-and-dental-care/hep-c/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,3042290016.0,40.6750264,-73.8746104,3042290016.0,3393021.0,42.0,305.0
260,Acacia Network - Barbee Family Healthcare Center,Community Health Center,266 West 145th Street,,10039,MANHATTAN,(212) 379-6996,"Free services are available.<br><a href=""http://www.acacianetwork.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,True,False,True,1020300057.0,40.8225643,-73.941281,1020300057.0,1060467.0,9.0,110.0
261,Charles B Wang Community Health Center - Manhattan,Community Health Center,268 Canal Street,,10013,MANHATTAN,(212) 604-1701,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.cbwchc.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,1001960013.0,40.7188699,-74.0011636,1001960013.0,1002344.0,1.0,101.0
262,Mount Sinai - Comprehensive Health Program,Hospital,275 Seventh Avenue,12th Floor,10001,MANHATTAN,(718) 665-6557,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.mountsinai.org/patient-care/service-areas/infectious-diseases/hiv-aids/mschp-downtown"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,False,False,False,1008010001.0,40.7455693,-73.9941582,1008010001.0,1015000.0,3.0,104.0
263,Dominican Sisters Family Health Services - Bronx,Community Health Center,279 Alexander Avenue,,10454,BRONX,(212) 477-8500,"Free services are available.<br><a href=""http://dsfhs.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,True,False,2023140077.0,40.8108875,-73.9245603,2023140077.0,2000721.0,8.0,201.0
264,William F. Ryan Community Health Network - Ryan Nena,Community Health Center,279 East 3rd Street,,10009,MANHATTAN,(212) 227-8401,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.ryancenter.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,1003730064.0,40.7214643,-73.9800934,1003730064.0,1004406.0,2.0,103.0
265,Betances Health Center,Community Health Center,280 Henry Street,,10002,MANHATTAN,(212) 924-3733,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.betances.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,1002670010.0,40.7136702,-73.9837398,1002670010.0,1003220.0,2.0,103.0
266,FROSTD at Harlem United,Syringe Exchange Program,290 Lenox Avenue,Lower Level,10027,MANHATTAN,(212) 803-2850,"Free services are available.<br><a href=""https://harlemunited.org/get-tested/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,True,False,1017220069.0,40.8074667,-73.9456223,1017220069.0,1053487.0,9.0,110.0
267,Harlem United,Community Health Center,290 Lenox Avenue,Ground Level,10027,MANHATTAN,(212) 366-4459,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://harlemunited.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,True,False,1017220069.0,40.8074667,-73.9456223,1017220069.0,1053487.0,9.0,110.0
268,Care for the Homeless,Community Organization,30 E 33rd Street,5th Floor,10016,MANHATTAN,(929) 210-6120,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.careforthehomeless.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,1008620045.0,40.7466612,-73.9829586,1008620045.0,1017020.0,2.0,105.0
269,Mount Sinai - Liver Medical Management Program (RMTI) Brooklyn,Community Health Center,300 Cadman Plaza West,,11201,BROOKLYN,(212) 465-8304,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.mountsinai.org/brooklyn-heights/brooklyn-heights-services/gastroenterology"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,False,False,False,3002390001.0,40.6951017,-73.9914366,3002390001.0,3001937.0,33.0,302.0
270,Positive Health Project,Syringe Exchange Program,301 West 37th Street,3,10018,MANHATTAN,(718) 579-2500,"Free services are available.<br><a href=""http://www.housingworks.org/heal/P-H-P/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,True,False,1007610031.0,40.7543289,-73.9923162,1007610031.0,1013620.0,3.0,104.0
271,Montefiore - Comprehensive Health Care Center,Community Health Center,305 East 161st Street,,10451,BRONX,(212) 420-2620,"Free services are available.<br><a href=""http://www.montefiore.org/mmg-comprehensive-health-care-center"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,True,False,False,2024210045.0,40.8254275,-73.9169829,2024210045.0,2115808.0,17.0,204.0
272,Mount Sinai - Peter Krueger Clinic,Hospital,317 East 17th Street,1st Floor,10003,MANHATTAN,(212) 206-0574,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.wehealny.org/services/bi_aidsservices/kruegercenter.html"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,False,False,False,1009230011.0,40.734045,-73.9826908,1009230011.0,1020430.0,2.0,106.0
273,Ali Forney Center,Community Organization,321 West 125th Street,,10027,MANHATTAN,(718) 882-5482,"Free services are available.<br><a href=""http://www.aliforneycenter.org/get-help/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,False,False,1019520019.0,40.8108692,-73.9521974,1019520019.0,1059310.0,9.0,110.0
274,Montefiore - Oval Center,Community Health Center,3230 Bainbridge Avenue,,10467,BRONX,(646) 602-6404,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.montefiore.org/std"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,False,False,False,2033430008.0,40.8765241,-73.8795197,2033430008.0,2018154.0,11.0,207.0
275,Safe Horizon - Streetwork Lower East Side and the Space At Tompkins,Syringe Exchange Program,33 Essex Street,,10002,MANHATTAN,(212) 675-3288,"Free services are available.<br><a href=""http://www.safehorizon.org/page/streetwork-project-68.html"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,True,False,1003100029.0,40.71604,-73.989814,1003100029.0,1004042.0,1.0,103.0
276,Latino Commission on AIDS - Oasis Office,Community Organization,330 7th Avenue,Suite 2002,10001,MANHATTAN,(718) 920-8542,"Free services are available.<br><a href=""http://www.latinoaids.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,True,False,1007780043.0,40.7477624,-73.9934165,1007780043.0,1014264.0,3.0,105.0
277,Montefiore - Center for Positive Living,Hospital,3444 Kossuth Avenue,3rd Floor,10467,BRONX,(718) 920-2273,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.montefiore.org/hiv-aids-contact"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,2033270001.0,40.8812402,-73.8811275,2033270001.0,2094749.0,11.0,207.0
278,Montefiore - Family Care Center,Hospital,3444 Kossuth Avenue,,10467,BRONX,(212) 965-7000,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.montefiore.org/mmg-family-care-center"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,2033270001.0,40.8812402,-73.8811275,2033270001.0,2094749.0,11.0,207.0
279,Planned Parenthood - Project Street Beat,Community Organization,349 East 149th Street,3rd Floor,10451,BRONX,(718) 920-4067,"Free services are available.<br><a href=""http://www.plannedparenthood.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,True,False,2023317501.0,40.8168717,-73.9196959,2023317501.0,2000933.0,17.0,201.0
280,Montefiore - Substance Abuse Treatment Program I,Community Health Center,3550 Jerome Avenue,,10467,BRONX,(212) 271-7200,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.montefiore.org/psychiatry-services-substance-abuse-treatment"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,2033280025.0,40.8840071,-73.8798805,2033280025.0,2017792.0,11.0,207.0
281,Callen-Lorde Community Health Center,Community Health Center,356 West 18th Street,,10011,MANHATTAN,(718) 933-2400,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://callen-lorde.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,1007410063.0,40.7430611,-74.0031459,1007410063.0,1013088.0,3.0,104.0
282,Montefiore - Family Health Center,Community Health Center,360 East 193rd Street,,10458,BRONX,(718) 963-7618,,Hepatitis,Hep C Testing,False,True,False,False,2032750040.0,40.8630819,-73.8910785,2032750040.0,2016318.0,15.0,207.0
283,Wyckoff Heights Medical Center - GI,Hospital,374 Stockholm Street,2nd Floor,11237,BROOKLYN,(212) 523-6500,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.wyckoffhospital.org/departments/clinical/gastroenterology"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,False,True,False,3032600001.0,40.704168,-73.917684,3032600001.0,3074262.0,37.0,304.0
284,Mount Sinai - Morningside Clinic,Hospital,390 West 114th Street,3rd Floor,10025,MANHATTAN,(212) 334-6029,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.mountsinaihealth.org/patient-care/iam/team"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,False,False,False,,40.804787,-73.9602967,,,9.0,110.0
285,APICHA Community Health Center,Community Health Center,400 Broadway,4th Floor,10013,MANHATTAN,(718) 299-1100,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.apicha.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,1001960001.0,40.7187342,-74.0024571,1001960001.0,1002334.0,1.0,101.0
286,Acacia Network - Park Avenue Family Health Center,Community Health Center,4196  Park Avenue,,10457,BRONX,(212) 222-3882,"Free services are available.<br><a href=""http://www.acacianetwork.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,False,False,,40.847038,-73.8991345,,,,
287,African Services Committee,Community Organization,429 West 127th Street,2nd Floor,10027,MANHATTAN,(718) 245-2800,"Free services are available.<br><a href=""http://www.africanservices.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,True,False,1019670060.0,40.813453,-73.9544556,1019670060.0,1084104.0,7.0,109.0
288,Kings County Hospital Center,Hospital,451 Clarkson Avenue,,11203,BROOKLYN,(212) 263-6804,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyc.gov/html/hhc/kchc/html/home/home.shtml"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,3048290001.0,40.6567192,-73.9461696,3048290001.0,3327711.0,40.0,309.0
289,Bellevue Hospital Center - Hepatitis Clinic,Hospital,462 First Avenue,,10016,MANHATTAN,(718) 369-4850,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyc.gov/html/hhc/bellevue/html/home/home.shtml"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,1009620100.0,40.7393782,-73.9756253,1009620100.0,1086515.0,4.0,106.0
290,AHF Brooklyn Healthcare Center,Community Health Center,475 Atlantic Avenue,2nd Floor,11217,BROOKLYN,(718) 210-1030,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.aidshealth.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,3001790053.0,40.6858987,-73.9821743,3001790053.0,3000767.0,33.0,302.0
291,Brooklyn Chinese Family Health Center,Community Health Center,5008 7th Avenue,,11220,BROOKLYN,(212) 781-7979,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.lutheranhealthcare.org/Main/LutheranFamilyHealthCentersSunsetTerrace.aspx"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,3007937503.0,40.6423899,-74.0063458,3007937503.0,3393316.0,38.0,307.0
292,CHN - Community League Health Center,Community Health Center,511 West 157th Street,,10032,MANHATTAN,(718) 439-0077,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.chnnyc.org/our-locations/community-league-health-center"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,1021160031.0,40.8333519,-73.942559,1021160031.0,1089242.0,7.0,112.0
294,Interfaith Medical Center - Bishop Orris G. Walker Junior Health Center,Hospital,528 Prospect Place,2nd Floor,11238,BROOKLYN,(718) 670-2559,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.interfaithmedical.com/about/service-centers/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,False,False,False,3011630010.0,40.6753484,-73.9589915,3011630010.0,3393245.0,35.0,308.0
295,NewYork-Presbyterian/Queens - Center for Liver Disease,Hospital,56-45 Main Street,,11365,QUEENS,(212) 923-7600,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyhq.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,False,False,False,4051650001.0,40.7470076,-73.8261739,4051650001.0,4439898.0,20.0,407.0
296,Washington Heights Corner Project,Syringe Exchange Program,566 West 181st Street,2nd Floor (ring bell),10033,MANHATTAN,(718) 907-6243,"Free services are available.<br><a href=""http://www.cornerproject.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,True,False,1021530063.0,40.8491521,-73.9334469,1021530063.0,1063636.0,10.0,112.0
297,Housing Works - Downtown Brooklyn Health Center,Community Health Center,57 Willoughby Street,Lower Level,11201,BROOKLYN,(718) 857-8874,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.housingworks.org/heal/medical-and-dental-care/hep-c/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,3001470036.0,40.6925071,-73.9864748,3001470036.0,3000338.0,33.0,302.0
298,"Joseph Paul, MD",Private Practice Physician,60 Plaza Street East,1F,11238,BROOKLYN,(718) 945-7150,,Hepatitis,Hep C Testing,False,False,False,False,3011710019.0,40.6744787,-73.9688753,3011710019.0,3029333.0,35.0,308.0
299,Addabbo Family Health Center,Community Health Center,6200 Beach Channel Drive,,11692,QUEENS,(718) 472-9400,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.addabbo.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,4160150001.0,40.5930968,-73.7918977,4160150001.0,4302404.0,31.0,414.0
300,AIDS Center of Queens County (ACQC) - Woodside,Community Organization,62-07 Woodside Avenue,3rd Floor,11377,QUEENS,(718) 401-6578,"Free services are available.<br><a href=""http://www.acqc.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,False,False,4012940020.0,40.7445195,-73.9021914,4012940020.0,4307300.0,26.0,402.0
301,Morris Heights Health Center,Community Health Center,625 East 137th Street,,10454,BRONX,(212) 645-0875,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.mhhc.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,2025500057.0,40.805521,-73.915898,2025500057.0,2003614.0,8.0,201.0
302,AIDS Service Center of NYC,Community Health Center,64 West 35th Street,3rd Floor,10001,MANHATTAN,(212) 265-4500,"Free services are available.<br><a href=""http://www.ascnyc.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,False,True,False,1008360007.0,40.7501422,-73.9868341,1008360007.0,1015868.0,4.0,105.0
303,William F. Ryan Community Health Center - Ryan/Chelsea-Clinton,Community Health Center,645 10th Avenue,,10036,MANHATTAN,(718) 596-9800,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.ryancenter.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,1010747502.0,40.7620382,-73.9941371,1010747502.0,1085777.0,3.0,104.0
304,Brooklyn Plaza Medical Center,Community Health Center,650 Fulton Street,,11217,BROOKLYN,(855) 681-8700 Ext 3476,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.brooklynplaza.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,False,True,False,False,3021130022.0,40.6869429,-73.9760239,3021130022.0,3059247.0,35.0,302.0
305,Brightpoint Health,Community Health Center,71 West 23rd Street,8th Floor,10010,MANHATTAN,(347) 577-6500,"Free services are available.<br><a href=""http://www.brightpointhealth.org"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep C Testing,True,True,False,False,1008250001.0,40.7428557,-73.9921441,1008250001.0,1015575.0,3.0,105.0
306,"Jenna Butner, MD",Private Practice Physician,710 Courtlandt Avenue,,10451,BRONX,(212) 677-7999,,Hepatitis,Hep C Testing,False,False,False,False,2024010006.0,40.8203671,-73.9175927,2024010006.0,2001706.0,17.0,201.0
