,organizationname,brooklyn,bronx,manhattan,queens,staten_island,fax,phone,aging,anti_discrimination_human_rights,arts_culture,business,child_care_parent_information,community_service_volunteerism,counseling_support_groups,disabilities,domestic_violence,education,employment_job_training,health,homelessness,housing,immigration,legal_services,lesbian_gay_bisexual_and_or_transgender,personal_finance_financial_education,professional_association,veterans_military_families,victim_services,youth_services,faith_based_organization,foundation,is_registered_with_the_attorney_general_s_office,new_york_city_agency,none_of_the_above,nonprofit,other_government_organization,published,address1,city,nourl,postcode,url,description,location_1,borough,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,outsideloc,address2,outsidelocdesc
595,African Services Committee,N,N,Y,N,N,2122227067.0,2122223882.0,N,Y,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,429 West 127th Street,New York,N,10027.0,http://www.africanservices.org,"Founded in 1981 by Ethiopian refugees to give a helping hand to other newcomers, today African Services is a multiservice agency assisting immigrants, refugees and asylees from across the African Diaspora.

Our programs address the needs of newcomers affected by war, persecution, poverty and global health inequalities. We provide health, housing, legal and social services to 10,000 people each year. Staff representing more than 12 countries and speaking twice as many languages provide culturally and linguistically relevant support to this diverse and growing community.

Expanding HIV prevention and access to AIDS treatment and care is central to our mission. African Services has taken this work from Harlem to the frontlines of the global epidemic and now operates three HIV testing and care clinics in Ethiopia.","{'latitude': '40.813002', 'longitude': '-73.953849'}",MANHATTAN,40.813002,-73.953849,9.0,7.0,21303.0,1084104.0,1019670060.0,Manhattanville                                                             ,12424.0,37.0,4.0,23.0,17.0,Y,,Ethiopia
596,Mercy Center,N,Y,N,N,N,7184021594.0,7189932789.0,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,377 East 145th Street,Bronx,N,10454.0,http://www.mercycenterbronx.org,"Mercy Center is a neighborhood center for women in the South Bronx. It's mission is to provide educational and supportive services to women, parents and other family members. Services range from Parenting Skills Classes, Anger Management Classes (offered in Spanish and English); E.S.L.; English Citizenship Classes; Employment Readiness including Introduction to Microsoft Word and Excel, Job Development and G.E.D. Classes; Meditation; Yoga; and many other special activities and workshops throughout the year.","{'latitude': '40.81384', 'longitude': '-73.920403'}",BRONX    ,40.81384,-73.920403,1.0,8.0,43.0,2115799.0,2023070025.0,Mott Haven-Port Morris                                                     ,10933.0,49.0,5.0,35.0,23.0,N,,
597,New York Road Runners Foundation,Y,Y,Y,Y,Y,9176778939.0,2124232227.0,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,845 Third Avenue,New York,N,10022.0,http://www.nyrrfoundation.org,"Our mission is to establish community-based running programs which enhance physical heath, emotional well-being and personal achievement within underserved populations throughout New York City and to disseminate our program expertise to interested parties across the United States and around the world.","{'latitude': '40.756688', 'longitude': '-73.970128'}",MANHATTAN,40.756688,-73.970128,6.0,4.0,98.0,1038464.0,1013250001.0,Turtle Bay-East Midtown                                                    ,12419.0,71.0,4.0,51.0,9.0,Y,11th floor,In almost each of the 50 states
598,"The Lesbian, Gay, Bisexual & Transgender Community Center",N,N,Y,N,N,2129242657.0,2126207310.0,Y,Y,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,208 West 13th Street,New York,N,10011.0,http://www.gaycenter.org/,"""The Lesbian, Gay, Bisexual & Transgender Community Center provides a home for the birth, nurture and celebration of our organizations, institutions and culture; cares for our individuals and groups in need; educates the public and our community; and empowers our individuals and groups to achieve their fullest potential.""","{'latitude': '40.738034', 'longitude': '-74.000603'}",MANHATTAN,40.738034,-74.000603,2.0,3.0,77.0,1067571.0,1006170047.0,West Village                                                               ,12074.0,57.0,4.0,10.0,3.0,N,,
599,"The Nourishing Kitchen of New York City, Inc.",N,N,Y,N,N,,6462591332.0,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,281 Pleasant Avenue,New York,N,10029.0,http://eatwellnyc.org,"The Nourishing Kitchen of New York City, Inc., is a not-for-profit 501 (c)(3) community food program supported and run by the greater New York City area. 

Our mission is to provide nutritious meals and culinary training in a safe and caring environment, to anyone who comes seeking nourishment without question and without criticism. And, further, to provide access to community services and resources to those in need while providing opportunities for volunteers to give of themselves in service to others. Anyone is welcome regardless of age, sex, race, financial qualifications, or religious beliefs.","{'latitude': '40.794482', 'longitude': '-73.933583'}",MANHATTAN,40.794482,-73.933583,11.0,8.0,178.0,1079395.0,1017090021.0,East Harlem North                                                          ,12426.0,7.0,4.0,35.0,16.0,N,,
600,WET Productions,N,N,Y,N,N,,2126820265.0,N,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,"441 Lexington Ave, PH",New York,N,10017.0,http://www.wetweb.org,"WWET is a 501(c)3 non profit production company, founded in 1999 to produce media that challenges female stereo-types and advocates for equality. WET develops, produces and promotes innovative, non-niched, female generated work in theater, film television and a city-wide outreach empowerment program for teenage girls: WETâ€™s Risk Takers Film Series. For more information, please visit www.wetweb.org.","{'latitude': '40.752726', 'longitude': '-73.974793'}",MANHATTAN,40.752726,-73.974793,6.0,4.0,92.0,1036174.0,1012990022.0,Turtle Bay-East Midtown                                                    ,12079.0,71.0,4.0,51.0,9.0,N,,
601,FEGS Center for Women and Families,N,N,Y,N,N,2123668245.0,9176066662.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,315 Hudson Street,New York,N,10013.0,http://www.fegs.org,"Nonresidential domestic violence program providing crisis intervention, long-term counseling, advocacy and referral to adult survivors including immigrants, men and women.","{'latitude': '40.72631', 'longitude': '-74.00749'}",MANHATTAN,40.72631,-74.00749,2.0,3.0,37.0,1010362.0,1005970012.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,12076.0,57.0,4.0,10.0,1.0,Y,,Long Island
602,Brooklyn Chinese-American Association,Y,N,N,N,N,7184388303.0,7184380008.0,Y,N,N,N,Y,N,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,5002 8th Avenue,Brooklyn,N,11220.0,http://www.bca.net,"The Brooklyn Chinese-American Association (BCA) was founded in 1988 as a community-based not-for-profit social service agency in response to the growing needs of the Asian-American community in the Sunset Park, Borough Park, and Bay Ridge sections of Brooklyn. To meet the needs of this rapidly growing population, BCA has developed a full array of bilingual and culturally sensitive services and programs.  BCA's services include four senior centers, bilingual social services, adult education programs, early childhood education programs, youth services, community economic development projects, crime prevention and victims services, naturalization assistance services, and newspaper publication.  Also, to promote cultural understanding and harmony in the neighborhood, BCA has been sponsoring community events such as the Annual Chinese New Year Parade and Annual Clean Up Day. Currently, with its Main Community Service Center and eighteen other service sites in Sunset Park, Borough Park, Bay Ridge, Sheepshead Bay, and Bensonhurst, BCA serves over 2,300 individuals on a daily basis.","{'latitude': '40.641028', 'longitude': '-74.003816'}",BROOKLYN ,40.641028,-74.003816,7.0,38.0,108.0,3013418.0,3007940039.0,Sunset Park East                                                           ,18180.0,9.0,2.0,7.0,45.0,N,,
603,Latin American Integration Center,N,N,N,Y,N,7185650646.0,7185658500.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,49-06 Skillman Avenue,Woodside,N,11377.0,http://www.laicnyc.org,"Information and referral, public education regarding civil rights,US citizenship campaigns, voter registration campaigns, classes in citizenship test preparation and English as a Second Language, Conversational English on one-to-one basis, leadership workshops.","{'latitude': '40.74622', 'longitude': '-73.915056'}",QUEENS   ,40.74622,-73.915056,2.0,26.0,25301.0,4001161.0,4001340027.0,Hunters Point-Sunnyside-West Maspeth                                       ,14787.0,53.0,3.0,33.0,66.0,N,,
604,Dominican Women's Development Center,N,N,Y,N,N,2129946065.0,2129946060.0,N,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,519 West 189th Street,New York,N,10040.0,http://www.dwdc.org,"The Dominican Women's Development Center is a not-for-profit organization created to contribute to the empowerment of Dominican/Latina, other women and our families who reside in Washington Heights/Inwood and other New York City communities. Our mission is to aid in the growth and development of our self esteem by affirming our identity and solidarity through multicultural and holistic social services, and educational, economic and cultural development programs. The Center is committed to the organizing of women to actively participate in the elimination of gender inequality and the promotion of social justice!","{'latitude': '40.853427', 'longitude': '-73.927961'}",MANHATTAN,40.853427,-73.927961,12.0,10.0,277.0,1063854.0,1021590067.0,Washington Heights North                                                   ,13098.0,47.0,4.0,39.0,22.0,N,Ground Floor,
605,Association to Benefit Children,N,N,Y,N,N,,2128311322.0,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,419 East 86 Street,New York,N,10028.0,http://a-b-c.org,"The Association to Benefit Children was created to provide quality early childcare to underprivileged children in East Harlem. Over the years, ABC has grown in order to meet the needs of families comprehensively through education, supportive housing, early intervention programming, mental health treatment, and after school programming. ABC maintains close ties to other community based organizations in the East Harlem area and collaborates with other agencies in order to provide the most thorough care possible.","{'latitude': '40.776514', 'longitude': '-73.948491'}",MANHATTAN,40.776514,-73.948491,8.0,5.0,14402.0,1083281.0,1015660008.0,Yorkville                                                                  ,12425.0,23.0,4.0,1.0,11.0,N,,
606,Immigration Advocacy Services (IAS),N,N,N,Y,N,7182741615.0,7189568218.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,24-40 Steinway Street,Astoria,N,11103.0,http://www.iasny.org,"Office provides one-stop service which includes photos, fingerprinting, form completion, legal assistance, copy of the standardized test, certified mailing and follow-up through the preliminary and swearing in ceremony.  Referrals to AILA attorneys, accredited, outreach and volunteer service agencies.  Referrals to congressional representatives and governmental agencies.  Speakers for merchant and civic organizations.  Citizenship drives coordinated with social service, ethnic and cultural groups.","{'latitude': '40.768513', 'longitude': '-73.911237'}",QUEENS   ,40.768513,-73.911237,1.0,22.0,143.0,4010274.0,4006540059.0,Astoria                                                                    ,16860.0,39.0,3.0,4.0,72.0,,,
607,Queensborough Community College - Continuing Education,N,N,N,Y,N,7182793238.0,7186316343.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"222-05 56 Avenue, Library Building, Room 431",Bayside,N,11364.0,http://www.qcc.cuny.edu/ContEd/Default.htm,"Offers beginning, intermediate and advanced classes in English as a Second language.  An intensive ""Port of Entry language Program for Asians"" is offered to prepare new Asian immigrants planning to continue their education in NY.  Free classes are offered in Adult Literacy ESL and preparation for the GED.  Many other vocational training courses are offered.  Career guidance workshops are also available.","{'latitude': '40.75349', 'longitude': '-73.757957'}",QUEENS   ,40.75349,-73.757957,11.0,23.0,138501.0,4439440.0,4074900002.0,Oakland Gardens                                                            ,14506.0,26.0,3.0,16.0,69.0,,,
608,"Simpson Street Development Association,Inc",N,Y,N,N,N,7189912940.0,7185891510.0,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,997 East 163rd Street,Bronx,Y,10459.0,,"Simpson Street Development Association (SISDA) is a Community Based Organization servicing the youth and families of the South Bronx for the past 43 years. In the area of education, employment, training,summer camp, counseling and social services.","{'latitude': '40.820985', 'longitude': '-73.893398'}",BRONX    ,40.820985,-73.893398,2.0,17.0,159.0,2099787.0,2027240001.0,Hunts Point                                                                ,10937.0,8.0,5.0,43.0,24.0,N,,
609,City Year New York,Y,Y,Y,Y,N,2126479744.0,2126758881.0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,20 W 22nd street,New York,N,10010.0,http://www.cityyear.org,"City Year is a non-profit organization that unites young people of all backgrounds for a year of full-time service, giving them the skills and opportunities to change the world.  As tutors, mentors and role models, these young leaders make a difference in the lives of children and transform schools and neighborhoods.  City Year is a proud member of Americorps.","{'latitude': '40.741253', 'longitude': '-73.990978'}",MANHATTAN,40.741253,-73.990978,5.0,3.0,58.0,1015540.0,1008230055.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,12073.0,11.0,4.0,10.0,7.0,N,3rd Floor,
610,East Harlem Neighborhood Based Alliance Corporation,Y,Y,Y,Y,Y,2122892616.0,2122891900.0,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,"240 East 123rd Street, Third Floor",New York,N,10035.0,http://www.ehnbac.org,"The East Harlem Neighborhood Based Alliance Corporation (EHNBAC) is a non-profit organization established on March 3rd 1993, as part of a State-wide initiative implemented under the New York State Neighborhood Based Alliance (NBA) laws of 1990.   The objectives of this State-wide initiative was: 1) through the operation of a crisis intervention center, to stabilize volatile situations for families and individuals in crisis situations or to address situations that if left unaddressed could become crisis, and 2) to improve long-term economic and social conditions through the development and implementation of a Strategic Neighborhood Action Plan (SNAP).  

Since 1993, over 2,000 individuals and families have been placed in decent, affordable apartments, over 4,000 families have averted homelessness, over 2,000 families have avoided serious injury or death, have been placed in safe houses, and have secured monetary compensation and over 1,000 individuals have received HIV/AIDS services.

Although the EHNBAC downscaled its operation after NYS Neighborhood Based Alliance Initiative sunset in 1996 it continues to serve approximately 600 individuals and families per year.  Most staff are bilingual in Spanish and English.  

The EHNBAC provides crime victims with legal advocacy, family court advocacy around divorce, child visitation, child support, orders of protection.  We accompany participants to precincts, court, and the District Attorney?s Office.  

Emergency Assistance for Victims
We provide emergency services such as the changing of locks, purchase of furniture, clothing, pampers, food and payment of legal and documentation fees to regain lost or missing identification and legal documents, relocation assistance, and rent assistance if the victim is at risk of eviction.  

We provide advocacy to obtain repairs, initiation of overcharge claims, tenant landlord mediation, money management training, legal advocacy, and assistance in securing and maintaining entitlements and benefits.  

In July 2005, in response to the high rates of HIV/AIDS in East Harlem, the EHNBAC instituted its HIV/AIDS education program known as Awareness Can Change Every Persons Tomorrow (ACCEPT).  Since then, over 900 individuals have received education and services focusing on the prevention of HIV/AIDS.  The EHNBAC ACCEPT program provides case management, crisis intervention services, prevention workshops, individual and family counseling sessions, referrals to treatment at local hospitals and medical centers in the community, information and referral,  permanency planning and condom distribution. 
 
Its Homelessness Prevention Program aims to prevent eviction through Housing Court representation, tenant/landlord mediation and emergency cash assistance paid directly to landlords or utility providers.  

If relocation is the appropriate alternative, the EHNBAC will secure alternative housing placement for families where eviction cannot be avoided.","{'latitude': '40.801647', 'longitude': '-73.935017'}",MANHATTAN,40.801647,-73.935017,11.0,8.0,194.0,1054629.0,1017870080.0,East Harlem North                                                          ,13093.0,7.0,4.0,35.0,16.0,N,,
611,Edwin Gould Services for Children and Families,Y,Y,Y,N,N,2124373598.0,2124373500.0,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,N,Published,"40 Rector Street, 12th Floor",New York,N,10006.0,http://www.egscf.org,"Edwin Gould Services for Children and Families is a nonprofit organization recognized for providing child welfare, domestic violence and social services to thousands of ""at risk"" children, adolescents and families in New York City.","{'latitude': '40.708356', 'longitude': '-74.014814'}",MANHATTAN,40.708356,-74.014814,1.0,1.0,13.0,1088750.0,1000557501.0,Battery Park City-Lower Manhattan                                          ,11727.0,56.0,4.0,32.0,1.0,N,,
612,Lower Eastside Service Center/Outreach Program,N,N,Y,N,N,2127325224.0,2125665372.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,80 Maiden Lane (2nd floor),New York,N,10038.0,http://www.lesc.org/,free mental health services for undocumented Hispanic and Chinese speaking immigrants for six months,"{'latitude': '40.707116', 'longitude': '-74.007329'}",MANHATTAN,40.707116,-74.007329,1.0,1.0,7.0,1001015.0,1000420031.0,Battery Park City-Lower Manhattan                                          ,13096.0,56.0,4.0,32.0,1.0,N,,
613,THE BROTHERHOOD/SISTER SOL,N,N,Y,N,N,2122833700.0,2122837044.0,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,512 WEST 143 STREET,NEW YORK,N,10031.0,http://www.brotherhood-sistersol.org,"The Brotherhood/Sister Sol offers a safe space full of resources and love for 200 Black and Latina/o youth, ages 6-18, to speak their minds, acquire knowledge and skills, explore their identity and beliefs, and receive support to make their dreams reality. Our programs and activities - mentoring, leadership development, international study, academic tutoring, internships, community service, job training, writing collective, youth organizing - provide these young people with the knowledge and skills necessary to understand and overcome the negative pressures of poverty, racism, drugs, and violence.","{'latitude': '40.824482', 'longitude': '-73.949867'}",MANHATTAN,40.824482,-73.949867,9.0,7.0,229.0,1061865.0,1020740047.0,Hamilton Heights                                                           ,12428.0,37.0,4.0,23.0,19.0,N,,
614,Wyckoff Heights Medical Center - Rape Crisis,Y,N,N,N,N,,7189063857.0,N,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"374 Stockholm Street, Social Work Dept. RM 1-38",Brooklyn,N,11237.0,http://www.wyckoffhospital.org,"The Rape Crisis Program offers individual, group, and phone counseling to survivors of rape, sexual assault, and sexual abuse ages 13 and older. Services are also offered to to the families of survivors. Other services offered include the provision of information and referrals, crisis counseling by trained rape crisis advocates in the Emergency Department, preventive educational worshops, and trainings for professional groups.","{'latitude': '40.704636', 'longitude': '-73.917699'}",BROOKLYN ,40.704636,-73.917699,4.0,37.0,443.0,3074262.0,3032600001.0,Bushwick North                                                             ,13828.0,42.0,2.0,37.0,53.0,N,,
615,The Young Women's Christian Association (YWCA) of Queens,Y,Y,Y,Y,N,,7183534553.0,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,42-07 Parsons Blvd,Flushing,N,11355.0,http://www.ywcaqueens.org,"The Young Women’s Christian Association (YWCA) of Queens is a community resource and education based organization providing multi-generational and culturally competent services for the immigrant and low-income families since 1978.

Each year, it serves over 11,000 families from the NYC through programs and services including the following:

 

Center for Children:

-  Universal pre-kindergarten

-  After School

-  Literacy Festival

 

Center for Youth Development: 

- General Educational Development (GED) class (YW-Access)

- YW-Excel (GED preparation program)

- Leadership Employment Academic Development (L.E.A.D.): workforce development program  

- Project C.I.T.Y. (Community Involvement Through the YWCA of Queens Volunteer Program)

 

Center for Adults:

-  English for Speakers of Other Languages (ESOL) / Civics 

-  Women's job training / readiness program

-  Recreational / Educational activities

 

Y Evergreen Care (now licensed as a homecare agency by the New York State Department of Health)","{'latitude': '40.757857', 'longitude': '-73.819077'}",QUEENS   ,40.757857,-73.819077,7.0,20.0,861.0,4583346.0,4053750006.0,East Flushing                                                              ,14190.0,22.0,3.0,3.0,67.0,N,,
616,Safe Horizon Queens Community Program,N,N,N,Y,N,,7188991233.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,"74-09 37th Ave, Room 412,",Jackson Heights,N,11372.0,http://www.safehorizon.org,"The Queens Community Program provides the following services to survivors of domestic violence, sexual assault and other crimes: individual and group counseling, information and referrals to other allied health agencies, court accompaniment, advocacy on the client’s behalf with the criminal justice system, and Crime Victims Board assistance. In addition, survivor will be met at any of the emergency departments during work hours, if requested and available, if the hospital social worker is not able to meet with the survivor.  All services are free and confidential. Adolescents can receive counseling services from the ages of 13+ without parental consent.","{'latitude': '40.748992', 'longitude': '-73.891561'}",QUEENS   ,40.748992,-73.891561,3.0,25.0,289.0,4029563.0,4012740035.0,Jackson Heights                                                            ,14783.0,65.0,3.0,5.0,73.0,N,,
617,Amethyst House,Y,N,N,N,N,7188561103.0,7188561100.0,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,604 East 40th Street,Brooklyn,Y,11203.0,,"Amethyst House is a Halfway House for adult women in recovery from alcohol and substance. Candidates for admission must have 30 days clean and recently completed an inpatient rehabilitation stay. Amethyst House provides a structured, supportive, nurturing environment where women can begin to feel safe in addressing their traumas and other issues that fueled their addiction. Many services vital to recovery are provided to residents by our Resident Managers, Therapeutic Recreation Therapist and Parenting Coordinator (for our women who have children) including assistance with structure, self expression, issues of codependency, prioritization and compliance. All residents also attend an intensive outpatient treatment program where they may benefit from group and individual counseling and vocational and housing support. We provide a comprehensive program for women who are ready to make a commitment to their recovey.","{'latitude': '40.640688', 'longitude': '-73.938903'}",BROOKLYN ,40.640688,-73.938903,17.0,45.0,834.0,3112625.0,3049730016.0,East Flatbush-Farragut                                                     ,16866.0,61.0,2.0,26.0,40.0,N,,
618,Community Healthcare Network,Y,Y,Y,Y,N,,2125452400.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,79 Madison Ave,New York,N,10016.0,http://www.chnnyc.org,"Community Healthcare Network provides comprehensive, culturally competent primary care, mental health and social services to diverse populations in underserved communities throughout New York City. CHN serves more than 65,000 individuals a year who would otherwise have little or no access to critical health care. CHN is composed of 10 federally qualified health centers and is accredited by the Joint Commission.","{'latitude': '40.744096', 'longitude': '-73.985619'}",MANHATTAN,40.744096,-73.985619,5.0,2.0,74.0,1016900.0,1008580022.0,Midtown-Midtown South                                                      ,12078.0,11.0,4.0,50.0,7.0,N,,
619,The Salvation Army,Y,Y,Y,Y,Y,,2123377200.0,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,120 West 14th Street,New York,N,10011.0,http://www.use.salvationarmy.org/gnyd,"The Salvation Army is an international, faith-based charitable organization with a simple mission: to help those in need without discrimination.","{'latitude': '40.737704', 'longitude': '-73.997676'}",MANHATTAN,40.737704,-73.997676,2.0,3.0,71.0,1010639.0,1006090023.0,West Village                                                               ,12074.0,57.0,4.0,10.0,3.0,Y,,"Beacon, East Northport, Freeport, Hempstead, Kingston, Middletown, Newburgh, New Rochelle, Peekskill,   Port Chester,  Port Jervis,  Poughkeepsie, Riverhead, Spring Valley, Suffern, Tarrytown, Westbury, White Plains, Yonkers"
620,CASES: GirlRising,Y,Y,Y,Y,Y,,2127320076.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,346 Broadway,New York,N,10013.0,http://www.cases.org,"The mission of CASES is to increase the understanding and use of community sanctions that are fair, affordable, and consistent with public safety. GirlRising is New York City's first non-residential alternative-to-incarceration program designed specifically to meet the unique needs of young women in the criminal justice system. GirlRising provides the services, structure and support court-involved young women need to make responsible choices and avoid future criminal justice system involvement. GirlRising participants receive core program services, including education advocacy and support, social work, art therapy, arts and skills classes, health instruction, experiential learning and adventure based education. GirlRising participants may also engage in intensive workforce development and leadership training.","{'latitude': '40.716696', 'longitude': '-74.004163'}",MANHATTAN,40.716696,-74.004163,1.0,1.0,31.0,1001835.0,1001700006.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,12076.0,56.0,4.0,32.0,2.0,N,,
621,International Center in New York,N,N,Y,N,N,2122550177.0,2122559555.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"50 West 23rd Street, 7th Floor",New York,N,10010.0,http://www.intlcenter.org,"Offers one-to-one Partnership Program, a variety of discussion and lecture classes, structured eight to ten week English courses. Practical skills training workshops, and cultural programs that help members build new lives in the United States.","{'latitude': '40.742222', 'longitude': '-73.991195'}",MANHATTAN,40.742222,-73.991195,5.0,3.0,58.0,1080667.0,1008240015.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,12073.0,11.0,4.0,10.0,7.0,,,
622,Queens Library HealthLink,N,N,N,Y,N,,7189905197.0,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,,Queens,N,,http://www.queenslibrary.org/index.aspx?page_nm=QL_HealthLink,Community-based initiative to increase access to cancer screening and treatment.  Community members are invited to participate in Neighborhood-specific councils to address health issues.,,,,,,,,,,,,,,,,N,,
623,Urban Resource Institute (URI),Y,N,N,N,N,7188752817.0,7182602900.0,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,22 Chapel Street,Brooklyn,N,11201.0,http://www.uriny.org,"To help survivors of domestic violence and their children get through crisis and prepare emotionally, educationally, socially, and financially for a life independent of their abusers.  Urban Resource Institute provides safe alternative housing in secure and confidential apartment accommodations.  Clients receive counseling, vocational evaluations and help in finding permanent housing.","{'latitude': '40.697243', 'longitude': '-73.986217'}",BROOKLYN ,40.697243,-73.986217,2.0,33.0,13.0,3000208.0,3001190055.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,16865.0,68.0,2.0,38.0,54.0,,,
624,St. John’s Bread and Life,Y,N,N,N,N,7184557796.0,7185740058.0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,795 Lexington Avenue,Brooklyn,N,11221.0,http://www.breadandlife.org/,,"{'latitude': '40.690209', 'longitude': '-73.92901'}",BROOKLYN ,40.690209,-73.92901,3.0,36.0,387.0,3044164.0,3016220060.0,Stuyvesant Heights                                                         ,18181.0,69.0,2.0,49.0,52.0,,,
625,The Committee for Hispanic Children and Families (CHCF),Y,Y,Y,Y,Y,2122068093.0,2122061090.0,N,N,N,N,Y,N,Y,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,"110 William Street, Suite 1802",New York,N,10038.0,http://www.chcfinc.org,"Since 1982, The Committee for Hispanic Children and Families, Inc. (CHCF) has been dedicated to improving the quality of life for Latino children and their families.  Believing that the most effective way to serve Latino families is by building upon their existing strengths and fostering self-sufficiency, CHCF provides a number of services to the community in the areas of Youth Development, Child Care Services, and Family Health Education.  Grounded in its direct services, CHCF is active in the local, state and national policy arenas around issues of child welfare and the well-being of Latino children.  For more information, please call (212) 206-1090 or visit our website at http://www.chcfinc.org","{'latitude': '40.708791', 'longitude': '-74.007189'}",MANHATTAN,40.708791,-74.007189,1.0,1.0,1502.0,1001186.0,1000770008.0,Battery Park City-Lower Manhattan                                          ,13096.0,56.0,4.0,32.0,1.0,N,,
