,contract_type,provider_id,program_name,sponsor_name,program_address,program_borough,program_zipcode,program_phone
264,NEIGHBORHOOD SENIOR CENTE,27E01,Los Sures David Santiago Neighborhood Senior Cente,SOUTHSIDE UNITED HOUSING DEVELOPMENT FUND CORP ,201 SOUTH  4TH STREET,BROOKLYN,11211,718-384-2314
265,NEIGHBORHOOD SENIOR CENTE,27E02,SWINGING 60S SENIOR CENTER,SOUTHSIDE UNITED HOUSING DEVELOPMENT FUND CORP ,211 Ainslie Street,BROOKLYN,11211,718-963-3793
266,NEIGHBORHOOD SENIOR CENTE,27G01,Red Hook Neighborhood Senior Center,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,120 WEST 9TH STREET,BROOKLYN,11231,718-269-0519
267,NEIGHBORHOOD SENIOR CENTE,27H01,RAICES Times Plaza Neighborhood Senior Center,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,460 ATLANTIC AVENUE,BROOKLYN,11217,718-694-0895
268,NEIGHBORHOOD SENIOR CENTE,27J01,Wyckoff Gardens Neighborhood Senior Center,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,280 WYCKOFF STREET,BROOKLYN,11217,718-237-1802
269,NEIGHBORHOOD SENIOR CENTE,27K01,Shore Hill Neighborhood Senior Center,SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH,9000 SHORE ROAD,BROOKLYN,11209,718-680-7689
270,NEIGHBORHOOD SENIOR CENTE,27L01,Sunset Park Neighborhood Senior Center,SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH,4520 4TH AVENUE,BROOKLYN,11220,718-210-1050
271,NEIGHBORHOOD SENIOR CENTE,27M01,St. Gabriel's Neighborhood Senior Center,ST GABRIELS EPISCOPAL CHURCH  ,331 HAWTHORNE STREET,BROOKLYN,11225,718-773-4049
272,NEIGHBORHOOD SENIOR CENTE,27N01,United Neighborhood Senior Citizens Center,UNITED SENIOR CITIZENS OF SUNSET PARK INC ,475 53RD STREET,BROOKLYN,11220,718-439-8647
273,NEIGHBORHOOD SENIOR CENTE,27P01,Rosetta Gaston Neighborhood Senior Center,WAYSIDE OUT-REACH DEVELOPMENT INC ,460 DUMONT AVENUE,BROOKLYN,11212,718-345-5665
274,NEIGHBORHOOD SENIOR CENTE,27P03,Brownsville Social Club,WAYSIDE OUT-REACH DEVELOPMENT INC ,528 MOTHER GASTON BLVD,BROOKLYN,11212,718-345-5665
275,NEIGHBORHOOD SENIOR CENTE,27Q01,Tilden Neighborhood Senior Center,WAYSIDE OUT-REACH DEVELOPMENT INC ,630 MOTHER GASTON BLVD,BROOKLYN,11212,718-498-2990
276,NEIGHBORHOOD SENIOR CENTE,27Q02,Langston Hughes Social Club,WAYSIDE OUT-REACH DEVELOPMENT INC ,301 SUTTER AVENUE,BROOKLYN,11212,718-498-2990
277,NEIGHBORHOOD SENIOR CENTE,27R01,Tompkins Park Neighborhood Senior Center,WAYSIDE OUT-REACH DEVELOPMENT INC ,550 GREENE AVENUE,BROOKLYN,11216,718-638-3000
278,NEIGHBORHOOD SENIOR CENTE,27S01,Vandyke Neighborhood Senior Center,WAYSIDE OUT-REACH DEVELOPMENT INC ,430 DUMONT AVENUE,BROOKLYN,11212,718-385-1110
279,NEIGHBORHOOD SENIOR CENTE,27T01,Young Israel Senior Services Neighborhood Senior C,YOUNG ISRAEL PROGRAMS INC  ,1694 OCEAN AVENUE,BROOKLYN,11230,718-253-7800
280,NEIGHBORHOOD SENIOR CENTE,27U01,Bay Ridge Neighborhood Senior Center,BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER,411 OVINGTON AVENUE,BROOKLYN,11209,718-748-0650
281,NEIGHBORHOOD SENIOR CENTE,27V01,Hope Gardens Multi-Service Neighborhood Senior Cen,RISEBORO COMMUNITY PARTNERSHIP INC,195 LINDEN STREET,BROOKLYN,11221,718-455-1100
282,NEIGHBORHOOD SENIOR CENTE,27W01,SHORE HILL NEIGHBORHOOD SENIOR CENTER,SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH,9000 SHORE ROAD,BROOKLYN,11209,718-680-7689
283,NEIGHBORHOOD SENIOR CENTE,27Z01,Prospect Hill Neighborhood Senior Center,ST JOHN ST MATTHEW EMANUEL LUTHERAN CHURCH ,283 PROSPECT AVENUE,BROOKLYN,11215,718-499-9574
284,NEIGHBORHOOD SENIOR CENTE,28701,CYPRESS HILLS FULTON ST NBH SR CTZ CTR,CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER,3208 FULTON STREET,BROOKLYN,11208,718-235-0064
285,NEIGHBORHOOD SENIOR CENTE,28801,DORCHESTER NEIGHBORHOOD SR CITIZENS CTR,DORCHESTER SENIOR CITIZENS CENTER INC ,1419 DORCHESTER ROAD,BROOKLYN,11226,718-941-6700
286,NEIGHBORHOOD SENIOR CENTE,28901,PARK SLOPE CENTER FOR SUCCESSFUL AGING,"HEIGHTS AND HILLS, INC. ",463A 7TH STREET,BROOKLYN,11215,718-832-3726
287,NEIGHBORHOOD SENIOR CENTE,28C01,Sephardic Multi-Service Neighborhood Senior Center,SEPHARDIC MULTI SERVICES SENIOR CITIZEN CENTER INC,485 KINGS HIGHWAY,BROOKLYN,11223,718-336-1300
288,NEIGHBORHOOD SENIOR CENTE,28C02,House of Jacob Neighborhood Senior Center,SEPHARDIC MULTI SERVICES SENIOR CITIZEN CENTER INC,6222 23RD AVENUE,BROOKLYN,11204,718-259-0100
289,NEIGHBORHOOD SENIOR CENTE,28D01,AMICO Eileen Dugan Neighborhood Senior Center,AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC\AM,378 COURT STREET,BROOLYN,11231,718-596-1956
290,NEIGHBORHOOD SENIOR CENTE,28J01,Park Slope Center for Successful Aging,"HEIGHTS AND HILLS, INC. ",463A 7TH STREET,BROOKLYN,11215,718-832-3726
291,NEIGHBORHOOD SENIOR CENTE,29101,COUNCIL CENTER FOR SENIOR CITIZENS NSC,"BROOKLYN SECTION NATIONAL COUNCIL OF JEWISH WOMEN,",1001 QUENTIN ROAD,BROOKLYN,11223,718-627-7680
292,NEIGHBORHOOD SENIOR CENTE,30501,ARC XVI FT WASHINGTON NSC,ARC XVI FORT WASHINGTON INC  ,4111 BROADWAY,NEW YORK,10033,212-781-5700
293,NEIGHBORHOOD SENIOR CENTE,30C01,Moriah Older Adult Luncheon Neighborhood Senior Ce,AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC ,90 BENNETT AVENUE,NEW YORK,10033,212-923-5715
294,NEIGHBORHOOD SENIOR CENTE,30E01,ARC XVI Fort Washington Neighborhood Senior Center,ARC XVI FORT WASHINGTON INC  ,4111 BROADWAY,NEW YORK,10033,212-781-5700
295,NEIGHBORHOOD SENIOR CENTE,30P01,ABSW Neighborhood Senior Center,ASSOCIATION OF BLACK SOCIAL WORKERS INC ,221 WEST 107TH STREET,NEW YORK,10025,212-749-8400
296,NEIGHBORHOOD SENIOR CENTE,30Q01,BRC Neighborhood Senior Center,BOWERY RESIDENTS COMMITTEE INC  ,30 DELANCEY STREET,NEW YORK,10002,212-533-2020
297,NEIGHBORHOOD SENIOR CENTE,30R01,Canaan Neighborhood Senior Center,CANAAN BAPTIST CHURCH OF CHRIST ,1428 Fifth Avenue,NEW YORK,10035,212-876-2638
298,NEIGHBORHOOD SENIOR CENTE,31201,CARTER BURDEN LUNCHEON CLUB NSC,"CARTER BURDEN NETWORK, INC.",351 EAST 74TH STREET,NEW YORK,10021,212-535-5235
299,NEIGHBORHOOD SENIOR CENTE,31202,Carter Burden Roosevelt Island Neighborhood Senior,"CARTER BURDEN NETWORK, INC.",546 MAIN STREET,NEW YORK,10021,212-980-1888
300,NEIGHBORHOOD SENIOR CENTE,31701,Carter Burden Luncheon Club Neighborhood Senior Ce,"CARTER BURDEN NETWORK, INC.",351 EAST 74TH STREET,NEW YORK,10021,212-535-5235
301,NEIGHBORHOOD SENIOR CENTE,31702,Carter Burden Roosevelt Island Neighborhood Senior,"CARTER BURDEN NETWORK, INC.",564 Main Street,NEW YORK,10021,212-980-1888
302,NEIGHBORHOOD SENIOR CENTE,31801,GAYLORD WHITE NEIGHBORHOOD SENIOR CENTER,UNION SETTLEMENT ASSOCIATION ,2029 SECOND AVENUE,NEW YORK,10029,212-828-6055
303,NEIGHBORHOOD SENIOR CENTE,31K01,WEINBERG CENTER FOR BALANCED LIVING,THE EDUCATIONAL ALLIANCE INC  ,197 EAST BROADWAY,NEW YORK,10002,646-395-4270
304,NEIGHBORHOOD SENIOR CENTE,31T01,Jackie Robinson Neighborhood Senior Center,CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC ,1301 AMSTERDAM AVENUE,NEW YORK,10027,212-666-4910
305,NEIGHBORHOOD SENIOR CENTE,31V01,FOOD BANK NEIGHBORHOOD SENIOR CENTER,FOOD BANK FOR NEW YORK CITY,252 WEST 116TH STREET,New York,10026,212-566-7855
306,NEIGHBORHOOD SENIOR CENTE,32001,NY Chinatown Neighborhood Senior Center,CHINESE AMERICAN PLANNING COUNCIL INC,70 MULBERRY STREET,NEW YORK,10013,212-233-8930
307,NEIGHBORHOOD SENIOR CENTE,32101,INDEPENDENCE PLAZA NEIGHBORHOOD SR CTR,"GREENWICH HOUSE, INC. ",310 GREENWICH STREET,NEW YORK,10013,212-267-0499
308,NEIGHBORHOOD SENIOR CENTE,32201,CPC Project Open Door Neighborhood Senior Center,CHINESE AMERICAN PLANNING COUNCIL INC,168 GRAND STREET,NEW YORK,10013,212-431-9026
309,NEIGHBORHOOD SENIOR CENTE,32301,EAST HARLEM NEIGHBORHOOD SENIOR CENTER,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC ,150 EAST 121ST STREET,NEW YORK,10035,212-722-2205
310,NEIGHBORHOOD SENIOR CENTE,32601,WEST 65TH STREET CENTER,GODDARD-RIVERSIDE COMMUNITY CENTER ,250 WEST 65th STREET,New York,10023,212-874-0860
311,NEIGHBORHOOD SENIOR CENTE,32801,CANAAN NEIGHBORHOOD SENIOR CENTER,CANAAN BAPTIST CHURCH OF CHRIST ,1428 FIFTH AVENUE,NEW YORK,10035,212-876-2638
312,NEIGHBORHOOD SENIOR CENTE,32901,Cothoa Luncheon Club Neighborhood Senior Center,COTHOA LUNCHEON CLUB INC  ,2005 AMSTERDAM AVENUE,NEW YORK,10032,212-781-6580
313,NEIGHBORHOOD SENIOR CENTE,32904,Bethune Neighborhood Senior Center,COTHOA LUNCHEON CLUB INC  ,1970 AMSTERDAM AVENUE,NEW YORK,10032,646-918-7710
314,NEIGHBORHOOD SENIOR CENTE,32U01,East Harlem Neighborhood Senior Center,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC ,150 EAST 121ST STREET,NEW YORK,10035,212-722-2205
315,NEIGHBORHOOD SENIOR CENTE,33201,CPC PROJECT OPEN DOOR NEIGHBORHOOD SC,CHINESE AMERICAN PLANNING COUNCIL INC,168 GRAND STREET,NEW YORK,10013,212-431-9026
316,NEIGHBORHOOD SENIOR CENTE,33401,Stein Neighborhood Senior Center,STEIN SENIOR CENTER INC,204 EAST 23RD STREET,NEW YORK,10010,646-395-8083
317,NEIGHBORHOOD SENIOR CENTE,33A01,Weinberg Center for Balanced Living,THE EDUCATIONAL ALLIANCE INC  ,197 EAST BROADWAY,NEW YORK,10002,646-395-4270
318,NEIGHBORHOOD SENIOR CENTE,33L01,Encore Neighborhood Senior Center,ENCORE COMMUNITY SERVICES  ,239 WEST 49TH STREET,NEW YORK,10019,212-581-2910
319,NEIGHBORHOOD SENIOR CENTE,33N01,FIND Clinton Neighborhood Senior Center,FIND AID FOR THE AGED  ,530 WEST 55TH STREET,NEW YORK,10019,212-757-2026
320,NEIGHBORHOOD SENIOR CENTE,33P01,FIND Aid Coffeehouse Neighborhood Senior Center,FIND AID FOR THE AGED  ,331 WEST 42ND STREET,NEW YORK,10036,646-545-4621
321,NEIGHBORHOOD SENIOR CENTE,33R01,FIND Woodstock Neighborhood Senior Center,FIND AID FOR THE AGED  ,127 WEST 43RD STREET,NEW YORK,10036,212-874-0300
322,NEIGHBORHOOD SENIOR CENTE,33S01,Food Bank Neighborhood Senior Center,FOOD BANK FOR NEW YORK CITY,252 WEST 116TH STREET,NEW YORK,10026,212-566-7855
323,NEIGHBORHOOD SENIOR CENTE,33T01,Goddard Riverside Neighborhood Senior Center,GODDARD-RIVERSIDE COMMUNITY CENTER ,593 COLUMBUS AVENUE,NEW YORK,10024,212-873-6600
324,NEIGHBORHOOD SENIOR CENTE,33U01,Center on the Square Neighborhood Senior Center,"GREENWICH HOUSE, INC. ",20 WASHINGTON SQUARE NORTH,NEW YORK,10011,212-777-3555
325,NEIGHBORHOOD SENIOR CENTE,33V01,Grand Coalition of Seniors Neighborhood Senior Cen,GRAND STREET SETTLEMENT INC  ,80 PITT STREET,NEW YORK,10002,646-201-4251
326,NEIGHBORHOOD SENIOR CENTE,33X01,Independence Plaza Neighborhood Senior Center,"GREENWICH HOUSE, INC. ",310 GREENWICH STREET,NEW YORK,10013,212-267-0499
327,NEIGHBORHOOD SENIOR CENTE,33Y01,Judith C. White Neighborhood Senior Center,"GREENWICH HOUSE, INC. ",27 BARROW STREET,NEW YORK,10014,212-242-4140
328,NEIGHBORHOOD SENIOR CENTE,33Z01,Our Lady of Pompeii Senior Center,"GREENWICH HOUSE, INC. ",25 CARMINE STREET,NEW YORK,10014,212-989-3620
329,NEIGHBORHOOD SENIOR CENTE,34001,GOOD COMPANIONS NEIGHBORHOOD SENIOR CENT,HENRY STREET SETTLEMENT  ,334 MADISON STREET,NEW YORK,10002,212-349-2770
330,NEIGHBORHOOD SENIOR CENTE,34101,CENTRAL HARLEM KENNEDY SR CTR,"CENTRAL HARLEM SENIOR CITIZENS CENTERS, INC.",2322 Third Avenue,NEW YORK,10037,212-926-4465
331,NEIGHBORHOOD SENIOR CENTE,34103,Beatrice Lewis,"CENTRAL HARLEM SENIOR CITIZENS CENTERS, INC.",34 WEST 134TH STREET,NEW YORK,10037,212-289-9155
332,NEIGHBORHOOD SENIOR CENTE,34701,City Hall Neighborhood Senior Center,HAMILTON MADISON HOUSE INC  ,100 GOLD STREET,NEW YORK,10038,212-788-5580
333,NEIGHBORHOOD SENIOR CENTE,34801,Good Companions Neighborhood Senior Center,HENRY STREET SETTLEMENT  ,334 MADISON STREET,NEW YORK,10002,212-349-2770
334,NEIGHBORHOOD SENIOR CENTE,34A01,Hudson Guild Neighborhood Center,HUDSON GUILD  ,441 West 26th Street,NEW YORK,10011,212-760-9805
335,NEIGHBORHOOD SENIOR CENTE,34H01,Carver Neighborhood Senior Center,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,55 EAST 102ND STREET,NEW YORK,10029,212-289-2708
336,NEIGHBORHOOD SENIOR CENTE,34M01,Lenox Hill Neighborhood Senior Center,LENOX HILL NEIGHBORHOOD HOUSE INC ,619 LEXINGTON AVENUE,NEW YORK,10022,212-308-1959
337,NEIGHBORHOOD SENIOR CENTE,34N01,West 65th Street Center,GODDARD-RIVERSIDE COMMUNITY CENTER ,250 WEST 65TH STREET,NEW YORK,10023,212-874-0860
338,NEIGHBORHOOD SENIOR CENTE,34P01,Dyckman Neighborhood Senior Center,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,3754 10TH AVENUE,NEW YORK,10034,212-569-7790
339,NEIGHBORHOOD SENIOR CENTE,34Q01,LaGuardia Neighborhood Senior Center,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,280 CHERRY STREET,NEW YORK,10002,212-732-3656
340,NEIGHBORHOOD SENIOR CENTE,34R01,Mott Street Neighborhood Senior Center,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,180 MOTT STREET,NEW YORK,10012,212-966-5460
341,NEIGHBORHOOD SENIOR CENTE,34S01,John Paul II Friendship Neighborhood Senior Center,POLISH & SLAVIC CENTER INC  ,103 EAST 7TH STREET,NEW YORK,10009,212-673-7704
342,NEIGHBORHOOD SENIOR CENTE,34T01,PSS Harlem Neighborhood Senior Center,PRESBYTERIAN SENIOR SERVICES  ,18 MT. MORRIS PARK WEST,NEW YORK,10027,212-222-3132
343,NEIGHBORHOOD SENIOR CENTE,34T03,PSS Manhattanville Senior Center,PRESBYTERIAN SENIOR SERVICES  ,530 West 133rd Street,NEW YORK,10027,212-862-5562
344,NEIGHBORHOOD SENIOR CENTE,34U01,RAIN Inwood Neighborhood Senior Center,REGIONAL AID FOR INTERIM NEEDS INC ,84 VERMILYEA AVENUE,NEW YORK,10034,212-567-3200
345,NEIGHBORHOOD SENIOR CENTE,34V01,Riverstone Senior Life Neighborhood Senior Center,RIVERSTONE SENIOR LIFE SERVICES INC.,99 FORT WASHINGTON AVENUE,NEW YORK,10032,212-927-5600
346,NEIGHBORHOOD SENIOR CENTE,34Y01,Stanley Isaacs Neighborhood Senior Center,STANLEY M ISAACS NEIGHBORHOOD CENTER INC ,415 EAST 93RD STREET,NEW YORK,10128,212-360-7620
347,NEIGHBORHOOD SENIOR CENTE,34Z01,Corsi House Neighborhood Senior Center,UNION SETTLEMENT ASSOCIATION ,307 EAST 116TH STREET,NEW YORK,10029,212-828-6756
348,NEIGHBORHOOD SENIOR CENTE,35101,Gaylord White Neighborhood Senior Center,UNION SETTLEMENT ASSOCIATION ,2029 SECOND AVENUE,NEW YORK,10029,212-828-6055
349,NEIGHBORHOOD SENIOR CENTE,35201,Jefferson Houses Neighborhood Senior Center,UNION SETTLEMENT ASSOCIATION ,2205 FIRST AVENUE,NEW YORK,10029,212-828-6104
350,NEIGHBORHOOD SENIOR CENTE,35301,FIND WOODSTOCK NEIGHBORHOOD SENIOR CENTE,FIND AID FOR THE AGED  ,127  WEST 43RD STREET,NEW YORK,10036,212-874-0300
351,NEIGHBORHOOD SENIOR CENTE,35A01,Hamilton Grange Neighborhood Senior Center,CONVENT AVENUE BAPTIST CHURCH  ,420 WEST 145TH STREET,NEW YORK,10031,212-862-4181
352,NEIGHBORHOOD SENIOR CENTE,35B01,ARC Central Harlem Senior Center,ARC XVI FORT WASHINGTON INC  ,120 WEST 140TH STREET,NEW YORK,10030,212-781-5700
353,NEIGHBORHOOD SENIOR CENTE,35B02,AP Randolph Senior Center,ARC XVI FORT WASHINGTON INC  ,108 West 146th Street,NEW YORK,10030,917-639-3054
354,NEIGHBORHOOD SENIOR CENTE,35C01,Central Harlem Kennedy Senior Center,"CENTRAL HARLEM SENIOR CITIZENS CENTERS, INC.",2322 Third Avenue,NEW YORK,10037,212-926-4465
355,NEIGHBORHOOD SENIOR CENTE,35C03,Beatrice Lewis,"CENTRAL HARLEM SENIOR CITIZENS CENTERS, INC.",34 WEST 134TH STREET,NEW YORK,10037,212-289-9155
356,NEIGHBORHOOD SENIOR CENTE,36001,ABSW NEIGHBORHOOD SENIOR CENTER,ASSOCIATION OF BLACK SOCIAL WORKERS INC ,221 WEST 107TH STREET,NEW YORK,10025,212-749-8400
357,NEIGHBORHOOD SENIOR CENTE,36201,UJC Adult Luncheon Club Neighborhood Senior Center,UNITED JEWISH COUNCIL OF THE EAST SIDE INC ,15 BIALYSTOKER PLACE,NEW YORK,10002,212-673-9328
358,NEIGHBORHOOD SENIOR CENTE,36202,UJC Lillian Wald Houses Senior Center,UNITED JEWISH COUNCIL OF THE EAST SIDE INC ,12 AVENUE D,NEW YORK,10009,212-260-2731
359,NEIGHBORHOOD SENIOR CENTE,36301,University Settlement Neighborhood Senior Center,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,189 ALLEN STREET,NEW YORK,10002,212-473-8217
360,NEIGHBORHOOD SENIOR CENTE,36A01,Washington Heights Neighborhood Senior Center,WASHINGTON HEIGHTS COMMUNITY SERVICE INC ,650 WEST 187TH STREET,NEW YORK,10033,212-781-8331
361,NEIGHBORHOOD SENIOR CENTE,36B01,The Center at the Red Oak Neighborhood Senior Cent,WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOU,135 WEST 106TH STREET,NEW YORK,10025,646-214-2560
362,NEIGHBORHOOD SENIOR CENTE,39901,CORSI HOUSE NEIGHBORHOOD SENIOR CENTER,UNION SETTLEMENT ASSOCIATION ,307 East 116th Street,New York,10029,212-828-6756
363,NEIGHBORHOOD SENIOR CENTE,40101,Rockaway Park Neighborhood Senior Center,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,106-20 SHORE FRONT PARKWAY,ROCKAWAY PARK,11694,718-634-3044
364,NEIGHBORHOOD SENIOR CENTE,40301,RIDGEWOOD OLDER ADULT NEIGHBORHOOD SC,RIDGEWOOD OLDER ADULT CENTER AND SERVICES INC ,59-14 70TH AVENUE,RIDGEWOOD,11385,718-456-2000
365,NEIGHBORHOOD SENIOR CENTE,40501,BROOKS MEMORIAL NSC,BROOKS SENIOR CENTER,143-22 109TH AVENUE,JAMAICA,11435,718-291-3955
366,NEIGHBORHOOD SENIOR CENTE,40901,FOREST HILLS NEIGHBORHOOD SENIOR CENTER,QUEENS COMMUNITY HOUSE INC. ,108-25 62ND DRIVE,FLUSHING,11375,718-699-1010
367,NEIGHBORHOOD SENIOR CENTE,41001,WAVECREST AND BAYSWATER NSC,YOUNG ISRAEL PROGRAMS INC  ,2716 HEALY AVENUE,FAR ROCKAWAY,11691,718-327-0297
368,NEIGHBORHOOD SENIOR CENTE,41201,HANAC ANGELO PETROMELIS NSC,"HANAC, INC. ",13-28 123RD STREET,COLLEGE POINT,11356,718-961-0344
369,NEIGHBORHOOD SENIOR CENTE,41301,ALLEN COMMUNITY NEIGHBORHOOD SENIOR CT,ALLEN AME CHURCH ALLEN COMMUNITY SENIOR CENTER ,166-01 LINDEN BOULEVARD,JAMAICA,11433,718-658-0980
370,NEIGHBORHOOD SENIOR CENTE,41401,ALPHA PHI ALPHA NEIGHBORHOOD SENIOR CTR,ALPHA PHI ALPHA SENIOR CITIZENS CENTER INC ,220-01 LINDEN BOULEVARD,CAMBRIA HEIGHTS,11411,718-528-8238
371,NEIGHBORHOOD SENIOR CENTE,41601,THE YOUNG ISRAEL OF FOREST HILLS NSC,YOUNG ISRAEL PROGRAMS INC  ,68-07 BURNS STREET,FOREST HILLS,11375,718-520-2305
372,NEIGHBORHOOD SENIOR CENTE,41701,MIDDLE VILLAGE NEIGHBORHOOD SENIOR CT,RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF ,69-10 75th STREET,MIDDLE VILLAGE,11379,718-894-3441
373,NEIGHBORHOOD SENIOR CENTE,42501,CCNS Woodhaven Neighborhood Senior Center,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,89-02 91ST STREET,WOODHAVEN,11421,718-847-9200
374,NEIGHBORHOOD SENIOR CENTE,42701,CCNS CATHERINE SHERIDAN NSC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,35-24 83RD STREET,JACKSON HEIGHTS,11372,718-458-4600
375,NEIGHBORHOOD SENIOR CENTE,42801,PETER CARDELLA NSC,PETER CARDELLA SENIOR CITIZEN CENTER INC ,68-52 FRESH POND ROAD,RIDGEWOOD,11385,718-497-2908
376,NEIGHBORHOOD SENIOR CENTE,42A01,Brooks Memorial Neighborhood Senior Center,BROOKS SENIOR CENTER,143-22 109TH AVENUE,JAMAICA,11435,718-291-3935
377,NEIGHBORHOOD SENIOR CENTE,42J01,Roy Reuther Neighborhood Senior Center,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,711C SEAGIRT AVENUE,FAR RACKAWAY,11691,718-471-3110
378,NEIGHBORHOOD SENIOR CENTE,42Q01,JSPOA Theodora Jackson Neighborhood Senior Center,JAMAICA SERVICE PROGRAM FOR OLDER ADULTS INC ,92-47 165TH STREET,JAMAICA,11433,718-657-6618
379,NEIGHBORHOOD SENIOR CENTE,42W01,CCNS Ozone Park Neighborhood Senior Center,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,103-02 101 AVENUE,OZONE PARK,11416,718-847-2100
380,NEIGHBORHOOD SENIOR CENTE,42X01,CCNS Dellamonica-Steinway Neighborhood Senior Cent,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,23-56 BROADWAY,ASTORIA,11106,718-626-1500
381,NEIGHBORHOOD SENIOR CENTE,42Y01,Elmcor's Golden Phoenix Club One,ELMCOR YOUTH & ADULT ACTIVITIES INC ,98-19 ASTORIA BOULEVARD,EAST ELMHURST,11369,718-457-9757
382,NEIGHBORHOOD SENIOR CENTE,43101,SELFHELP CLEARVIEW NSC,SELFHELP COMMUNITY SERVICES INC ,208-11 26TH AVENUE,BAYSIDE,11360,718-224-7888
383,NEIGHBORHOOD SENIOR CENTE,43301,BAYSIDE NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,221-15 HORACE HARDING EXPRESSWAY,BAYSIDE,11364,718-225-1144
384,NEIGHBORHOOD SENIOR CENTE,43501,JSPOA Friendship Neighborhood Senior Center,JAMAICA SERVICE PROGRAM FOR OLDER ADULTS INC ,92-33 170TH STREET,JAMAICA,11433,718-657-6540
385,NEIGHBORHOOD SENIOR CENTE,43601,CCNS WOODHAVEN NSC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,89-02 91ST STREET,JAMAICA,11421,718-847-9200
386,NEIGHBORHOOD SENIOR CENTE,43701,REGO PARK NSC,QUEENS COMMUNITY HOUSE INC. ,93-29 QUEENS BOULEVARD,REGO PARK,11374,718-896-8511
387,NEIGHBORHOOD SENIOR CENTE,43A01,Bayside Neighborhood Senior Center,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,221-15 HORACE HARDING EXPRESSWAY,BAYSIDE,11364,718-225-1144
388,NEIGHBORHOOD SENIOR CENTE,43B01,CCNS Catherine Sheridan Neighborhood Senior Center,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,35-24 83RD STREET,JACKSON HEIGHTS,11372,718-458-4600
389,NEIGHBORHOOD SENIOR CENTE,43C01,CCNS Seaside Neighborhood Senior Center,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,320 BEACH 94TH STREET,ROCKAWAY,11693,347-926-4119
390,NEIGHBORHOOD SENIOR CENTE,43F01,Florence E. Smith Neighborhood Senior Center,CORONA CONGREGATIONAL CHURCH  ,102-19 34TH AVENUE,CORONA,11368,718-899-0553
391,NEIGHBORHOOD SENIOR CENTE,43K01,Elmcor's Golden Phoenix Club Two,ELMCOR YOUTH & ADULT ACTIVITIES INC ,95-18  Northern Boulevard,Jackson heights,11372,718-271-1222
392,NEIGHBORHOOD SENIOR CENTE,43L01,HANAC Ravenswood Neighborhood Senior Center,"HANAC, INC. ",34-35 12TH STREET,ASTORIA,11106,718-786-1550
393,NEIGHBORHOOD SENIOR CENTE,43M01,Rochdale Neighborhood Senior Center,ROCHDALE VILLAGE SOCIAL SERVICES INC ,169-65 137TH AVENUE,JAMAICA,11434,718-525-2800
394,NEIGHBORHOOD SENIOR CENTE,43N01,Elmhurst Jackson Heights Neighborhood Senior Cente,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,75-01 BROADWAY,ELMHURST,11373,718-478-7171
395,NEIGHBORHOOD SENIOR CENTE,43P01,Selfhelp Austin Street Neighborhood Senior Center,SELFHELP COMMUNITY SERVICES INC ,106-06 QUEENS BOULEVARD,FOREST HILLS,11375,718-520-8197
396,NEIGHBORHOOD SENIOR CENTE,43Q01,HOLLISWOOD NSC,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,86-25 FRANCIS LEWIS BOULEVARD,JAMAICA,11427,718-454-6157
