,borough_code,development,address,status,sponsor,type,zip_code,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta
265,Queens,Beach 41st ,426 Beach 40th Street,Occupied,Research Foundation of the State University of New York,Other - ATTAIN LAB,11691.0,40.596249,-73.772408,14.0,31.0,97203.0,4302129.0,4159550003.0,Hammels-Arverne-Edgemere                                                   
266,Brooklyn,Weeksville,1640 Pacific Street,Occupied,"Brooklyn Kindergarten Society, Inc. & DDC",Child Care - UPK 2015,11213.0,40.676818,-73.934627,8.0,36.0,309.0,3341633.0,3013410012.0,Crown Heights North                                                        
267,Brooklyn,Armstrong,360 Nostrand Avenue,Occupied,Provider Name Unknown,Senior Center,11216.0,40.687303,-73.950965,3.0,36.0,243.0,3350437.0,3018020051.0,Bedford                                                                    
268,Brooklyn,Breukelen,715 East 105th Street,Occupied,Recreation Rooms & Settlement,Child Care - Early Learn,11236.0,40.648732,-73.896005,18.0,42.0,982.0,3321523.0,3081930001.0,Canarsie                                                                   
269,Bronx,(Murphy Consolidated) 1010 East 178th Street ,1030 East 178th Street,Occupied,Phipps Community Development,Other - Education / GED,10460.0,40.841154,-73.879864,6.0,15.0,361.0,2013245.0,2031300100.0,East Tremont                                                               
270,Bronx,McKinley,751 East 161st Street,Occupied,Southeast Bronx Neighborhood Centers,Community Center,10456.0,40.821363,-73.904836,3.0,16.0,133.0,2091958.0,2026380090.0,Morrisania-Melrose                                                         
271,Bronx,Gun Hill,744 Gunhill Road,Vacant ,NYCHA,Vacant,10467.0,40.876876,-73.864868,12.0,12.0,374.0,2093515.0,2046290050.0,Williamsbridge-Olinville                                                   
272,Bronx,Melrose,286 East 156th Street,Occupied,"Bronxworks, Inc.",Community Center,10451.0,40.822022,-73.920289,1.0,17.0,67.0,2120133.0,2024130001.0,Melrose South-Mott Haven North                                             
273,Brooklyn,Brownsville,528 Mother Gaston Blvd.,Occupied,NYCHA,Senior Center,11212.0,40.665956,-73.905923,16.0,41.0,912.0,3325326.0,3035610001.0,Brownsville                                                                
274,Queens,International Towers,90-20 170th Street,Occupied,Jamaica Service Program for Older Adults (JSPOA),Senior Center,11432.0,40.708578,-73.790579,12.0,27.0,460.0,4209721.0,4098020041.0,Jamaica                                                                    
275,Brooklyn,Brevoort,258 Ralph Avenue,NYCHA HOLD,NYCHA,Vacant- health clinic,11233.0,40.68071,-73.922336,3.0,41.0,381.0,3325169.0,3016880001.0,Crown Heights North                                                        
276,Brooklyn,Low Houses,137 Belmont Avenue,Occupied,Fort Greene Senior Citizens Council,Senior Center,11212.0,40.669205,-73.905172,16.0,41.0,908.0,3327015.0,3037270001.0,Brownsville                                                                
277,Manhattan,Grant,1299 Amsterdam Avenue,Occupied,"East Harlem Block Nursery, Inc.",Child Care - Early Learn,10027.0,40.811919,-73.957318,9.0,7.0,20901.0,1084095.0,1019640001.0,Morningside Heights                                                        
278,Brooklyn,Armstrong,262 Lexington Avenue,Occupied,"Bedford Stuyvesant Early Childhood Development Ctr., Inc.",Child Care ,11216.0,40.687597,-73.951574,3.0,36.0,243.0,3050588.0,3018020051.0,Bedford                                                                    
279,Manhattan,Holmes Towers,1794 First Avenue,Occupied,SCAN Supportive Children's Advocacy Network,Child Care - Early Learn,10128.0,40.781201,-73.946206,8.0,5.0,152.0,1076333.0,1015730020.0,Yorkville                                                                  
280,Manhattan,Vladeck,367 Madison Street,Occupied,"Henry Street Settlement, Inc.",Other - Family/Youth Program,10002.0,40.713395,-73.982282,3.0,2.0,202.0,1083405.0,1002670024.0,Lower East Side                                                            
281,Manhattan,Smith,50 Madison Street,Occupied,"Hamilton-Madison House, Inc.",NORC,10038.0,40.711958,-73.997825,3.0,1.0,25.0,1077420.0,1001110100.0,Chinatown                                                                  
282,Manhattan,Dyckman,3754 Tenth Avenue,Occupied,New York Foundation For Senior Citizens,Senior Center,10034.0,40.860844,-73.921587,12.0,10.0,299.0,1080032.0,1022160001.0,Marble Hill-Inwood                                                         
283,Manhattan,East River,400 -402 East 105th Street,Occupied,Union Settlement Association,Other - Social Adult Day Care,10029.0,40.788908,-73.940486,11.0,8.0,162.0,1083941.0,1016960001.0,East Harlem South                                                          
284,Manhattan,King Towers,1 West 112th Street,Occupied,"East Calvary Day Care Center, Inc.",Child Care - Early Learn,10026.0,40.798159,-73.948363,10.0,9.0,186.0,1083309.0,1015960001.0,Central Harlem South                                                       
285,Bronx,Jackson,325 East 156th Street,Occupied,Presbyterian Senior Services,Senior Center,10451.0,40.821439,-73.917995,1.0,17.0,69.0,2091224.0,2024160001.0,Melrose South-Mott Haven North                                             
286,Brooklyn,Wyckoff Gardens,280 Wyckoff Street,Occupied,Spanish Speaking Elderly Council - RAICES,Senior Center,11217.0,40.683365,-73.983941,6.0,33.0,127.0,3336056.0,3003940001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
287,Bronx,Monroe,816 Soundview Avenue,NYCHA HOLD + being looked at,NYCHA,Vacant- health clinic,10473.0,40.821583,-73.866325,9.0,18.0,42.0,2092750.0,2036370001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
288,Manhattan,Tafts Rehab,146 St. Nicholas Avenue,Occupied,"Citizen's Care Committee, Inc",Other - Office Space,10026.0,40.804493,-73.952728,10.0,9.0,218.0,1084043.0,1019230029.0,Central Harlem South                                                       
289,Bronx,Bronx River,1619 East 174th Street,Occupied,Institute for the Puerto Rican/Hispanic Elderly,Senior Center,10472.0,40.83395,-73.876147,9.0,18.0,62.0,2092909.0,2038860002.0,West Farms-Bronx River                                                     
290,Staten Island,Todt Hill,184 Schmidts Lane,Occupied,"Staten Island Comm Servs Friendship Club, Inc.",Senior Center,10314.0,40.609058,-74.119053,2.0,49.0,173.0,5108960.0,5007060001.0,New Springville-Bloomfield-Travis                                          
291,Queens,Ravenswood,21-20 35th Avenue,Occupied,"Catholic Charities Neighborhood Services, Inc.",Child Care ,11106.0,40.761162,-73.934992,1.0,26.0,47.0,4430708.0,4003350002.0,Astoria                                                                    
292,Manhattan,Rangel,159-62 Harlem River Drive,Vacant ,NYCHA,Vacant,10039.0,40.833993,-73.935473,10.0,9.0,24302.0,1084186.0,1021060320.0,Central Harlem North-Polo Grounds                                          
293,Manhattan,Rangel,159-36 Harlem River Drive,Occupied,Church on the Hill,Senior Center,10039.0,40.833365,-73.935456,10.0,9.0,24302.0,1084184.0,1021060320.0,Central Harlem North-Polo Grounds                                          
294,Bronx,Sack-Wern,710 Noble Avenue,Occupied,Goodwill Industries of Greater New York,Unknown,10473.0,40.818861,-73.867208,9.0,18.0,20.0,2021985.0,2035940001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
295,Manhattan,Drew Hamilton,220 West 143rd Street,Occupied,Research Foundation of the State University of New York,Other - ATTAIN LAB,10030.0,40.8208,-73.94113,10.0,9.0,232.0,1086084.0,1020280016.0,Central Harlem North-Polo Grounds                                          
296,Brooklyn,Haber,3024 West 24th Street,Occupied,Jewish Community Council of Coney Island,Senior Center,11224.0,40.573171,-73.990645,13.0,47.0,352.0,3322050.0,3070700001.0,Seagate-Coney Island                                                       
297,Manhattan,Jefferson,2095 Third Avenue ,Occupied,Union Settlement Association,Health Clinic (mental),10029.0,40.796967,-73.940721,11.0,8.0,180.0,1080705.0,1016620001.0,East Harlem North                                                          
298,Manhattan,Wagner,451 East 120th Street,NYCHA HOLD,NYCHA,Vacant,10035.0,40.797802,-73.931619,11.0,8.0,192.0,1081290.0,1018080001.0,East Harlem North                                                          
299,Bronx,Butler,1320 Webster Avenue,Occupied,"William Hodson Senior Center, Inc.",Senior Center,10456.0,40.834189,-73.90854,3.0,16.0,14701.0,2092074.0,2028940001.0,Claremont-Bathgate                                                         
300,Bronx,Mitchel,200 Alexander Avenue,Occupied,East Side House Settlement,Child Care - Early Learn,10454.0,40.808753,-73.926081,1.0,8.0,23.0,2091097.0,2022980040.0,Mott Haven-Port Morris                                                     
301,Brooklyn,Farragut,228 York Street,Occupied,Goodwill Industries of Greater New York,Community Center,11201.0,40.701304,-73.981762,2.0,35.0,23.0,3325909.0,3000710001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
302,Manhattan,Wagner,435 East 120th Street,Occupied,NYCHA,Senior Center,10035.0,40.798041,-73.932186,11.0,8.0,192.0,1081287.0,1018080001.0,East Harlem North                                                          
303,Manhattan,Douglas I,885 Columbus Avenue,Occupied,"Children's Aid Society, Inc.",Community Center,10025.0,40.797762,-73.963944,7.0,7.0,189.0,1081301.0,1018360001.0,Upper West Side                                                            
304,Manhattan,Carver,1565 Madison Avenue,Occupied,Union Settlement Association,Child Care - Early Learn,10029.0,40.793315,-73.94971,11.0,8.0,168.0,1078840.0,1016100023.0,East Harlem South                                                          
305,Queens,Latimer Gardens,34-30 137th Street,Occupied,Child Center of New York,Community Center,11354.0,40.766044,-73.829935,7.0,20.0,88901.0,4443410.0,4049510008.0,Flushing                                                                   
306,Manhattan,Johnson,1833 Lexington Avenue,Occupied,SCAN Supportive Children's Advocacy Network,Community Center,10029.0,40.796894,-73.942874,11.0,8.0,182.0,1082335.0,1016400021.0,East Harlem North                                                          
307,Queens,Hammel,82-10 Rockaway Beach Boulevard,Occupied,"Atled, Inc.",Child Care ,11693.0,40.587883,-73.808542,14.0,31.0,94202.0,4436316.0,4161140002.0,Hammels-Arverne-Edgemere                                                   
308,Brooklyn,Bushwick II,422 Central Avenue,Occupied,Coalition for Hispanic Family Services,Community Center,11221.0,40.693173,-73.916541,4.0,34.0,417.0,3076595.0,3033500028.0,Bushwick South                                                             
309,Brooklyn,Williamsburg,222 Graham Avenue,Occupied,Colony South Brooklyn Houses,Child Care ,11206.0,40.709622,-73.943569,1.0,34.0,493.0,3344971.0,3030260001.0,Bushwick South                                                             
310,Queens,Queensbridge North,10-29 41st Avenue,Occupied,Floating Hospital,Health Clinic,11101.0,40.75545,-73.945248,1.0,26.0,25.0,4595582.0,4004700100.0,Queensbridge-Ravenswood-Long Island City                                   
311,Bronx,Bryant Ave - East 174th St,1705 Bryant Avenue,Vacant ,NYCHA,Vacant,10460.0,40.835634,-73.885627,3.0,17.0,161.0,2092192.0,2029970030.0,Crotona Park East                                                          
312,Manhattan,Wise Towers/WSURA,589 Amsterdam Avenue,Occupied,Goddard Riverside Outreach,Other - Case Management / Homeless Outreach ,10024.0,40.789261,-73.973851,7.0,6.0,173.0,1032284.0,1012190001.0,Upper West Side                                                            
313,Bronx,Mott Haven,375 East 143rd Street,Occupied,East Side House Settlement,Child Care - Early Learn,10454.0,40.812702,-73.921622,1.0,8.0,41.0,2091101.0,2023060009.0,Mott Haven-Port Morris                                                     
314,Brooklyn,Williamsburg,178 Leonard Street,Occupied,Bushwick United Housing Development Fund,Child Care - Early Learn,11206.0,40.710036,-73.946992,1.0,34.0,505.0,3327883.0,3030240001.0,East Williamsburg                                                          
315,Brooklyn,Bayview,5955 Shore Parkway,Occupied,Millennium Development Corp.,Community Center,11236.0,40.631986,-73.884617,18.0,46.0,1034.0,3391490.0,3083290225.0,Canarsie                                                                   
316,Bronx,Patterson,414 Morris Avenue,Occupied,East Side House Settlement,Child Care - Early Learn,10454.0,40.815528,-73.923923,1.0,8.0,51.0,2097853.0,2023240001.0,Mott Haven-Port Morris                                                     
317,Manhattan,Smith,50 Madison Street,Occupied,"Hamilton-Madison House, Inc.",Community Center,10038.0,40.711958,-73.997825,3.0,1.0,25.0,1077420.0,1001110100.0,Chinatown                                                                  
318,Brooklyn,Saratoga Village,940 Hancock Street,Occupied,Coalition for Hispanic Family Services,Community Center,11233.0,40.686249,-73.917678,16.0,41.0,373.0,3039983.0,3014920001.0,Ocean Hill                                                                 
319,Brooklyn,Bayview,5985 Shore Parkway,NYCHA HOLD,NYCHA,Vacant,11236.0,40.632639,-73.883788,18.0,46.0,1034.0,3331443.0,3083290225.0,Canarsie                                                                   
320,Manhattan,Lincoln,2110 Madison Avenue,Occupied,"Harlem Children's Zone, Inc.",Community Center,10037.0,40.810563,-73.937136,11.0,9.0,210.0,1081115.0,1017570001.0,East Harlem North                                                          
321,Brooklyn,Reid Apartments,720 E New York Avenue,Occupied,Fort Greene Senior Citizens Council,Senior Center,11203.0,40.662289,-73.938916,9.0,41.0,87401.0,3106612.0,3047950016.0,Prospect Lefferts Gardens-Wingate                                          
322,Brooklyn,Gowanus,420 Baltic Street,Occupied,Spanish Speaking Elderly Council - RAICES,Senior Center,11217.0,40.683646,-73.988783,6.0,33.0,71.0,3336072.0,3004040001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
323,Manhattan,Two Bridges,286 South Street,Occupied,YMCA of Greater New York ,Community Center,10002.0,40.710478,-73.986571,3.0,1.0,201.0,1003142.0,1002450001.0,Lower East Side                                                            
324,Brooklyn,Roosevelt I,360 Pulaski Street,Occupied,Mary McLeod Bethune Day Care Center,Child Care ,11206.0,40.693836,-73.936392,3.0,36.0,289.0,3324973.0,3015980001.0,Stuyvesant Heights                                                         
325,Manhattan,Grant,1301 Amsterdam Avenue,Occupied,"Charles A. Walburg Multi-Service, Inc.",Senior Center,10027.0,40.811994,-73.957264,9.0,7.0,20901.0,1084095.0,1019640001.0,Morningside Heights                                                        
326,Staten Island,Stapleton,230 Broad St.,Occupied,Jewish Community Center of Staten Island,Community Center,10304.0,40.623756,-74.082216,1.0,49.0,29.0,5154565.0,5005450100.0,Stapleton-Rosebank                                                         
327,Brooklyn,Low Houses,232 Powell Street,Occupied,"Brooklyn Kindergarten Society, Inc.",Child Care - Early Learn,11212.0,40.668946,-73.903789,16.0,41.0,908.0,3084013.0,3037450001.0,Brownsville                                                                
328,Brooklyn,Stuyvesant Gardens I,214 Stuyvesant Avenue,Occupied,"Bedford Stuyvesant Early Childhood Development Ctr., Inc.",Child Care ,11221.0,40.687985,-73.933065,3.0,36.0,293.0,3044631.0,3016350041.0,Stuyvesant Heights                                                         
329,Brooklyn,Unity Plaza (sites 4-27),576 Blake Avenue,Occupied,Research Foundation of CUNY,Community Center,11207.0,40.66739,-73.897782,5.0,42.0,1134.0,3336125.0,3037850015.0,East New York (Pennsylvania Ave)                                           
330,Manhattan,Samuel (City),669 Lenox Avenue,Occupied,"Sheltering Arms Chidren and Family Services, Inc.",Child Care - Early Learn,10030.0,40.81939,-73.937012,10.0,9.0,232.0,1085366.0,1020120025.0,Central Harlem North-Polo Grounds                                          
331,Manhattan,King Towers,50 Lenox Avenue,Occupied,Presbyterian Senior Services,Senior Center,10026.0,40.799593,-73.951421,10.0,9.0,186.0,1083312.0,1015960001.0,Central Harlem South                                                       
332,Manhattan,White,237 East 104th Street,Occupied,Union Settlement Association,Child Care - Early Learn,10029.0,40.789687,-73.944267,11.0,8.0,170.0,1080671.0,1016540011.0,East Harlem South                                                          
333,Queens,Ravenswood,14-01 36 Avenue,Occupied,I Have A Dream Foundation-NY,Other - Education / IHAD Literacy,11106.0,40.760205,-73.937473,1.0,26.0,43.0,4430696.0,4003320002.0,Queensbridge-Ravenswood-Long Island City                                   
334,Bronx,Pelham Parkway,2280 Wallace Avenue,Occupied,"New York State Association for Retarted Children, Inc.",Child Care ,10469.0,40.85929,-73.864629,11.0,13.0,328.0,2093356.0,2043490001.0,Bronxdale                                                                  
335,Manhattan,Elliott,447 West 25th Street,NYCHA HOLD,NYCHA,Vacant,10001.0,40.748579,-74.002277,4.0,3.0,93.0,1083579.0,1007230001.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
336,Manhattan,White,2029 2nd Avenue,Occupied,Union Settlement Association,Senior Center,10029.0,40.789473,-73.943288,11.0,8.0,170.0,1080669.0,1016540011.0,East Harlem South                                                          
337,Bronx,Highbridge Rehab,125 West 166th Street,Reserved - application on file,NYCHA,Religious Services,10452.0,40.835377,-73.927103,4.0,16.0,199.0,2003279.0,2025140077.0,Highbridge                                                                 
338,Brooklyn,Bushwick,50 Humboldt Street,Occupied,"Grand Street Settlement, Inc.",Community Center,11206.0,40.703179,-73.940761,1.0,34.0,489.0,3338434.0,3031290001.0,Bushwick South                                                             
339,Brooklyn,Coney Island I (Sites 4 & 5),2947 West 28th Street,Vacant ,NYCHA,Vacant,11224.0,40.574453,-73.994089,13.0,47.0,342.0,3385303.0,3070530014.0,Seagate-Coney Island                                                       
340,Manhattan,Smith,10 Catherine Slip,Occupied,"Hamilton-Madison House, Inc.",Other - Training Center,10038.0,40.709867,-73.996425,3.0,1.0,25.0,1077411.0,1001110100.0,Chinatown                                                                  
341,Manhattan,Dyckman,175 Nagle Avenue,Occupied,Renaissance Health Care Network ,Health Clinic,10034.0,40.86164,-73.92459,12.0,10.0,299.0,1080027.0,1022160001.0,Marble Hill-Inwood                                                         
342,Brooklyn,Farragut,32 Navy Street,NYCHA HOLD,NYCHA,Vacant,11201.0,40.699325,-73.980493,2.0,35.0,23.0,3325919.0,3000900001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
343,Manhattan,Rangel,159-44 Harlem River Drive,Occupied,"Prince Hall Service Fund, Inc.",Child Care ,10039.0,40.833741,-73.93547,10.0,9.0,24302.0,1084184.0,1021060320.0,Central Harlem North-Polo Grounds                                          
344,Staten Island,New Lane,70 New Lane,Occupied,"Community Agency for Senior Citizens, Inc.",Senior Center,10305.0,40.612811,-74.062256,1.0,49.0,6.0,5042254.0,5028320068.0,Stapleton-Rosebank                                                         
345,Bronx,Baychester,1220 East 229th Street,Occupied,Baychester Youth Council,Community Center,10466.0,40.884011,-73.842204,12.0,12.0,460.0,2093741.0,2049050360.0,Eastchester-Edenwald-Baychester                                            
346,Brooklyn,Brevoort,280 Ralph Avenue,Occupied,CAMBA,Community Center,11233.0,40.679794,-73.922153,3.0,41.0,381.0,3325173.0,3016880001.0,Crown Heights North                                                        
347,Manhattan,Riis,464 East 10th Street,Occupied,"Sheltering Arms Chidren and Family Services, Inc.",Child Care - Early Learn,10009.0,40.724601,-73.97454,3.0,2.0,24.0,1077538.0,1003620010.0,Lower East Side                                                            
348,Bronx,Betances Site IV,490 East 143rd Street,Occupied,"South Bronx Head Start Program, Inc.",Child Care - Early Learn,10454.0,40.811121,-73.917603,1.0,8.0,41.0,2000433.0,2022870135.0,Mott Haven-Port Morris                                                     
349,Brooklyn,Albany,164 Troy Avenue,Occupied,SCO Family of Services,Community Center,11213.0,40.673838,-73.936245,8.0,36.0,343.0,3324617.0,3013520080.0,Crown Heights North                                                        
350,Manhattan,Manhattanville,530 West 133rd Street,Occupied,NYCHA,Senior Center,10027.0,40.818127,-73.954478,9.0,7.0,219.0,1084130.0,1019840001.0,Manhattanville                                                             
351,Brooklyn,Armstrong,264 Lexington Avenue,Reserved - application on file,NYCHA,Child Care ,11216.0,40.687608,-73.951459,3.0,36.0,243.0,3050588.0,3018020051.0,Bedford                                                                    
352,Manhattan,Wald,34 Avenue D,Occupied,"Educational Alliance, Inc.",Child Care - Early Learn,10009.0,40.721351,-73.977723,3.0,2.0,20.0,1078048.0,1003560001.0,Lower East Side                                                            
353,Brooklyn,Pink,2702 Linden Boulevard,Occupied,Italian American Civil Rights League,Community Center,11208.0,40.669208,-73.864514,5.0,42.0,1214.0,3326995.0,3044880001.0,East New York                                                              
354,Bronx,Mitchel,210 Alexander Avenue,Occupied,East Side House Settlement,Community Center,10454.0,40.809172,-73.925777,1.0,8.0,23.0,2091097.0,2022980040.0,Mott Haven-Port Morris                                                     
355,Bronx,Bronx River,1619 East 174th Street,Occupied,"Children's Arts and Science Workshop, Inc.",Community Center,10472.0,40.83395,-73.876147,9.0,18.0,62.0,2092909.0,2038860002.0,West Farms-Bronx River                                                     
356,Brooklyn,Brevoort,250 Ralph Avenue,Occupied,"Brooklyn Kindergarten Society, Inc.",Child Care - Early Learn,11233.0,40.68104,-73.9224,3.0,41.0,381.0,3325169.0,3016880001.0,Crown Heights North                                                        
357,Staten Island,West Brighton,1085 Castleton Avenue,Occupied,NYCHA,Storage,10310.0,40.634376,-74.119353,1.0,49.0,13301.0,5095825.0,5001960001.0,West New Brighton-New Brighton-St. George                                  
358,Brooklyn,Red Hook East,120 West 9th Street,Reserved - temporarily relocated,Spanish Speaking Elderly Council - RAICES,Senior Center,11231.0,40.675925,-74.001961,6.0,38.0,85.0,3339412.0,3005380001.0,Carroll Gardens-Columbia Street-Red Hook                                   
359,Brooklyn,Howard Ave /Park Place,1767B Sterling Place,NYCHA HOLD,NYCHA,Vacant,11233.0,40.670896,-73.920148,16.0,41.0,363.0,3039386.0,3014660047.0,Ocean Hill                                                                 
360,Brooklyn,Sheepshead Bay,3677 Nostrand Ave,Occupied,"Catholic Charities Neighborhood Services, Inc.",NORC,11229.0,40.594203,-73.940674,15.0,46.0,572.0,3344548.0,3074051001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
361,Queens,Shelton,89-09 162nd Street,Occupied,Jamaica Service Program for Older Adults (JSPOA),Senior Center,11432.0,40.706571,-73.799061,12.0,24.0,44601.0,4208882.0,4097610036.0,Jamaica                                                                    
362,Manhattan,Polo Grounds Towers,2965 Eighth Avenue,Occupied,Research Foundation of the State University of New York,Other - ATTAIN LAB,10039.0,40.830242,-73.9365,10.0,9.0,24302.0,1084520.0,1021060003.0,Central Harlem North-Polo Grounds                                          
363,Manhattan,Saint Nicholas,2374 Eighth Avenue,Reserved - temporarily relocated,"Harlem Children's Zone, Inc.",Community Center,10027.0,40.811749,-73.950003,10.0,9.0,224.0,1081504.0,1019330001.0,Central Harlem North-Polo Grounds                                          
364,Bronx,Bronx River,1555 East 174th Street,Occupied,"Tremont Crotona Day Care Ctr., Inc.",Child Care - Early Learn,10472.0,40.834294,-73.87885,9.0,18.0,62.0,2092903.0,2038860002.0,West Farms-Bronx River                                                     
365,Bronx,Morissania Air Rights,3071 Park Avenue,Occupied,NYCHA,Storage,10451.0,40.8227,-73.919417,4.0,16.0,173.0,2102829.0,2024209020.0,East Concourse-Concourse Village                                           
366,Bronx,Morissania Air Rights,3135 Park Avenue ,Occupied,Presbyterian Senior Services,Senior Center,10451.0,40.82415,-73.917164,4.0,16.0,173.0,2100990.0,2024209078.0,East Concourse-Concourse Village                                           
367,Brooklyn,Sheepshead Bay,2953 Avenue X,Occupied,Beachbrook Nursery School,Child Care ,11235.0,40.593955,-73.939418,15.0,46.0,572.0,3344550.0,3074051001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
368,Brooklyn,Atlantic Terminal Site 4B,501 Carlton Avenue,Occupied,"University Settlement Society of New York, Inc.",Community Center,11238.0,40.682761,-73.97077,2.0,35.0,179.0,3057520.0,3020070001.0,Fort Greene                                                                
369,Brooklyn,Vernon Avenue,1060 Myrtle Avenue,Occupied,Research Foundation of the State University of New York,Other - ATTAIN LAB,11206.0,40.696506,-73.939325,3.0,36.0,283.0,3042881.0,3015850001.0,Stuyvesant Heights                                                         
370,Manhattan,Baruch Addition,72 Columbia Street,Occupied,"Grand Street Settlement, Inc.",NORC,10002.0,40.717007,-73.980268,3.0,2.0,1002.0,1078043.0,1003230001.0,Lower East Side                                                            
371,Queens,South Jamaica,159-07 108th Avenue,Vacant ,NYCHA,Vacant,11433.0,40.695221,-73.794562,12.0,28.0,254.0,4440739.0,4101250033.0,South Jamaica                                                              
372,Bronx,Highbridge Gardens,1155 University Avenue,Occupied,Catholic Charities Community Services Archdiocese of NY,Community Center,10452.0,40.837137,-73.928221,4.0,16.0,193.0,2095219.0,2025270032.0,Highbridge                                                                 
373,Brooklyn,Borinquen Plaza I,80 Seigel Street,Occupied,"Ridgewood-Bushwick Sr Citizens Council, Inc.",Senior Center,11206.0,40.704366,-73.943775,1.0,34.0,491.0,3071447.0,3030960030.0,East Williamsburg                                                          
374,Bronx,Butler,1450 Webster Avenue,Occupied,Claremont Neighborhood Center,Child Care ,10456.0,40.837646,-73.906504,3.0,16.0,14702.0,2092076.0,2028950001.0,Claremont-Bathgate                                                         
375,Brooklyn,Williamsburg,195 Graham Avenue,Occupied,St. Nicks Alliance,Community Center,11206.0,40.708876,-73.943465,1.0,34.0,505.0,3070826.0,3030250070.0,East Williamsburg                                                          
376,Brooklyn,Farragut,228 York Street,Occupied,Research Foundation of the State University of New York,Other - ATTAIN LAB,11201.0,40.701304,-73.981762,2.0,35.0,23.0,3325909.0,3000710001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
377,Staten Island,West Brighton,230 Broadway,Occupied,United Activities Unlimited Inc,Community Center,10310.0,40.636486,-74.117523,1.0,49.0,13301.0,5095818.0,5001960001.0,West New Brighton-New Brighton-St. George                                  
378,Bronx,Bronx River,1625 East 174th Street,Occupied,NYCHA,Plasterer's Shop,10472.0,40.834024,-73.875601,9.0,18.0,62.0,2092902.0,2038860002.0,West Farms-Bronx River                                                     
379,Manhattan,Wald,18 Avenue D,Occupied,"Educational Alliance, Inc.",Child Care ,10009.0,40.720676,-73.978217,3.0,2.0,20.0,1078047.0,1003560001.0,Lower East Side                                                            
380,Brooklyn,Williams Plaza,333 Roebling Street,Occupied,Cumberland Hospital,Health Clinic,11211.0,40.707837,-73.961071,1.0,33.0,525.0,3341975.0,3021400026.0,North Side-South Side                                                      
381,Bronx,Adams,690 Westchester Avenue,Occupied,"Philip Michaels Child Care Center, Inc.",Child Care ,10456.0,40.816584,-73.907585,1.0,17.0,79.0,2091976.0,2026540002.0,Melrose South-Mott Haven North                                             
382,Manhattan,Drew Hamilton,2690 8th Avenue,Occupied,Nurse Family Partnership / Harlem Hospital Center,Health Clinic,10030.0,40.821558,-73.942838,10.0,9.0,232.0,1060431.0,1020290001.0,Central Harlem North-Polo Grounds                                          
383,Manhattan,Amsterdam Addition,250 West 65th Street,Occupied,"Lincoln Square Neighborhood Center, Inc.",NORC,10023.0,40.77501,-73.98689,7.0,6.0,151.0,1030340.0,1011560020.0,Lincoln Square                                                             
384,Bronx,Soundview,1680 Seward Avenue,Occupied,Phipps Community Development,Community Center,10473.0,40.818369,-73.86895,9.0,18.0,20.0,2092647.0,2035510001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
385,Bronx,Middletown Plaza,3035 Middletown Road,Occupied,"Regional Aid For Interim Needs, Inc.",Senior Center,10461.0,40.844355,-73.828806,10.0,13.0,26602.0,2046141.0,2041710024.0,Pelham Bay-Country Club-City Island                                        
386,Manhattan,Metro North Plaza,345 East 101st Street,Occupied,Addie Mae Collins Comm. Serv.,Child Care - Early Learn,10029.0,40.787019,-73.943742,11.0,8.0,164.0,1079340.0,1016730006.0,East Harlem South                                                          
387,Manhattan,Audobon,1909 Amsterdam Avenue,Reserved - application on file,NYCHA,Community/Senior,10032.0,40.831308,-73.943159,9.0,7.0,23501.0,1061681.0,1020680046.0,Hamilton Heights                                                           
388,Bronx,Millbrook,201 St. Anns Avenue,Occupied,East Side House Settlement,Community Center,10454.0,40.805742,-73.918238,1.0,8.0,25.0,2090986.0,2022630019.0,Mott Haven-Port Morris                                                     
389,Manhattan,Saint Nicholas,210 West 131st Street,Occupied,Central Harlem Senior Center,Senior Center,10027.0,40.812977,-73.94614,10.0,9.0,224.0,1081515.0,1019330050.0,Central Harlem North-Polo Grounds                                          
390,Manhattan,Jefferson,2205 First Avenue,Occupied,Union Settlement Association,Senior Center,10029.0,40.794319,-73.93665,11.0,8.0,180.0,1081091.0,1016840001.0,East Harlem North                                                          
391,Bronx,Twin Parks East,2070 Clinton Avenue,Occupied,Neighborhood SHOPP,Senior Center,10457.0,40.847236,-73.888101,6.0,15.0,371.0,2012652.0,2030940014.0,East Tremont                                                               
392,Manhattan,Fulton,418 West 17th Street,Occupied,Hudson Guild,Other - Computer Lab,10011.0,40.743185,-74.004756,4.0,3.0,83.0,1078411.0,1007140031.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
