,organizationname,brooklyn,bronx,manhattan,queens,staten_island,fax,phone,aging,anti_discrimination_human_rights,arts_culture,business,child_care_parent_information,community_service_volunteerism,counseling_support_groups,disabilities,domestic_violence,education,employment_job_training,health,homelessness,housing,immigration,legal_services,lesbian_gay_bisexual_and_or_transgender,personal_finance_financial_education,professional_association,veterans_military_families,victim_services,youth_services,faith_based_organization,foundation,is_registered_with_the_attorney_general_s_office,new_york_city_agency,none_of_the_above,nonprofit,other_government_organization,published,address1,city,url,nourl,description,outsideloc,location_1,borough,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,address2,postcode,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,outsidelocdesc
516,Breast Examination Center of Harlem,N,N,Y,N,N,2128641469.0,2125318030.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,1275 York Ave,New York,http://www.mskcc.org/mskcc/html/8506.cfm,N,"Since its founding in 1979, the Breast Examination Center of Harlem (BECH) -- an outreach program of Memorial Sloan-Kettering Cancer Center -- has screened more than 118,000 women for breast cancer. BECH has an established reputation in the Harlem community for free, high-quality care offered by its professional staff.",N,"{'latitude': '40.764199', 'longitude': '-73.955695'}",MANHATTAN,40.764199,-73.955695,8.0,5.0,116.0,1087284.0,1014620005.0,Lenox Hill-Roosevelt Island                                                ,,10021.0,10090.0,23.0,4.0,1.0,11.0,
517,GS: Dreamyard Drama Project,N,Y,N,N,N,,7185888007.0,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"872 Gerard Avenue, # 2",Bronx,,N,,,"{'latitude': '40.827784', 'longitude': '-73.924766'}",BRONX    ,40.827784,-73.924766,4.0,8.0,195.0,2097166.0,2024760056.0,West Concourse                                                             ,,10452.0,10930.0,50.0,5.0,35.0,27.0,
518,Citizens Advice Bureau,N,Y,N,N,N,7183650697.0,7183650910.0,Y,N,N,N,Y,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,2054 Morris Avenue,Bronx,http://www.cabny.org,N,"The Citizens Advice Bureau (CAB) is a Bronx-based settlement house. Our mission is to improve the economic and social well-being of low-income individuals, families, and communities. To do this we provide direct, hands-on help, community outreach, education, and advocacy, often in collaboration with other organizations.  The broad range of services we offer addresses the needs of all age groups from infants to senior citizens, as well as selected special need populations. These include immigrants, homeless individuals and families, people with and families impacted by HIV/AIDS, and adults making the transition from welfare to work.",N,"{'latitude': '40.853493', 'longitude': '-73.905278'}",BRONX    ,40.853493,-73.905278,5.0,14.0,241.0,2092406.0,2031690001.0,Mount Hope                                                                 ,,10453.0,10931.0,6.0,5.0,29.0,29.0,
519,"Church Women United, Inc.",Y,Y,Y,Y,Y,2128702338.0,2128702347.0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,475 Riverside Drive,New York,http://www.churchwomen.org,N,"Church Women United is a racially, culturally, theologically inclusive ecumenical Christian women's movement, celebrating unity in diversity and working for a world of peace and justice.",Y,"{'latitude': '40.811101', 'longitude': '-73.964168'}",MANHATTAN,40.811101,-73.964168,9.0,7.0,205.0,1059835.0,1019910001.0,Morningside Heights                                                        ,Suite 1626A,10115.0,10097.0,37.0,4.0,23.0,17.0,National Organization
520,Sista II Sista,Y,N,N,N,N,7183667416.0,7183662450.0,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,89 St. Nicholas Avenue,Brooklyn,http://www.sistaiisista.org,N,,,"{'latitude': '40.706111', 'longitude': '-73.919226'}",BROOKLYN ,40.706111,-73.919226,4.0,34.0,445.0,3073312.0,3032230003.0,Bushwick North                                                             ,,11237.0,13828.0,42.0,2.0,30.0,53.0,
521,Quality Services for the Autism Community,N,N,N,Y,N,7182047570.0,7187288476.0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,30-10 38 Street,Astoria,http://qsac.com,N,Programs and services include: After-School program: Day Habilitation; Day School; early intervention; family reimbursement; parnet support groups; parent training; preschool; etc.,N,"{'latitude': '40.763702', 'longitude': '-73.916265'}",QUEENS   ,40.763702,-73.916265,1.0,22.0,63.0,4010591.0,4006590047.0,Astoria                                                                    ,,11103.0,16860.0,39.0,3.0,4.0,72.0,
522,"St. Mary's Community Services, Inc.",Y,N,N,N,N,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,230 Classon Avenue,Brooklyn,,N,,,"{'latitude': '40.692769', 'longitude': '-73.960824'}",BROOKLYN ,40.692769,-73.960824,2.0,35.0,193.0,3054909.0,3019090053.0,Clinton Hill                                                               ,,11205.0,17212.0,68.0,2.0,48.0,55.0,
523,Bellevue Hospital Rape Crisis,N,N,Y,N,N,,,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,127th First Ave,NEW YORK,http://www.nycagainstrape.org/resource_4.html,N,"24-hour 7 day a week rape crisis counselors in the Emergency Department.  Medical/forensic examination.  Psychiatirc evlauations, if needed. Criniminal justice advocacy, counseling.",N,,,,,,,,,,,,10016.0,,,,,,
524,El Puente De Williamsburg,Y,N,N,N,N,,7183870404.0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,211 South 4th Street,Brooklyn,,,,,"{'latitude': '40.710686', 'longitude': '-73.959655'}",BROOKLYN ,40.710686,-73.959655,1.0,34.0,523.0,3063295.0,3024330001.0,North Side-South Side                                                      ,,11211.0,17613.0,36.0,2.0,30.0,56.0,
525,Edith and Carl Marks Jewish Community House of Bensonhurst,Y,N,N,N,N,7182328461.0,7183316800.0,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,Published,7802 Bay Parkway,Brooklyn,http://www.jchb.org,N,"Jewish Community Center welcoming all community residents, providing many programs and services. Programs include: preschool, afterschool, teens, summer camp, Sunday Children's Programs, pool, fitness, membership, Bensonhurst Senior Center hot lunch program, Senior Activities, JCH Good Neighbors Neighborhood Naturally Occurring Retirement Community - Social and Health services for seniors, Psychological Support and Mental Health Prevention and Domestic Violence Prevention Services, Bensonhurst Housing for the Elderly, Single Stop Social Service Center - public benefits, legal consultation, financial literacy workshops, information and referrals, Immigrant Services - English classes, job placement and vocational training, medical insurance assistance (MCCAP), Bensonhurst Business Club, docucment translation, Holocaust Survivors services, more.",N,"{'latitude': '40.606369', 'longitude': '-73.989235'}",BROOKLYN ,40.606369,-73.989235,11.0,44.0,270.0,3162352.0,3062640030.0,Bensonhurst West                                                           ,,11214.0,17616.0,1.0,2.0,18.0,37.0,
526,Bramson ORT Technical Institute,Y,N,N,Y,N,7185755119.0,7182615800.0,N,N,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,Y,N,Published,87-21 69th Avenue,Forest Hills,http://www.bramsonort.edu,N,"Two year technical college that offers Associate degrees in: Accounting,Medical Assistant;Business & Hotel Management;Computer Networking, Computer Programming,Computer Information Systems,Electronics Technology,Grapic Design,Web Design & Web Animation, HVAC& CADD, Distance Learning is available,job placement assitance and Financial Aid for all qualified students.",N,"{'latitude': '40.710257', 'longitude': '-73.855817'}",QUEENS   ,40.710257,-73.855817,6.0,29.0,645.0,4095059.0,4038860859.0,Forest Hills                                                               ,,11375.0,14786.0,40.0,3.0,28.0,70.0,
527,Asian American Legal Defense and Education Fund,N,N,Y,N,N,,2129665932.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"99 Hudson Street, 12th Fl",New York,http://www.aaldef.org,N,"AALDEF focuses on critical issues affecting Asian Americans, including immigrant rights, civic participation and voting rights, economic justice for workers, language access to services, Census policy, affirmative action, youth rights and educational equity, and the elimination of anti-Asian violence, police misconduct, and human trafficking.",N,"{'latitude': '40.719133', 'longitude': '-74.008741'}",MANHATTAN,40.719133,-74.008741,1.0,1.0,39.0,1075728.0,1001817504.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,,10013.0,12076.0,56.0,4.0,32.0,1.0,
528,New York Public Library: Andrew Heiskell Library for the Blind and Physically Handicapped,N,N,Y,N,N,,2122065400.0,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,40 West 20th St.,New York,http://talkingbooks.nypl.org/,N,"The library has two public floors, with a children's room and a young adult section, large circulating collections of talking book and braille materials that mirror collections in traditional neighborhood public libraries, specialized audio playback equipment for listening to recorded books and magazines, and adaptive technology. Fiction and nonfiction selections range from classics to bestsellers in many subject areas. There is also a meeting room for concerts, lectures, and other special events. Public programs are barrier-free and are open to the general public, free of charge.",,"{'latitude': '40.740246', 'longitude': '-73.992324'}",MANHATTAN,40.740246,-73.992324,5.0,3.0,54.0,1076145.0,1008217501.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,,10011.0,12074.0,11.0,4.0,10.0,7.0,
529,South Asian Youth Action,N,N,N,Y,N,7186513480.0,7186513484.0,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,54-05 Seabury Street,Elmhurst,http://saya.org,N,"Founded in 1996, South Asian Youth Action (SAYA!) is the first and only organization of its kind in the United States working to develop the skills, talents, and leadership potential of South Asian youth living in New York City. Through a range of supports and services, SAYA! provides South Asian youth, ages 11 to 19, with safe spaces to learn, grow, play, and contribute to their communities-and each other. 

Each year, more than 400 young people-with roots in Afghanistan, Bangladesh, Guyana, India, Nepal, Pakistan, Sri Lanka, and Trinidad-take part in SAYA!'s center- and school-based programs. Among the services provided by SAYA! are academic and career preparation, recreational and artistic opportunities, individual and group counseling, and leadership and organizing activities. Through its programs and advocacy efforts, SAYA! works to create broad social and systemic changes that positively impact immigrant youth.",N,"{'latitude': '40.735303', 'longitude': '-73.877474'}",QUEENS   ,40.735303,-73.877474,4.0,25.0,475.0,4064688.0,4028520006.0,Elmhurst                                                                   ,,11373.0,14784.0,66.0,3.0,5.0,68.0,
530,Family Focus Adoption Services,N,N,N,Y,N,,7182241919.0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"54-40 Little Neck Parkway, Suite 4",Little Neck,http://familyfocusadoption.org/,N,"FAMILY FOCUS is a not-for-profit, fully accredited multi-service adoption agency. Our administrative offices are located in Eastern Queens, New York, with satellite offices in Albany and Newburgh. While we place children from anywhere in the United States, we only license families from the twenty-one counties from the Capital District through Metropolitan New York City and Long Island. Our agency is also approved in New Jersey and Connecticut.",Y,"{'latitude': '40.766084', 'longitude': '-73.725132'}",QUEENS   ,40.766084,-73.725132,11.0,19.0,150702.0,4171524.0,4082560108.0,Douglas Manor-Douglaston-Little Neck                                       ,,11362.0,14197.0,26.0,3.0,20.0,69.0,"NJ, CT, DC"
531,Greater Astoria Historical Society,N,N,N,Y,N,,7182780700.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"35-20 Broadway, 4th Floor
Quinn Building, 35-20 Broadway, 4th Floor",Long Island City,http://www.astorialic.org,,,,,,,,,,,,,,,,,,,,,
532,Jamaica Service Program for Older Adults (JSPOA),N,N,N,Y,N,7186576620.0,7186576500.0,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,162-04 Jamaica Ave,Jamaica,http://www.jspoa.org,N,"Senior Centers, In-Home Services, Senior Employment Program,Elderly Crime Victims Assistance, Adult Day Care, Advocacy, Health Monitoring, Arts Center",N,"{'latitude': '40.704268', 'longitude': '-73.797827'}",QUEENS   ,40.704268,-73.797827,12.0,27.0,44601.0,4215622.0,4101020002.0,Jamaica                                                                    ,,11432.0,24340.0,41.0,3.0,6.0,61.0,
533,Asian American Writers' Workshop,N,N,Y,N,N,2124940062.0,2124940061.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,16 W 32nd St Ste. 10A,New York,http://www.aaww.org/,N,"Operating out of our 6,000 square-foot loft, we sponsor readings, book parties and panel discussions, and offer creative writing workshops. Each winter we present The Annual Asian American Literary Awards Ceremony to recognize outstanding literary works.",N,"{'latitude': '40.747541', 'longitude': '-73.986426'}",MANHATTAN,40.747541,-73.986426,5.0,4.0,76.0,1015827.0,1008330054.0,Midtown-Midtown South                                                      ,,10001.0,11722.0,11.0,4.0,51.0,8.0,
534,"Adolescent and Family Comprehensive Services, Inc.",N,Y,N,N,N,,7182992327.0,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,46-67 W Tremont Avenue,Bronx,,N,"Adolescent & Family Comprehensive Services, Inc. (AFCS), is an organization committed to building a brighter future for some of the most vulnerable people in our community - our adolescent.

There are countless adolescents throughout our community who find themselves in the precarious position of being pregnant without any resources or support. These individuals are often forced to discontinue their education to work and support their children. AFCS also provides individual and group counseling for at risk young men and young women. 

With your help, AFCS is determined to provide these young people with a future by working with them to reduce pregnancy, sexually transmitted diseases, and decrease dropout rates. This goal is achieved by providing counseling and education, by teaching these youths to make positive choices to achieve success.",N,"{'latitude': '40.851686', 'longitude': '-73.911487'}",BRONX    ,40.851686,-73.911487,5.0,14.0,217.0,2098721.0,2028620014.0,University Heights-Morris Heights                                          ,,10453.0,10931.0,6.0,5.0,29.0,29.0,
535,Bronx Arts Ensemble,N,Y,N,N,N,,7186017399.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"80 Van Cortlandt Park S, Ste. 7D-1",Bronx,http://www.bronxartsensemble.org/,N,"A not-for-profit music organization serving and enriching the cultural environment of the diverse communities throughout the Bronx, providing music education and performances of the highest professional standard.

The BAE serves its diverse community with a repertoire of many cultures, educational services for children and adults and traditional chamber and orchestra concerts. Featuring guest artists and conductors of varied backgrounds, these concerts frequently include new works or commissions, or rarely-performed music of all periods. Programs are often presented free of charge or at low admission so that our cultural outreach is accessible to all.",N,"{'latitude': '40.884706', 'longitude': '-73.889991'}",BRONX    ,40.884706,-73.889991,8.0,11.0,281.0,2015473.0,2032520209.0,Van Cortlandt Village                                                      ,,10463.0,11272.0,48.0,5.0,40.0,33.0,
536,"Fort Greene Senior Citizen Council, Inc.",Y,N,N,N,N,,7186386910.0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,966 Fulton Street,Brooklyn,,,,,"{'latitude': '40.682487', 'longitude': '-73.962178'}",BROOKLYN ,40.682487,-73.962178,2.0,35.0,201.0,3057638.0,3020140026.0,Clinton Hill                                                               ,,11238.0,13829.0,68.0,2.0,48.0,55.0,
537,"Rockaway Artist Alliance, Inc.",N,N,N,Y,N,,7184740861.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,260 Beach 116th Street,Rockaway Park,,N,,N,"{'latitude': '40.580701', 'longitude': '-73.837704'}",QUEENS   ,40.580701,-73.837704,14.0,32.0,938.0,4303771.0,4161660483.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,,11694.0,20532.0,51.0,3.0,41.0,58.0,
538,Museum of Modern Art,N,N,Y,N,N,,2124086347.0,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,11 West 53 Street,New York,http://moma.org/education/moma_access.html,N,Access Programs,,"{'latitude': '40.761002', 'longitude': '-73.977201'}",MANHATTAN,40.761002,-73.977201,5.0,4.0,104.0,1081128.0,1012690020.0,Midtown-Midtown South                                                      ,,10019.0,12081.0,11.0,4.0,51.0,10.0,
539,Turning Point,N,N,N,Y,N,7188839449.0,7188839400.0,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,,flushing,http://www.turningpoint-ny.org/,N,,,,,,,,,,,,,,,,,,,,
540,Center for Women in Government and Civil Society,Y,Y,Y,Y,Y,5184423877.0,5184423900.0,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"University at Albany,SUNY, Draper Hall 302",Albany,http://www.cwig.albany.edu/,N,"The Center for Women in Government and Civil Society is part of the Rockefeller College of Public Affairs and Policy, University at Albany, State University of New York. Through research, teaching, leadership development, networking, and public education, the Center works to strengthen women's public policy leadership, broaden access of women and youth to policy knowledge, skills, and influence, advance equity for women in the workplace, promote collaboration across sectors to enhance nonprofit management and leadership, and inform policy makers and policy activists on issues related to women, children, and families.",Y,,,,,,,,,,,135 Western Ave.,12222.0,,,,,,Albany
541,"First Saturday in October, Inc.",N,Y,N,N,N,7185905814.0,7185907789.0,Y,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,"198 East 161st St, Ste. 201",Bronx,,,,,,,,,,,,,,,,,,,,,,
542,"Concord Family Services, Inc.",Y,N,N,N,N,,7183983499.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,1221 Bedford Avenue,Brooklyn,,N,"Concord Family Services is a culturally sensitive community based agency providing a wide range of family services and youth/community development programs to the Bedford Stuyvesant Community of Central Brooklyn. Concord emanated out of the Concord Baptist church of Christ, Inc., founded in 1847 and is one of the oldest and largest African-American churches in the country. The agency was incorporated on January 1st, 1990 in response to a community need for comprehensive social, case management and support services directed to foster care children and their families. Its original mission was to rebuild the Bedford Stuyvesant Community through provision of family, foster care and adoption services that would strength the community and family unit fostering self-sufficiency and preventing re-entry of children into the foster care system.",N,"{'latitude': '40.681559', 'longitude': '-73.95354'}",BROOKLYN ,40.681559,-73.95354,3.0,36.0,245.0,3052565.0,3018370002.0,Bedford                                                                    ,,11216.0,17618.0,69.0,2.0,49.0,51.0,
543,Latin American Cultural Center of Queens,N,N,N,Y,N,7182614308.0,7182617664.0,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,"120-55 Queens Blvd., Room 323",Kew Gardens,,Y,"Promotes Hispanic culture, works to meet the cultural needs of the Latino community in Queens and foster cross-cultural connections with other ethnic communities.  Programs include:  CITY BRIDGES (an after-school program for children of different ethnic groups designed to promote mutual understanding), FOUNDATION FOR YOUTH (a program for teenagers that inroduces them to adult Latino role models in different professions), CAREERS IN VISUAL ARTS (helps young people prepare for education and work in the field of visual arts), CULTURAL PROGRAMS (offers bilingual concerts, foldk dance performances, etc.), ESL PROGRAMS.",N,"{'latitude': '40.713329', 'longitude': '-73.828601'}",QUEENS   ,40.713329,-73.828601,9.0,29.0,216.0,4052812.0,4022740002.0,Kew Gardens                                                                ,,11424.0,24011.0,46.0,3.0,28.0,60.0,
544,American Cancer Society Bronx Region,N,Y,N,N,N,7185475947.0,7185475064.0,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"2330 Eastchester Rd., 3rd Fl.",Bronx,http://cancer.org,N,"American Cancer Society is a the nationwide community-based voluntary health organization dedicated to eliminating cancer as a major health problem by preventing cancer, saving lives and diminishing suffering from cancer through research, education, advocacy and service.",Y,"{'latitude': '40.86001', 'longitude': '-73.843064'}",BRONX    ,40.86001,-73.843064,11.0,13.0,312.0,2050824.0,2043930009.0,Allerton-Pelham Gardens                                                    ,,10469.0,11607.0,59.0,5.0,12.0,32.0,"Albany,  Nassau, Syossett, Haupauge"
545,FACES NY,N,N,Y,N,N,,2122839180.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"317 Lenox, 10th Floor",New York,http://facesny.org,N,,N,,,,,,,,,,,,10027.0,,,,,,
546,"MA'YAN: Jewish Women's Project, a program of the JCC of Manhattan",N,N,Y,N,N,,6465054440.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"334 Amsterdam Avenue, 8th Floor",New York,http://www.mayan.org,N,,,"{'latitude': '40.781014', 'longitude': '-73.979891'}",MANHATTAN,40.781014,-73.979891,7.0,6.0,163.0,1085971.0,1011670033.0,Upper West Side                                                            ,,10023.0,12420.0,20.0,4.0,19.0,12.0,
547,Children's Scholarship Fund,N,N,Y,N,N,,2125157100.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"8 W. 38th Street, 9th floor",New York,http://www.scholarshipfund.org,,,,,,,,,,,,,,,,,,,,,
548,Grand Street Settlement,Y,N,Y,N,N,,2126741740.0,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,80 Pitt Street,New York,http://www.grandstreet.org/,N,"Grand Street Settlement expands opportunities for low-income families and individuals by providing culturally relevant services that support community-building, advocacy, self-determination and an enriched quality of life. 

Since its founding in 1916, Grand Street Settlement has offered a continuum of innovative programs ranging from early childhood and youth development to community support for adults and seniors.",N,"{'latitude': '40.718328', 'longitude': '-73.98245'}",MANHATTAN,40.718328,-73.98245,3.0,2.0,2201.0,1084357.0,1003380001.0,Lower East Side                                                            ,,10002.0,11723.0,70.0,4.0,50.0,4.0,
549,The New York Center for Children,Y,Y,Y,Y,Y,2125176738.0,2125173012.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,333 East 70th Street,New York,http://www.newyorkcenterforchildren.org,N,"The New York Center for Children is a child-friendly free clinic offering medical and psychological assessment and treatment to victims of child abuse.  By cooperating with social services and law renforcement, The New York Center for children helps investigations and prosecutions proceed more efficiently with less trauma to children.  The New York Center for Children also trains professionals who work with children to recognize and respond to the signs and symptoms of abuse and teaches children, parents and the public how to prevent abuse.",N,"{'latitude': '40.76687', 'longitude': '-73.95782'}",MANHATTAN,40.76687,-73.95782,8.0,5.0,126.0,1044839.0,1014450020.0,Lenox Hill-Roosevelt Island                                                ,,10021.0,12083.0,23.0,4.0,1.0,11.0,
550,Chinese-American Arts Council,N,N,Y,N,N,,2123340084.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"456  Broadway, 3rd Floor",New York,http://www.caacarts.org/,N,"The Chinese-American Arts Council was established in 1975 to meet the cultural needs of an expanding immigrant population. Since then, CAAC has become by far the largest presenting and producing organization of performing arts and visual arts in the Chinese community. In 1989, we opened our Gallery 456, the first and only non-profit Asian American gallery in the Soho district, a 700 square foot, column-free well lit space open daily to the public. Our programs have developed for the purpose of Preserving the traditional art forms and cultural heritage of Chinese Americans. Maintaining the cultural identity of thousands of new immigrants. Deepening childrenâs cultural identity through arts. Providing Asian American artists, both visual and performing, opportunities to express their talents and creativity. Providing opportunities for the general public to enjoy Asian cultural events, free or at minimal cost. Ensuring the continued vigorous development of both the traditional and contemporary Chinese art forms.",,"{'latitude': '40.720602', 'longitude': '-74.000848'}",MANHATTAN,40.720602,-74.000848,2.0,1.0,45.0,1003033.0,1002320011.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,,10013.0,12076.0,57.0,4.0,32.0,2.0,
551,Central Astoria Local Development Coalition,N,N,N,Y,N,,7187287820.0,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"28-27 Steinway Street, 2nd Fl.",Astoria,http://www.centralastoria.org,N,"The mission of the Central Astoria Local Development Coalition (CALDC) is to combat neighborhood deterioration in Astoria by assisting and advocating for Astoria business organizations, Astoria tenants, and owners of residential buildings in Astoria.",N,,,,,,,,,,,,,,,,,,
552,The Salvation Army,Y,Y,Y,Y,Y,,2123377200.0,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,120 West 14th Street,New York,http://www.use.salvationarmy.org/gnyd,N,"The Salvation Army is an international, faith-based charitable organization with a simple mission: to help those in need without discrimination.",Y,"{'latitude': '40.737704', 'longitude': '-73.997676'}",MANHATTAN,40.737704,-73.997676,2.0,3.0,71.0,1010639.0,1006090023.0,West Village                                                               ,,10011.0,12074.0,57.0,4.0,10.0,3.0,"Beacon, East Northport, Freeport, Hempstead, Kingston, Middletown, Newburgh, New Rochelle, Peekskill,   Port Chester,  Port Jervis,  Poughkeepsie, Riverhead, Spring Valley, Suffern, Tarrytown, Westbury, White Plains, Yonkers"
553,Day Care Council of New York Inc.,Y,Y,Y,Y,Y,2122067836.0,2122067818.0,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,12 West 21st Street,New York,http://www.dccnhinc.org,N,"The Day Care Council of New York, Inc. is a non-profit organization providing child care information, referrals and assistance to families, child care providers, and community partners.",N,"{'latitude': '40.740558', 'longitude': '-73.991238'}",MANHATTAN,40.740558,-73.991238,5.0,3.0,54.0,1015502.0,1008220049.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,3rd Floor,10010.0,12073.0,11.0,4.0,10.0,7.0,
554,American Lung Association of City of New York,N,N,Y,N,N,2128893375.0,2128893370.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"116 John Street, 30th Floor",New York,http://www.alany.org,N,American Lung Association in New York is the leading organization working to save lives by improving lung health and preventing lung disease.,N,"{'latitude': '40.707605', 'longitude': '-74.00572'}",MANHATTAN,40.707605,-74.00572,1.0,1.0,1502.0,1001126.0,1000690032.0,Battery Park City-Lower Manhattan                                          ,,10038.0,13096.0,56.0,4.0,32.0,1.0,
555,Kurdish Library,Y,Y,Y,Y,Y,7183984365.0,7187837930.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,345 Park Place,Brooklyn,http://www.kurdishlibrarymuseum.org,N,,,"{'latitude': '40.676291', 'longitude': '-73.966775'}",BROOKLYN ,40.676291,-73.966775,8.0,35.0,205.0,3028828.0,3011590056.0,Prospect Heights                                                           ,,11238.0,13829.0,16.0,2.0,48.0,49.0,
556,HELP USA,N,N,Y,N,N,2124007005.0,2124007000.0,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,5 Hanover Square,New York,http://www.helpusa.org,N,,N,"{'latitude': '40.704923', 'longitude': '-74.009046'}",MANHATTAN,40.704923,-74.009046,1.0,1.0,7.0,1000832.0,1000280005.0,Battery Park City-Lower Manhattan                                          ,17th Floor,10004.0,11726.0,56.0,4.0,32.0,1.0,
