,school_year,school_dbn,community_school_district,city_council_district,school_name,of_students_in_grades_6_8,of_students_in_grades_6_8_1,_,of_8th_graders,of_8th_graders_who_have,__1
552,2015-16,75R373,75.0,49.0,P.S. R373,41,40,97.60%,s,s,s
553,2015-16,75R721,75.0,49.0,The Richard H. Hungerford School,113,70,61.90%,42,24,57.10%
554,2015-16,75X010,75.0,13.0,P.S. X010,107,s,s,27,s,s
555,2015-16,75X012,75.0,13.0,P.S. X012 Lewis and Clark School,67,66,98.50%,33,32,97.00%
556,2015-16,75X017,75.0,17.0,P.S. X017,143,133,93.00%,64,63,98.40%
557,2015-16,75X168,75.0,8.0,P.S. 168,150,s,s,46,s,s
558,2015-16,75X176,75.0,12.0,P.S. X176,229,s,s,66,s,s
559,2015-16,75X186,75.0,16.0,P186X Walter J. Damrosch School,212,30,14.10%,63,s,s
560,2015-16,75X188,75.0,15.0,P.S. X188,201,s,s,s,s,s
561,2015-16,75X352,75.0,17.0,The Vida Bogart School for All Children,s,s,s,s,s,s
562,2015-16,75X723,75.0,12.0,P.S. 723,168,41,24.40%,54,16,29.60%
563,2015-16,75X754,75.0,8.0,J. M. Rapport School Career Development,s,s,s,s,s,s
564,2015-16,75X811,75.0,17.0,P.S. X811,s,s,s,s,s,s
565,,,,,Total,"205,605","96,233",46.80%,"69,364","39,747",57.30%
