,program_type,program,site_name,borough_community,agency,contact_number,grade_level_age_group,location_1,postcode,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih
123,Family Support,Fatherhood Initiative,"Strive/East Harlem Employment Service, Inc. ",New York ,"East Harlem Employment Services, Inc.",212.360.1100,16 to 24,"{'latitude': '40.801631007365', 'longitude': '-73.935035566046', 'human_address': '{""address"": ""240 123rd Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10035""}'}",,,,,,,,,,13093.0,7.0,4.0,35.0,16.0
124,Family Support,Older Adult Program,San Andres Church,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"{'latitude': '40.813006954452', 'longitude': '-73.857389981858', 'human_address': '{""address"": ""351 Soundview Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10473""}'}",10473.0,40.813278,-73.857646,9.0,18.0,2.0,2020476.0,2034730030.0,Soundview-Castle Hill-Clason Point-Harding Park                            ,11611.0,58.0,5.0,31.0,26.0
125,Family Support,Older Adult Program,"Wayside Out Reach Development, Inc",Brooklyn,"Wayside Out Reach Development, Inc",718.453.2700,Seniors,"{'latitude': '40.670802431187', 'longitude': '-73.893841150049', 'human_address': '{""address"": ""1746 60"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11207""}'}",,,,,,,,,,17214.0,45.0,2.0,25.0,47.0
126,Family Support,Fatherhood Initiative,Family and Community Support Services,Brooklyn,Family and Community Support Services,347.879.3367,16 to 24,"{'latitude': '40.677525932386', 'longitude': '-73.930335168178', 'human_address': '{""address"": ""124 Utica"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11233""}'}",,,,,,,,,,17615.0,69.0,2.0,49.0,52.0
127,Family Support,Fatherhood Initiative,Nursing Family Partnership ,Bronx,Visiting Nurse Service of New York,718.402.3900 ,16 to 24,"{'latitude': '40.805846930092', 'longitude': '-73.916285046518', 'human_address': '{""address"": ""489 491 East 153 Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10454""}'}",,,,,,,,,,10932.0,49.0,5.0,35.0,23.0
128,Family Support,Fatherhood Initiative,Friends of the Island Academy ,New York ,Friends of Island Academy,212.760.0755,16 to 24,"{'latitude': '40.755442281976', 'longitude': '-73.993381175372', 'human_address': '{""address"": ""330 38th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10018""}'}",,,,,,,,,,12080.0,12.0,4.0,10.0,8.0
129,Family Support,Domestic Violence Program,"Aging in America, Inc. ",Bronx,"Aging In America Community Services, Inc.",718.409.7961,,"{'latitude': '40.85710649549', 'longitude': '-73.843675159553', 'human_address': '{""address"": ""1500 Pelham Parkway"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10461""}'}",10461.0,40.857026,-73.843125,11.0,13.0,296.0,2047109.0,2042220005.0,Pelham Parkway                                                             ,11270.0,59.0,5.0,12.0,32.0
130,Family Support,Older Adult Program,Restoration Plaza ,Brooklyn,"Institute For Puerto Rican Hispanic Elderly, Inc.",212.677.4181,Seniors,"{'latitude': '40.680167097693', 'longitude': '-73.94592248315', 'human_address': '{""address"": ""1368 Fulton Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11216""}'}",11216.0,40.680175,-73.945717,3.0,36.0,247.0,3053786.0,3018620014.0,Crown Heights North                                                        ,17618.0,69.0,2.0,49.0,51.0
131,Family Support,Housing Assistance & Advocacy,Audubon Partnership for Economic Development LDC,New York,Audubon Partnership for Economic Development LDC,212.544.2400,Adults,"{'latitude': '40.864970711924', 'longitude': '-73.919474891004', 'human_address': '{""address"": ""513 207th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10034""}'}",,,,,,,,,,13092.0,47.0,4.0,39.0,22.0
132,Family Support,Older Adult Program,COJO of Flatbush,Flatbush,Council of Jewish Organizations of Flatbush                 ,718.627.5602,Seniors,"{'latitude': '40.616970915723', 'longitude': '-73.963785333505', 'human_address': '{""address"": ""1658 Coney Island Ave"", ""city"": ""Flatbush"", ""state"": ""NEW YORK"", ""zip"": ""11230""}'}",11230.0,40.616964,-73.963703,12.0,44.0,454.0,3173147.0,3065730016.0,Ocean Parkway South                                                        ,13513.0,2.0,2.0,18.0,39.0
133,Family Support,Fatherhood Initiative,Ralph Lincoln Service Center ,Brooklyn,"Ralph Lincoln Service Center, Inc.",718.604.1358,16 to 24,"{'latitude': '40.67003864097', 'longitude': '-73.92540014432', 'human_address': '{""address"": ""261 Buffalo Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11213""}'}",11213.0,40.669991,-73.925427,8.0,41.0,359.0,3037201.0,3013870007.0,Crown Heights North                                                        ,13516.0,16.0,2.0,17.0,49.0
134,Family Support,Older Adult Program,Plaza Senior Center,Brooklyn,Ridgewood Bushwick Senior Citizens Council,718.821.0254,Seniors,"{'latitude': '40.69707632239', 'longitude': '-73.919286470077', 'human_address': '{""address"": ""297 Wilson Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11237""}'}",11237.0,40.697004,-73.919201,4.0,37.0,433.0,3346536.0,3033070004.0,Bushwick North                                                             ,13828.0,42.0,2.0,37.0,53.0
135,Family Support,Parent Education and Family Support,Columbus -Amsterdam Business Improvement District,New York,West Side Campaign Against Hunger Church of St. Paul,212.362.3662,,"{'latitude': '40.783625568166', 'longitude': '-73.966539000574', 'human_address': '{""address"": ""263 96th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10024""}'}",,,,,,,,,,,19.0,4.0,19.0,13.0
136,Family Support,Older Adult Program,Brooklyn Chinese American Association,Brooklyn,Brooklyn Chinese American Association,718.438.9312,Seniors,"{'latitude': '40.641053712241', 'longitude': '-74.003818581755', 'human_address': '{""address"": ""5010 8th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11220""}'}",11220.0,40.640998,-74.003848,7.0,38.0,108.0,3013420.0,3007940042.0,Sunset Park East                                                           ,18180.0,9.0,2.0,7.0,45.0
137,Family Support,Older Adult Program,BCA Senior Center ,Brooklyn,Brooklyn Chinese American Association,718.438.9312,Seniors,"{'latitude': '40.614704025531', 'longitude': '-73.987710397179', 'human_address': '{""address"": ""6809 20th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11204""}'}",11204.0,40.61468,-73.987765,11.0,47.0,258.0,3135071.0,3055790007.0,Bensonhurst West                                                           ,16867.0,1.0,2.0,45.0,37.0
138,Family Support,Older Adult Program,Carol Gardens,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"{'latitude': '40.823278882673', 'longitude': '-73.86241277558', 'human_address': '{""address"": ""880 Thieriot Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10473""}'}",10473.0,40.823093,-73.862394,9.0,18.0,42.0,2092758.0,2036420001.0,Soundview-Castle Hill-Clason Point-Harding Park                            ,11611.0,58.0,5.0,31.0,26.0
139,Family Support,Economic Development,Cypress Hills Local Development Corporation,Brooklyn,Cypress Hills Local Development Corporation,718.647.2800,,"{'latitude': '40.682413520105', 'longitude': '-73.876447583086', 'human_address': '{""address"": ""3214 Fulton Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11208""}'}",11208.0,40.682465,-73.876328,5.0,37.0,1178.0,3092647.0,3041410014.0,Cypress Hills-City Line                                                    ,17215.0,45.0,2.0,37.0,47.0
140,Family Support,Older Adult Program,Vladeck Cares N.O.R.C. ,New York,Henry Street Settlement,212.766.9200,Seniors,"{'latitude': '40.713407305685', 'longitude': '-73.982487365932', 'human_address': '{""address"": ""351 Madison Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10002""}'}",10002.0,40.71334,-73.982772,3.0,2.0,202.0,1083404.0,1002670024.0,Lower East Side                                                            ,11723.0,70.0,4.0,50.0,4.0
141,Family Support,Older Adult Program,Jackson Heights Senior Center,Queens,"Institute For Puerto Rican Hispanic Elderly, Inc.",212.677.4181,Seniors,"{'latitude': '40.738710402563', 'longitude': '-73.878351155182', 'human_address': '{""address"": ""75 01"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11373""}'}",,,,,,,,,,14784.0,66.0,3.0,5.0,68.0
142,Family Support,Housing Assistance & Advocacy,"163rd Street Improvement Council, Inc.",Bronx,"163rd Street Improvement Council, Inc.",718.589.5080,Adults,"{'latitude': '40.832870242985', 'longitude': '-73.901107176224', 'human_address': '{""address"": ""1345 Franklin Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10456""}'}",10456.0,40.832877,-73.901087,3.0,16.0,149.0,2115487.0,2029310079.0,Morrisania-Melrose                                                         ,10934.0,34.0,5.0,42.0,25.0
143,Family Support,Older Adult Program,Yolanda Senior Center,Brooklyn,Ridgewood Bushwick Senior Citizens Council,718.821.0254,Seniors,"{'latitude': '40.698803277888', 'longitude': '-73.930954660269', 'human_address': '{""address"": ""78 Troutman"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11206""}'}",,,,,,,,,,17213.0,42.0,2.0,30.0,53.0
144,Family Support,Housing Assistance & Advocacy,AAFE Chinatown / Lower East Side,New York,Asian Americans for Equality,212.680.1374,Adults,"{'latitude': '40.718974773687', 'longitude': '-73.987058941506', 'human_address': '{""address"": ""108 Norfolk Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10002""}'}",10002.0,40.718954,-73.987056,3.0,1.0,1402.0,1075815.0,1003530052.0,Lower East Side                                                            ,11723.0,70.0,4.0,32.0,4.0
145,Family Support,Substance Abuse Education and Prevention,P.S. 19 ,Queens,Hellenic American Neighborhood Action Committee (HANAC)     ,718-204-1200,3rd through 5th,"{'latitude': '40.749678220374', 'longitude': '-73.853040688577', 'human_address': '{""address"": ""98 02 Roosevelet Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11368""}'}",,,,,,,,,,14510.0,66.0,3.0,21.0,68.0
146,Family Support,HIV/AIDS Support Services,SEP at Worldwide Evangelical Church,Queens,"AIDS Center of Queens County, Inc.",718.896.2500,,"{'latitude': '40.704669000074', 'longitude': '-73.794258999553', 'human_address': '{""address"": ""113 02"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11405""}'}",,,,,,,,,,24340.0,41.0,3.0,6.0,61.0
147,Family Support,Older Adult Program,"Guardians of the Sick, Inc.",Brooklyn,"Guardians of the Sick, Inc.",718.438.2020,Seniors,"{'latitude': '40.635910755078', 'longitude': '-73.998398351425', 'human_address': '{""address"": ""5216 11th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11219""}'}",11219.0,40.635862,-73.998429,12.0,44.0,218.0,3138585.0,3056600050.0,Borough Park                                                               ,17621.0,2.0,2.0,18.0,39.0
148,Family Support,Housing Assistance & Advocacy,"Catholic Charities Community Service, Archdiocese of N Y",New York,"Catholic Charities Community Service, Archdiocese of N Y",212.371.1000,Adults,"{'latitude': '40.757278332489', 'longitude': '-73.963713878292', 'human_address': '{""address"": ""1011 First Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10022""}'}",10022.0,40.757271,-73.963692,6.0,5.0,108.0,1039972.0,1013480023.0,Turtle Bay-East Midtown                                                    ,12419.0,71.0,4.0,1.0,9.0
149,Family Support,Older Adult Program,ARC XVI FT. WASHINGTON INC.,New York,ARC XVI FT. WASHINGTON INC.,212.781.5700,Seniors,"{'latitude': '40.84516033875', 'longitude': '-73.938788841624', 'human_address': '{""address"": ""4111 Broadway"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10033""}'}",10033.0,40.845128,-73.938763,12.0,10.0,263.0,1063501.0,1021420133.0,Washington Heights South                                                   ,13090.0,47.0,4.0,39.0,21.0
150,Family Support,Older Adult Program,RAIN Boston Secor S.C.,Bronx,"Regional Aid For Interim Needs, Inc. (R.A.I.N.)",718.892.5520,Seniors,"{'latitude': '40.883439744726', 'longitude': '-73.833333313261', 'human_address': '{""address"": ""3540 Bivona Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10475""}'}",10475.0,40.883026,-73.833227,12.0,12.0,46202.0,2093879.0,2052630070.0,Co-op City                                                                 ,12344.0,29.0,5.0,2.0,30.0
151,Family Support,Older Adult Program,AAFE Queens,Queens,Asian Americans for Equality,212.680.1374,Seniors,"{'latitude': '40.768620220647', 'longitude': '-73.827190280707', 'human_address': '{""address"": ""133 04 39th Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11354""}'}",11354.0,40.75909,-73.834194,7.0,20.0,871.0,4112274.0,4049730006.0,Flushing                                                                   ,13832.0,22.0,3.0,3.0,67.0
152,Family Support,Fatherhood Initiative,Fortune Society,Queens,"The Fortune Society, Inc.",347.510.3619,16 to 24,"{'latitude': '40.745702449808', 'longitude': '-73.938669029252', 'human_address': '{""address"": ""29 76 Northern Blvd"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11101""}'}",11101.0,40.750433,-73.935323,1.0,26.0,171.0,4003410.0,4002390049.0,Hunters Point-Sunnyside-West Maspeth                                       ,16858.0,53.0,3.0,33.0,66.0
153,Family Support,Parent Education and Family Support,Make the Road New York -Queens,Queens,Make the Road New York,718-565-8500,17 and up,"{'latitude': '40.630833311108', 'longitude': '-74.137734298699', 'human_address': '{""address"": ""49 06 Skillman Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""10302""}'}",11377.0,40.74622,-73.915056,2.0,26.0,25301.0,4001161.0,4001340027.0,Hunters Point-Sunnyside-West Maspeth                                       ,10370.0,4.0,1.0,13.0,75.0
154,Family Support,Older Adult Program,Goodwin Senior Center,Brooklyn,Ridgewood Bushwick Senior Citizens Council,718.821.0254,Seniors,"{'latitude': '40.691613703909', 'longitude': '-73.923798653094', 'human_address': '{""address"": ""55 Goodwin Place"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11221""}'}",11221.0,40.691369,-73.923405,4.0,34.0,395.0,3319576.0,3032940042.0,Bushwick South                                                             ,18181.0,42.0,2.0,30.0,53.0
155,Family Support,Young Parent Education & Family Support,Brooklyn Child and Family Services ,Brooklyn,Brooklyn Child and Family Services,718 330-0845,,"{'latitude': '40.682312101322', 'longitude': '-73.979567188575', 'human_address': '{""address"": ""44 60 Rockwell Place"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11217""}'}",,,,,,,,,,17619.0,14.0,2.0,27.0,50.0
156,Family Support,Older Adult Program,RAIN Multi Services for Seniors,Bronx,"Regional Aid For Interim Needs, Inc.(R.A.I.N.)",718.892.5520,Seniors,"{'latitude': '40.836448853178', 'longitude': '-73.847042267664', 'human_address': '{""address"": ""2368 Westchester"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10462""}'}",,,,,,,,,,11271.0,43.0,5.0,31.0,28.0
157,Family Support,Housing Assistance & Advocacy,Catholic Charities Community Services-Washington Heights ,New York,"Catholic Charities Community Service, Archdiocese of N Y",212.371.1000,Adults,"{'latitude': '40.84516033875', 'longitude': '-73.938788841624', 'human_address': '{""address"": ""4111 Broadway"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10033""}'}",10033.0,40.845128,-73.938763,12.0,10.0,263.0,1063501.0,1021420133.0,Washington Heights South                                                   ,13090.0,47.0,4.0,39.0,21.0
158,Family Support,Housing Assistance & Advocacy,Cooper Square Community Development & Business Association,New York,Cooper Square Community Development & Business Association,212.228.8210,Adults,"{'latitude': '40.726940950792', 'longitude': '-73.991133556521', 'human_address': '{""address"": ""61 4th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10003""}'}",,,,,,,,,,11724.0,70.0,4.0,50.0,5.0
159,Family Support,Health Stat Initiative,Northern Manhattan Improvement Corporation,New York,Northern Manhattan Improvement Corporation,212.822.8344,All Ages,"{'latitude': '40.847051676059', 'longitude': '-73.937044724943', 'human_address': '{""address"": ""76 Wadsworth Ave"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10033""}'}",10033.0,40.847012,-73.93704,12.0,10.0,263.0,1063574.0,1021450051.0,Washington Heights South                                                   ,13091.0,47.0,4.0,39.0,21.0
160,Family Support,Older Adult Program,"American Italian Coalition of Organizations, Inc.",Brooklyn,"American Italian Coalition of Organizations, Inc.",718.256.3445,Seniors,"{'latitude': '40.603729360661', 'longitude': '-74.004003416594', 'human_address': '{""address"": ""138 Bay 20th Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11214""}'}",11214.0,40.603701,-74.004001,11.0,43.0,280.0,3167752.0,3064040042.0,Bath Beach                                                                 ,17616.0,1.0,2.0,44.0,37.0
161,Family Support,Parent Education and Family Support,P.S. 38 Pacific Elementary School ,Brooklyn,"Fifth Avenue Committee, Inc.",718 624 3475,,"{'latitude': '40.68532070903', 'longitude': '-73.982843647386', 'human_address': '{""address"": ""450 Pacific Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11217""}'}",11217.0,40.685264,-73.982639,2.0,33.0,39.0,3001183.0,3001910001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,17619.0,68.0,2.0,38.0,54.0
